Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:44:05.916440,74,170.170.193.102,80,10.5.1.30,38352,TCP,0,1,2373265391,3987587812
2024-11-04 12:44:05.916889,66,10.5.1.30,38352,170.170.193.102,80,TCP,1,1,3987587997,2373265391
2024-11-04 12:44:05.917043,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,1,2478004004,362829276
2024-11-04 12:44:05.921255,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,537,362829466,2478004004
2024-11-04 12:44:05.921500,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,537,2478004008,362829466
2024-11-04 12:44:05.921734,139,10.5.1.30,38352,170.170.193.102,80,TCP,1,1,3987588002,2373265391
2024-11-04 12:44:06.103877,66,170.170.193.102,80,10.5.1.30,38352,TCP,1,74,2373265579,3987588002
2024-11-04 12:44:06.104230,571,170.170.193.102,80,10.5.1.30,38352,TCP,1,74,2373265579,3987588002
2024-11-04 12:44:06.104416,66,10.5.1.30,38352,170.170.193.102,80,TCP,74,506,3987588184,2373265579
2024-11-04 12:44:06.104667,1116,10.5.1.30,9001,10.5.1.10,33616,TCP,537,537,2478004192,362829466
