Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:40:01.147770,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3449095711,4091816804
2024-11-04 18:40:01.148206,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091820316,3449095711
2024-11-04 18:40:01.148450,74,10.5.1.30,37102,2.18.255.99,80,TCP,0,0,4175586738,0
2024-11-04 18:40:01.175493,74,2.18.255.99,80,10.5.1.30,37102,TCP,0,1,3065723460,4175586738
2024-11-04 18:40:01.175818,66,10.5.1.30,37102,2.18.255.99,80,TCP,1,1,4175586766,3065723460
2024-11-04 18:40:01.175974,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091820344,3449095711
2024-11-04 18:40:01.179950,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3449095744,4091820344
2024-11-04 18:40:01.180425,142,10.5.1.30,37102,2.18.255.99,80,TCP,1,1,4175586770,3065723460
2024-11-04 18:40:01.209758,66,2.18.255.99,80,10.5.1.30,37102,TCP,1,77,3065723495,4175586770
2024-11-04 18:40:01.222631,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091820390,3449095744
2024-11-04 18:40:01.244986,234,2.18.255.99,80,10.5.1.30,37102,TCP,1429,77,3065723526,4175586770
2024-11-04 18:40:01.245353,78,10.5.1.30,37102,2.18.255.99,80,TCP,77,1,4175586835,3065723495
