Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:57:17.473668,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3453732037,4096446232
2024-11-04 19:57:17.474604,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096456642,3453732037
2024-11-04 19:57:17.475360,74,10.5.1.30,57950,172.67.11.218,80,TCP,0,0,415603219,0
2024-11-04 19:57:17.508032,74,172.67.11.218,80,10.5.1.30,57950,TCP,0,1,1141883125,415603219
2024-11-04 19:57:17.508299,66,10.5.1.30,57950,172.67.11.218,80,TCP,1,1,415603252,1141883125
2024-11-04 19:57:17.508387,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096456676,3453732037
2024-11-04 19:57:17.512917,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3453732077,4096456676
2024-11-04 19:57:17.513597,140,10.5.1.30,57950,172.67.11.218,80,TCP,1,1,415603257,1141883125
2024-11-04 19:57:17.555490,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4096456723,3453732077
2024-11-04 19:57:17.582091,66,172.67.11.218,80,10.5.1.30,57950,TCP,1,75,1141883164,415603257
2024-11-04 19:57:17.583006,554,172.67.11.218,80,10.5.1.30,57950,TCP,1,75,1141883175,415603257
2024-11-04 19:57:17.583563,66,10.5.1.30,57950,172.67.11.218,80,TCP,75,489,415603327,1141883175
2024-11-04 19:57:17.584123,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4096456752,3453732077
2024-11-04 19:57:17.587151,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1073,3453732151,4096456752
2024-11-04 19:57:17.587790,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,1609,4096456755,3453732151
2024-11-04 19:57:17.588494,66,10.5.1.30,57950,172.67.11.218,80,TCP,75,489,415603332,1141883175
2024-11-04 19:57:17.633688,66,172.67.11.218,80,10.5.1.30,57950,TCP,489,76,1141883243,415603332
2024-11-04 19:57:17.634428,66,10.5.1.30,57950,172.67.11.218,80,TCP,76,490,415603378,1141883243
2024-11-04 19:57:17.869674,74,10.5.1.30,48430,10.5.1.12,80,TCP,0,0,2861004502,0
2024-11-04 19:57:17.870622,74,10.5.1.12,80,10.5.1.30,48430,TCP,0,1,182306283,2861004502
2024-11-04 19:57:17.871152,66,10.5.1.30,48430,10.5.1.12,80,TCP,1,1,2861004504,182306283
2024-11-04 19:57:17.871772,361,10.5.1.30,48430,10.5.1.12,80,TCP,1,1,2861004504,182306283
2024-11-04 19:57:17.872387,66,10.5.1.12,80,10.5.1.30,48430,TCP,1,296,182306285,2861004504
2024-11-04 19:57:17.873043,132,10.5.1.12,80,10.5.1.30,48430,TCP,1,296,182306286,2861004504
2024-11-04 19:57:17.873596,66,10.5.1.30,48430,10.5.1.12,80,TCP,296,67,2861004506,182306286
2024-11-04 19:57:17.874140,66,10.5.1.12,80,10.5.1.30,48430,TCP,67,296,182306287,2861004506
2024-11-04 19:57:17.874737,66,10.5.1.30,48430,10.5.1.12,80,TCP,296,68,2861004507,182306287
2024-11-04 19:57:17.875328,66,10.5.1.12,80,10.5.1.30,48430,TCP,68,297,182306288,2861004507
2024-11-04 19:57:25.817417,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,182314230,2860984643
2024-11-04 19:57:25.817469,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2198722005,2662467799
2024-11-04 19:57:25.817554,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1848627506,3525450561
2024-11-04 19:57:25.817670,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2227974808,3159008347
2024-11-04 19:57:25.818556,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2662495505,2198722005
2024-11-04 19:57:25.818556,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3159036186,2227974808
2024-11-04 19:57:25.818862,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3525478315,1848627506
2024-11-04 19:57:25.818863,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2861012452,182314230
2024-11-04 19:57:25.826123,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,182314239,2861012452
2024-11-04 19:57:25.826835,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2861012460,182314239
2024-11-04 19:57:25.829843,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1609,1073,3453740394,4096456755
2024-11-04 19:57:25.830608,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,2145,4096464998,3453740394
2024-11-04 19:57:25.831577,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,2145,4096464999,3453740394
2024-11-04 19:57:25.833049,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2227974824,3159036186
2024-11-04 19:57:25.833649,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3159036201,2227974824
2024-11-04 19:57:25.834383,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3159036202,2227974824
2024-11-04 19:57:25.836477,602,10.5.1.10,42922,10.5.1.30,9001,TCP,2145,1609,3453740400,4096464999
2024-11-04 19:57:25.837366,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1609,2681,4096465005,3453740400
2024-11-04 19:57:25.839189,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1073,537,2227974830,3159036202
2024-11-04 19:57:25.839831,602,10.5.1.30,9001,10.5.1.20,56104,TCP,537,1609,3159036208,2227974830
2024-11-04 19:57:25.842169,602,10.5.1.10,42922,10.5.1.30,9001,TCP,2681,2145,3453740406,4096465005
2024-11-04 19:57:25.842640,602,10.5.1.30,9001,10.5.1.10,42922,TCP,2145,3217,4096465010,3453740406
2024-11-04 19:57:25.849654,602,10.5.1.10,42922,10.5.1.30,9001,TCP,3217,2681,3453740413,4096465010
2024-11-04 19:57:25.849864,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1609,1073,2227974841,3159036208
2024-11-04 19:57:25.850466,602,10.5.1.30,9001,10.5.1.10,42922,TCP,2681,3753,4096465018,3453740413
2024-11-04 19:57:25.855681,602,10.5.1.10,42922,10.5.1.30,9001,TCP,3753,3217,3453740419,4096465018
2024-11-04 19:57:25.861166,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1848627550,3525478315
2024-11-04 19:57:25.861828,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3525478358,1848627550
2024-11-04 19:57:25.862857,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3525478359,1848627550
2024-11-04 19:57:25.869810,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,537,1848627558,3525478359
2024-11-04 19:57:25.870621,602,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1609,3525478366,1848627558
2024-11-04 19:57:25.876495,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,1073,1848627565,3525478366
2024-11-04 19:57:25.895481,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,2145,3159036263,2227974841
2024-11-04 19:57:25.902147,66,10.5.1.30,9001,10.5.1.10,42922,TCP,3217,4289,4096465070,3453740419
2024-11-04 19:57:25.903308,602,10.5.1.10,42922,10.5.1.30,9001,TCP,4289,3217,3453740467,4096465070
2024-11-04 19:57:25.903965,66,10.5.1.30,9001,10.5.1.10,42922,TCP,3217,4825,4096465072,3453740467
2024-11-04 19:57:25.922149,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,2145,3525478418,1848627565
2024-11-04 19:57:26.005214,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2145,1073,1848627694,3525478418
