Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:58:23.898070,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,360087443,2475251582
2024-11-04 11:58:23.898356,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475261985,360087443
2024-11-04 11:58:23.898696,74,10.5.1.30,58612,103.243.32.90,80,TCP,0,0,3284063291,0
2024-11-04 11:58:24.083889,74,103.243.32.90,80,10.5.1.30,58612,TCP,0,1,465212171,3284063291
2024-11-04 11:58:24.084276,66,10.5.1.30,58612,103.243.32.90,80,TCP,1,1,3284063476,465212171
2024-11-04 11:58:24.084586,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475262172,360087443
2024-11-04 11:58:24.087739,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,360087633,2475262172
2024-11-04 11:58:24.087821,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475262175,360087633
2024-11-04 11:58:24.087935,142,10.5.1.30,58612,103.243.32.90,80,TCP,1,1,3284063480,465212171
2024-11-04 11:58:24.276370,547,103.243.32.90,80,10.5.1.30,58612,TCP,1,77,465212364,3284063480
2024-11-04 11:58:24.276612,66,10.5.1.30,58612,103.243.32.90,80,TCP,77,482,3284063669,465212364
2024-11-04 11:58:24.276892,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475262364,360087633
2024-11-04 11:58:24.279392,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1073,360087824,2475262364
2024-11-04 11:58:24.279622,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,1609,2475262367,360087824
2024-11-04 11:58:24.279780,66,10.5.1.30,58612,103.243.32.90,80,TCP,77,482,3284063672,465212364
2024-11-04 11:58:24.463780,66,103.243.32.90,80,10.5.1.30,58612,TCP,482,78,465212551,3284063672
2024-11-04 11:58:24.463916,66,10.5.1.30,58612,103.243.32.90,80,TCP,78,483,3284063856,465212551
2024-11-04 11:58:27.313098,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,1,3959882922,3132819553
2024-11-04 11:58:27.314723,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,537,3132830549,3959882922
2024-11-04 11:58:27.315035,66,10.5.1.30,9001,10.5.1.11,34324,TCP,537,537,3959882924,3132830549
2024-11-04 11:58:27.315701,602,10.5.1.30,9001,10.5.1.11,34324,TCP,537,537,3959882925,3132830549
2024-11-04 11:58:27.321423,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,1073,3132830555,3959882925
2024-11-04 11:58:27.322180,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1073,1073,3959882931,3132830555
