Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:27:28.895650,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1,2859215528,180517263
2024-11-04 19:27:28.895651,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1,3523681391,1846830542
2024-11-04 19:27:28.895651,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,1,2660698582,2196925041
2024-11-04 19:27:28.896012,1138,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,180517309,2859215528
2024-11-04 19:27:28.896327,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2859215529,180517309
2024-11-04 19:27:28.896590,1116,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2859215529,180517309
2024-11-04 19:27:28.899824,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,1051,180517313,2859215529
2024-11-04 19:27:28.916111,1514,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,1051,180517329,2859215529
2024-11-04 19:27:28.916584,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1051,3057,2859215549,180517313
2024-11-04 19:27:28.917057,226,10.5.1.12,55266,10.5.1.30,9001,TCP,3057,1051,180517330,2859215549
2024-11-04 19:27:28.917767,1116,10.5.1.30,9001,10.5.1.12,55266,TCP,1051,3217,2859215550,180517330
2024-11-04 19:27:28.922314,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1,3032186829,140270550
2024-11-04 19:27:28.922569,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,140270593,3032186829
2024-11-04 19:27:28.922820,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3032186830,140270593
2024-11-04 19:27:28.923074,74,10.5.1.30,42964,75.2.60.5,80,TCP,0,0,4020192426,0
2024-11-04 19:27:28.923164,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,1,140270594,3032186830
2024-11-04 19:27:28.923509,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,3217,2101,180517336,2859215550
2024-11-04 19:27:28.923805,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1073,3032186831,140270594
2024-11-04 19:27:28.924434,1116,10.5.1.30,9001,10.5.1.12,55266,TCP,2101,4267,2859215557,180517336
2024-11-04 19:27:28.926207,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1073,3032186833,140270594
2024-11-04 19:27:28.929125,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,4267,3151,180517342,2859215557
2024-11-04 19:27:28.933150,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,537,140270604,3032186833
2024-11-04 19:27:28.960457,74,75.2.60.5,80,10.5.1.30,42964,TCP,0,1,1695910343,4020192426
2024-11-04 19:27:28.961147,66,10.5.1.30,42964,75.2.60.5,80,TCP,1,1,4020192464,1695910343
2024-11-04 19:27:28.961248,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1609,3032186868,140270604
2024-11-04 19:27:28.965912,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1609,1073,140270637,3032186868
2024-11-04 19:27:28.966433,140,10.5.1.30,42964,75.2.60.5,80,TCP,1,1,4020192469,1695910343
2024-11-04 19:27:28.972316,66,10.5.1.30,9001,10.5.1.12,55266,TCP,3151,5317,2859215605,180517342
2024-11-04 19:27:28.989379,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1846830678,3523681391
2024-11-04 19:27:28.989855,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3523681486,1846830678
2024-11-04 19:27:28.990637,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3523681486,1846830678
2024-11-04 19:27:28.996028,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1846830685,3523681486
2024-11-04 19:27:28.996672,602,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3523681492,1846830685
2024-11-04 19:27:29.000314,66,75.2.60.5,80,10.5.1.30,42964,TCP,1,75,1695910388,4020192469
2024-11-04 19:27:29.003198,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,1073,1846830692,3523681492
2024-11-04 19:27:29.008982,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,2145,3032186916,140270637
2024-11-04 19:27:29.009273,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2145,1073,140270680,3032186916
2024-11-04 19:27:29.009587,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,2681,3032186916,140270680
2024-11-04 19:27:29.010292,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,2681,3032186917,140270680
2024-11-04 19:27:29.011324,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2681,1609,140270682,3032186917
2024-11-04 19:27:29.011711,325,75.2.60.5,80,10.5.1.30,42964,TCP,1,75,1695910399,4020192469
2024-11-04 19:27:29.012218,66,10.5.1.30,42964,75.2.60.5,80,TCP,75,260,4020192515,1695910399
2024-11-04 19:27:29.012720,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1609,3217,3032186919,140270682
2024-11-04 19:27:29.015625,602,10.5.1.11,42168,10.5.1.30,9001,TCP,3217,2145,140270686,3032186919
2024-11-04 19:27:29.016438,66,10.5.1.30,42964,75.2.60.5,80,TCP,75,260,4020192519,1695910399
2024-11-04 19:27:29.042826,66,75.2.60.5,80,10.5.1.30,42964,TCP,260,76,1695910438,4020192519
2024-11-04 19:27:29.043470,66,10.5.1.30,42964,75.2.60.5,80,TCP,76,261,4020192546,1695910438
2024-11-04 19:27:29.045662,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,1609,3523681541,1846830692
2024-11-04 19:27:29.062313,66,10.5.1.30,9001,10.5.1.11,42168,TCP,2145,3753,3032186969,140270686
2024-11-04 19:27:29.209673,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3451943773,4094667994
