Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:51:48.589173,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3453403153,4096127514
2024-11-04 19:51:48.589268,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,181977002,2860674096
2024-11-04 19:51:48.589304,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,141730260,3033645429
2024-11-04 19:51:48.589333,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1848290278,3525139891
2024-11-04 19:51:48.590140,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3525141086,1848290278
2024-11-04 19:51:48.590145,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3033646497,141730260
2024-11-04 19:51:48.590145,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096127758,3453403153
2024-11-04 19:51:48.590638,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,1,3453403154,4096127758
2024-11-04 19:51:48.590656,74,10.5.1.30,48454,34.34.105.97,80,TCP,0,0,1405124362,0
2024-11-04 19:51:48.590838,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1848290280,3525141086
2024-11-04 19:51:48.590936,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2198384779,2662157152
2024-11-04 19:51:48.591231,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1073,4096127759,3453403154
2024-11-04 19:51:48.591431,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3525141087,1848290280
2024-11-04 19:51:48.591538,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2662158278,2198384779
2024-11-04 19:51:48.591710,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1,3453403155,4096127759
2024-11-04 19:51:48.592235,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1609,4096127760,3453403155
