Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:50:22.595280,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3453317159,4096033507
2024-11-04 19:50:22.596078,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096041764,3453317159
2024-11-04 19:50:22.596567,74,10.5.1.30,46462,108.139.210.97,80,TCP,0,0,3432622370,0
2024-11-04 19:50:22.625188,74,108.139.210.97,80,10.5.1.30,46462,TCP,0,1,2430708201,3432622370
2024-11-04 19:50:22.625774,66,10.5.1.30,46462,108.139.210.97,80,TCP,1,1,3432622399,2430708201
2024-11-04 19:50:22.626149,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096041794,3453317159
2024-11-04 19:50:22.629114,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3453317193,4096041794
2024-11-04 19:50:22.629518,143,10.5.1.30,46462,108.139.210.97,80,TCP,1,1,3432622403,2430708201
2024-11-04 19:50:22.648526,66,108.139.210.97,80,10.5.1.30,46462,TCP,1,78,2430708233,3432622403
2024-11-04 19:50:22.660115,629,108.139.210.97,80,10.5.1.30,46462,TCP,1,78,2430708234,3432622403
2024-11-04 19:50:22.660526,66,10.5.1.30,46462,108.139.210.97,80,TCP,78,564,3432622434,2430708234
