Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:57:28.557764,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3450143121,4092857304
2024-11-04 18:57:28.558113,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4092867726,3450143121
2024-11-04 18:57:28.558330,74,10.5.1.30,48280,104.20.27.5,80,TCP,0,0,3053685816,0
2024-11-04 18:57:28.631773,74,104.20.27.5,80,10.5.1.30,48280,TCP,0,1,3557363638,3053685816
2024-11-04 18:57:28.632242,66,10.5.1.30,48280,104.20.27.5,80,TCP,1,1,3053685890,3557363638
2024-11-04 18:57:28.632373,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4092867800,3450143121
2024-11-04 18:57:28.635916,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3450143200,4092867800
2024-11-04 18:57:28.636184,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4092867804,3450143200
2024-11-04 18:57:28.636420,142,10.5.1.30,48280,104.20.27.5,80,TCP,1,1,3053685894,3557363638
2024-11-04 18:57:28.699120,66,104.20.27.5,80,10.5.1.30,48280,TCP,1,77,3557363701,3053685894
2024-11-04 18:57:28.724294,556,104.20.27.5,80,10.5.1.30,48280,TCP,1,77,3557363730,3053685894
2024-11-04 18:57:28.724901,66,10.5.1.30,48280,104.20.27.5,80,TCP,77,491,3053685983,3557363730
2024-11-04 18:57:28.726277,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4092867894,3450143200
2024-11-04 18:57:28.729491,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1073,3450143293,4092867894
2024-11-04 18:57:28.730182,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,1609,4092867898,3450143293
2024-11-04 18:57:28.730887,66,10.5.1.30,48280,104.20.27.5,80,TCP,77,491,3053685989,3557363730
2024-11-04 18:57:28.776647,66,104.20.27.5,80,10.5.1.30,48280,TCP,491,78,3557363785,3053685989
2024-11-04 18:57:28.777020,66,10.5.1.30,48280,104.20.27.5,80,TCP,78,492,3053686035,3557363785
2024-11-04 18:57:29.186470,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,138470857,3030383636
2024-11-04 18:57:29.186535,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2224378177,3155413180
