Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:15:41.884723,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,139563555,3031476114
2024-11-04 19:15:41.884796,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,179810297,2858504710
2024-11-04 19:15:41.885415,74,10.5.1.30,60282,185.134.203.245,80,TCP,0,0,373008898,0
2024-11-04 19:15:41.925725,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2858508558,179810297
2024-11-04 19:15:41.926115,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031479833,139563555
2024-11-04 19:15:41.955770,74,185.134.203.245,80,10.5.1.30,60282,TCP,0,1,3488169341,373008898
2024-11-04 19:15:41.956664,66,10.5.1.30,60282,185.134.203.245,80,TCP,1,1,373008969,3488169341
2024-11-04 19:15:41.956825,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031479864,139563555
2024-11-04 19:15:41.957407,66,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139563628,3031479864
2024-11-04 19:15:41.963055,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139563634,3031479864
2024-11-04 19:15:41.963371,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3031479870,139563634
2024-11-04 19:15:41.963608,141,10.5.1.30,60282,185.134.203.245,80,TCP,1,1,373008976,3488169341
2024-11-04 19:15:42.033160,66,185.134.203.245,80,10.5.1.30,60282,TCP,1,76,3488169418,373008976
2024-11-04 19:15:42.033594,66,185.134.203.245,80,10.5.1.30,60282,TCP,1,76,3488169418,373008976
2024-11-04 19:15:42.033864,66,10.5.1.30,60282,185.134.203.245,80,TCP,76,2,373009047,3488169418
