Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:21:44.151222,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3134227385,3961269385
2024-11-04 12:21:44.151590,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961279761,3134227385
2024-11-04 12:21:44.151954,74,10.5.1.30,54130,216.58.204.133,80,TCP,0,0,3115766451,0
2024-11-04 12:21:44.174192,74,216.58.204.133,80,10.5.1.30,54130,TCP,0,1,1440926267,3115766451
2024-11-04 12:21:44.174650,66,10.5.1.30,54130,216.58.204.133,80,TCP,1,1,3115766474,1440926267
2024-11-04 12:21:44.174759,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961279784,3134227385
2024-11-04 12:21:44.177913,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3134227412,3961279784
2024-11-04 12:21:44.178183,139,10.5.1.30,54130,216.58.204.133,80,TCP,1,1,3115766477,1440926267
2024-11-04 12:21:44.201575,66,216.58.204.133,80,10.5.1.30,54130,TCP,1,74,1440926294,3115766477
2024-11-04 12:21:44.206643,670,216.58.204.133,80,10.5.1.30,54130,TCP,1,74,1440926296,3115766477
2024-11-04 12:21:44.206812,66,10.5.1.30,54130,216.58.204.133,80,TCP,74,605,3115766506,1440926296
2024-11-04 12:21:44.206990,1116,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3961279816,3134227412
2024-11-04 12:21:44.211645,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1073,1587,3134227446,3961279816
2024-11-04 12:21:44.212074,66,10.5.1.30,54130,216.58.204.133,80,TCP,74,605,3115766511,1440926296
2024-11-04 12:21:44.236529,66,216.58.204.133,80,10.5.1.30,54130,TCP,605,75,1440926327,3115766511
2024-11-04 12:21:44.236773,66,10.5.1.30,54130,216.58.204.133,80,TCP,75,606,3115766536,1440926327
2024-11-04 12:21:44.257331,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1587,1609,3961279866,3134227446
2024-11-04 12:21:49.037927,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3005165640,2444725026
2024-11-04 12:21:49.038034,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1,1,4286807988,585925736
2024-11-04 12:21:49.038277,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2444752396,3005165640
2024-11-04 12:21:49.038494,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,537,585953227,4286807988
2024-11-04 12:21:49.044783,602,10.5.1.21,39736,10.5.1.30,9001,TCP,537,1,4286807995,585953227
2024-11-04 12:21:49.045079,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,1073,585953234,4286807995
2024-11-04 12:21:49.045696,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1073,1,4286807996,585953234
2024-11-04 12:21:49.045960,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,1609,585953235,4286807996
2024-11-04 12:21:49.046689,602,10.5.1.30,9001,10.5.1.21,39736,TCP,1,1609,585953236,4286807996
2024-11-04 12:21:49.049556,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,1,3005165652,2444752396
2024-11-04 12:21:49.049675,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1,1,1185125183,1185638205
2024-11-04 12:21:49.049718,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,1073,2444752408,3005165652
2024-11-04 12:21:49.049926,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1185665634,1185125183
2024-11-04 12:21:49.050343,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,1073,2444752408,3005165652
2024-11-04 12:21:49.051375,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1609,537,4286808001,585953236
2024-11-04 12:21:49.051744,602,10.5.1.30,9001,10.5.1.21,39736,TCP,537,2145,585953241,4286808001
2024-11-04 12:21:49.052056,602,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1185665636,1185125183
2024-11-04 12:21:49.054929,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,537,3005165657,2444752408
2024-11-04 12:21:49.055506,602,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1609,2444752413,3005165657
2024-11-04 12:21:49.058301,602,10.5.1.22,52376,10.5.1.30,9001,TCP,537,537,1185125191,1185665636
2024-11-04 12:21:49.058805,602,10.5.1.30,9001,10.5.1.22,52376,TCP,537,1073,1185665643,1185125191
2024-11-04 12:21:49.060807,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1609,1073,3005165663,2444752413
2024-11-04 12:21:49.060986,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,2145,2444752419,3005165663
2024-11-04 12:21:49.061387,602,10.5.1.21,39736,10.5.1.30,9001,TCP,2145,1073,4286808011,585953241
2024-11-04 12:21:49.067775,602,10.5.1.12,57406,10.5.1.30,9001,TCP,2145,1609,3005165670,2444752419
2024-11-04 12:21:49.067946,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1609,2681,2444752426,3005165670
