Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:54:21.947768,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3003518550,2443094600
2024-11-04 11:54:21.947854,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2443105306,3003518550
2024-11-04 11:54:21.947960,74,10.5.1.30,49244,47.93.60.29,80,TCP,0,0,2381387764,0
2024-11-04 11:54:22.130141,74,47.93.60.29,80,10.5.1.30,49244,TCP,0,1,255405089,2381387764
2024-11-04 11:54:22.130244,66,10.5.1.30,49244,47.93.60.29,80,TCP,1,1,2381387946,255405089
2024-11-04 11:54:22.130402,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2443105488,3003518550
2024-11-04 11:54:22.134670,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3003518737,2443105488
2024-11-04 11:54:22.134773,66,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2443105493,3003518737
2024-11-04 11:54:22.134846,136,10.5.1.30,49244,47.93.60.29,80,TCP,1,1,2381387951,255405089
2024-11-04 11:54:22.312639,66,47.93.60.29,80,10.5.1.30,49244,TCP,1,71,255405273,2381387951
2024-11-04 11:54:22.312755,269,47.93.60.29,80,10.5.1.30,49244,TCP,1,71,255405273,2381387951
2024-11-04 11:54:22.312807,66,10.5.1.30,49244,47.93.60.29,80,TCP,71,204,2381388129,255405273
2024-11-04 11:54:22.312983,602,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2443105671,3003518737
2024-11-04 11:54:22.315330,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,1073,3003518917,2443105671
2024-11-04 11:54:22.315447,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,1609,2443105673,3003518917
2024-11-04 11:54:22.315560,66,10.5.1.30,49244,47.93.60.29,80,TCP,71,204,2381388132,255405273
2024-11-04 11:54:22.492592,66,47.93.60.29,80,10.5.1.30,49244,TCP,204,72,255405453,2381388132
2024-11-04 11:54:22.492690,66,10.5.1.30,49244,47.93.60.29,80,TCP,72,205,2381388309,255405453
2024-11-04 11:54:27.615065,602,10.5.1.23,43528,10.5.1.30,9001,TCP,1,1,1082222037,2553763217
2024-11-04 11:54:27.615171,66,10.5.1.30,9001,10.5.1.23,43528,TCP,1,537,2553792311,1082222037
2024-11-04 11:54:28.091536,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3132591326,3959623756
2024-11-04 11:54:28.091646,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3959643701,3132591326
2024-11-04 11:54:28.092241,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3959643701,3132591326
2024-11-04 11:54:28.106662,1514,10.5.1.30,9001,10.5.1.11,34324,TCP,537,537,3959643716,3132591326
2024-11-04 11:54:28.106874,66,10.5.1.11,34324,10.5.1.30,9001,TCP,537,1985,3132591341,3959643701
2024-11-04 11:54:28.106936,696,10.5.1.30,9001,10.5.1.11,34324,TCP,1985,537,3959643716,3132591341
2024-11-04 11:54:28.107564,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,2615,3132591342,3959643716
2024-11-04 11:54:28.107987,602,10.5.1.30,9001,10.5.1.11,34324,TCP,2615,1073,3959643717,3132591342
2024-11-04 11:54:28.114925,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1073,3151,3132591349,3959643717
2024-11-04 11:54:28.115688,602,10.5.1.30,9001,10.5.1.11,34324,TCP,3151,1609,3959643725,3132591349
2024-11-04 11:54:28.121939,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1609,3687,3132591356,3959643725
2024-11-04 11:54:28.167510,66,10.5.1.30,9001,10.5.1.11,34324,TCP,3687,2145,3959643776,3132591356
