Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:20:48.563544,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,132670234,3024576125
2024-11-04 17:20:48.563580,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3024586470,132670234
2024-11-04 17:20:48.563711,74,10.5.1.30,60136,142.251.209.4,80,TCP,0,0,2901997447,0
2024-11-04 17:20:48.586441,74,142.251.209.4,80,10.5.1.30,60136,TCP,0,1,2926672482,2901997447
2024-11-04 17:20:48.586484,66,10.5.1.30,60136,142.251.209.4,80,TCP,1,1,2901997470,2926672482
2024-11-04 17:20:48.586545,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3024586493,132670234
2024-11-04 17:20:48.590175,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,132670261,3024586493
2024-11-04 17:20:48.590238,139,10.5.1.30,60136,142.251.209.4,80,TCP,1,1,2901997474,2926672482
2024-11-04 17:20:48.616189,66,142.251.209.4,80,10.5.1.30,60136,TCP,1,74,2926672511,2901997474
2024-11-04 17:20:48.633079,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3024586540,132670261
2024-11-04 17:20:48.908959,837,142.251.209.4,80,10.5.1.30,60136,TCP,1,74,2926672800,2901997474
2024-11-04 17:20:48.909006,66,10.5.1.30,60136,142.251.209.4,80,TCP,74,772,2901997793,2926672800
