Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:59:41.049613,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3453875613,4096592260
2024-11-04 19:59:41.050237,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096600218,3453875613
2024-11-04 19:59:41.050610,74,10.5.1.30,32972,216.58.205.36,80,TCP,0,0,3764210184,0
2024-11-04 19:59:41.077900,74,216.58.205.36,80,10.5.1.30,32972,TCP,0,1,1573392389,3764210184
2024-11-04 19:59:41.078198,66,10.5.1.30,32972,216.58.205.36,80,TCP,1,1,3764210212,1573392389
2024-11-04 19:59:41.078273,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096600246,3453875613
2024-11-04 19:59:41.082728,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3453875646,4096600246
2024-11-04 19:59:41.083172,139,10.5.1.30,32972,216.58.205.36,80,TCP,1,1,3764210217,1573392389
2024-11-04 19:59:41.107723,66,216.58.205.36,80,10.5.1.30,32972,TCP,1,74,1573392421,3764210217
2024-11-04 19:59:41.125460,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4096600293,3453875646
2024-11-04 19:59:41.400703,837,216.58.205.36,80,10.5.1.30,32972,TCP,1,74,1573392709,3764210217
2024-11-04 19:59:41.401931,66,10.5.1.30,32972,216.58.205.36,80,TCP,74,772,3764210536,1573392709
