Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:19:09.431922,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,132571103,3024485436
2024-11-04 17:19:09.431941,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3024487339,132571103
2024-11-04 17:19:09.432064,74,10.5.1.30,50814,142.250.180.163,80,TCP,0,0,504999073,0
2024-11-04 17:19:09.456770,74,142.250.180.163,80,10.5.1.30,50814,TCP,0,1,4058528236,504999073
2024-11-04 17:19:09.456795,66,10.5.1.30,50814,142.250.180.163,80,TCP,1,1,504999098,4058528236
2024-11-04 17:19:09.456870,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3024487364,132571103
2024-11-04 17:19:09.460786,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,132571131,3024487364
2024-11-04 17:19:09.460849,139,10.5.1.30,50814,142.250.180.163,80,TCP,1,1,504999102,4058528236
2024-11-04 17:19:09.486640,66,142.250.180.163,80,10.5.1.30,50814,TCP,1,74,4058528266,504999102
2024-11-04 17:19:09.503102,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3024487410,132571131
2024-11-04 17:19:09.779953,837,142.250.180.163,80,10.5.1.30,50814,TCP,1,74,4058528555,504999102
2024-11-04 17:19:09.779985,66,10.5.1.30,50814,142.250.180.163,80,TCP,74,772,504999421,4058528555
2024-11-04 17:19:09.780085,1116,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3024487687,132571131
2024-11-04 17:19:09.783501,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1587,132571454,3024487687
2024-11-04 17:19:09.783527,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1587,1609,3024487690,132571454
2024-11-04 17:19:09.783611,66,10.5.1.30,50814,142.250.180.163,80,TCP,74,772,504999424,4058528555
2024-11-04 17:19:09.809301,66,142.250.180.163,80,10.5.1.30,50814,TCP,772,75,4058528588,504999424
2024-11-04 17:19:09.809334,66,10.5.1.30,50814,142.250.180.163,80,TCP,75,773,504999450,4058528588
2024-11-04 17:19:11.530914,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1609,1587,132573202,3024487690
2024-11-04 17:19:11.530953,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1587,2145,3024489438,132573202
2024-11-04 17:19:11.531273,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1587,2145,3024489438,132573202
2024-11-04 17:19:11.573138,66,10.5.1.11,42168,10.5.1.30,9001,TCP,2145,2123,132573244,3024489438
2024-11-04 17:19:16.857719,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,172825270,2851513381
2024-11-04 17:19:16.858333,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2851523491,172825270
2024-11-04 17:19:16.858371,66,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,172825271,2851523491
2024-11-04 17:19:17.087705,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,172825500,2851523491
2024-11-04 17:19:17.088106,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2851523721,172825500
2024-11-04 17:19:17.088156,66,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,1073,172825501,2851523721
2024-11-04 17:19:17.547062,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,1073,172825960,2851523721
2024-11-04 17:19:17.547675,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,1609,2851524180,172825960
2024-11-04 17:19:17.547721,66,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,1609,172825960,2851524180
2024-11-04 17:19:18.478915,602,10.5.1.30,9001,10.5.1.11,42168,TCP,2123,2145,3024496386,132573244
2024-11-04 17:19:18.478981,66,10.5.1.11,42168,10.5.1.30,9001,TCP,2145,2659,132580150,3024496386
