Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:59:59.667507,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,360183212,2475347807
2024-11-04 11:59:59.667843,74,10.5.1.30,48734,142.250.180.131,80,TCP,0,0,178707883,0
2024-11-04 11:59:59.690378,74,142.250.180.131,80,10.5.1.30,48734,TCP,0,1,3720226655,178707883
2024-11-04 11:59:59.690502,66,10.5.1.30,48734,142.250.180.131,80,TCP,1,1,178707905,3720226655
2024-11-04 11:59:59.690572,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475357778,360183212
2024-11-04 11:59:59.690680,66,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,360183236,2475357778
2024-11-04 11:59:59.694636,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,360183240,2475357778
2024-11-04 11:59:59.694813,142,10.5.1.30,48734,142.250.180.131,80,TCP,1,1,178707910,3720226655
2024-11-04 11:59:59.720289,66,142.250.180.131,80,10.5.1.30,48734,TCP,1,77,3720226685,178707910
2024-11-04 11:59:59.737466,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475357824,360183240
2024-11-04 11:59:59.833145,843,142.250.180.131,80,10.5.1.30,48734,TCP,1,77,3720226796,178707910
2024-11-04 11:59:59.833360,66,10.5.1.30,48734,142.250.180.131,80,TCP,77,778,178708048,3720226796
2024-11-04 11:59:59.833608,1116,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475357921,360183240
2024-11-04 11:59:59.836088,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1587,360183381,2475357921
2024-11-04 11:59:59.836200,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1587,1609,2475357923,360183381
2024-11-04 11:59:59.836337,66,10.5.1.30,48734,142.250.180.131,80,TCP,77,778,178708051,3720226796
2024-11-04 11:59:59.862817,66,142.250.180.131,80,10.5.1.30,48734,TCP,778,78,3720226825,178708051
2024-11-04 11:59:59.862936,66,10.5.1.30,48734,142.250.180.131,80,TCP,78,779,178708078,3720226825
2024-11-04 12:00:07.999853,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1609,1587,360191545,2475357923
2024-11-04 12:00:08.000059,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1587,2145,2475366087,360191545
2024-11-04 12:00:08.719377,602,10.5.1.10,33616,10.5.1.30,9001,TCP,2145,1587,360192264,2475366087
2024-11-04 12:00:08.719542,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1587,2681,2475366807,360192264
2024-11-04 12:00:08.764516,602,10.5.1.10,33616,10.5.1.30,9001,TCP,2681,1587,360192309,2475366807
2024-11-04 12:00:08.764631,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1587,3217,2475366852,360192309
