Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:19:58.985570,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3134122220,3961164274
2024-11-04 12:19:58.985811,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961174595,3134122220
2024-11-04 12:19:58.985994,74,10.5.1.30,44902,142.251.209.3,80,TCP,0,0,508087779,0
2024-11-04 12:19:59.011445,74,142.251.209.3,80,10.5.1.30,44902,TCP,0,1,4005218851,508087779
2024-11-04 12:19:59.011713,66,10.5.1.30,44902,142.251.209.3,80,TCP,1,1,508087805,4005218851
2024-11-04 12:19:59.011832,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961174621,3134122220
2024-11-04 12:19:59.015111,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3134122249,3961174621
2024-11-04 12:19:59.015307,142,10.5.1.30,44902,142.251.209.3,80,TCP,1,1,508087808,4005218851
2024-11-04 12:19:59.038777,66,142.251.209.3,80,10.5.1.30,44902,TCP,1,77,4005218879,508087808
2024-11-04 12:19:59.057340,66,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3961174666,3134122249
2024-11-04 12:19:59.152028,843,142.251.209.3,80,10.5.1.30,44902,TCP,1,77,4005218989,508087808
2024-11-04 12:19:59.152280,66,10.5.1.30,44902,142.251.209.3,80,TCP,77,778,508087945,4005218989
2024-11-04 12:19:59.152476,1116,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3961174761,3134122249
2024-11-04 12:19:59.155274,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1073,1587,3134122389,3961174761
2024-11-04 12:19:59.155633,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1587,1609,3961174765,3134122389
2024-11-04 12:19:59.155798,66,10.5.1.30,44902,142.251.209.3,80,TCP,77,778,508087949,4005218989
2024-11-04 12:19:59.178861,66,142.251.209.3,80,10.5.1.30,44902,TCP,778,78,4005219020,508087949
2024-11-04 12:19:59.179112,66,10.5.1.30,44902,142.251.209.3,80,TCP,78,779,508087972,4005219020
2024-11-04 12:20:01.948656,74,10.5.1.30,35420,10.5.1.12,80,TCP,0,0,2444645307,0
2024-11-04 12:20:01.949045,74,10.5.1.12,80,10.5.1.30,35420,TCP,0,1,3005058551,2444645307
2024-11-04 12:20:01.949217,66,10.5.1.30,35420,10.5.1.12,80,TCP,1,1,2444645307,3005058551
2024-11-04 12:20:01.949469,361,10.5.1.30,35420,10.5.1.12,80,TCP,1,1,2444645307,3005058551
2024-11-04 12:20:01.949683,66,10.5.1.12,80,10.5.1.30,35420,TCP,1,296,3005058552,2444645307
2024-11-04 12:20:01.949804,1667,10.5.1.12,80,10.5.1.30,35420,TCP,1,296,3005058552,2444645307
2024-11-04 12:20:01.949966,66,10.5.1.30,35420,10.5.1.12,80,TCP,296,1602,2444645308,3005058552
2024-11-04 12:20:01.950068,66,10.5.1.12,80,10.5.1.30,35420,TCP,1602,296,3005058552,2444645308
