Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:42:30.368038,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2194226556,2657972529
2024-11-04 18:42:30.368037,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,177818781,2856489563
2024-11-04 18:42:30.368112,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,137572039,3029482739
2024-11-04 18:42:30.368422,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1844132057,3520955345
2024-11-04 18:42:30.368656,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2658000055,2194226556
2024-11-04 18:42:30.368664,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3029488275,137572039
2024-11-04 18:42:30.368785,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3520982864,1844132057
2024-11-04 18:42:30.374748,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1844132063,3520982864
2024-11-04 18:42:30.374798,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3449244938,4091957368
2024-11-04 18:42:30.374881,602,10.5.1.23,40268,10.5.1.30,9001,TCP,537,1,2194226563,2658000055
2024-11-04 18:42:30.375352,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3520982871,1844132063
2024-11-04 18:42:30.375352,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091969543,3449244938
2024-11-04 18:42:30.375436,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,1073,2658000062,2194226563
2024-11-04 18:42:30.375869,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,1,1844132065,3520982871
2024-11-04 18:42:30.376425,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1609,3520982872,1844132065
2024-11-04 18:42:30.378139,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2223479369,3154513190
2024-11-04 18:42:30.378324,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1073,1,2194226566,2658000062
2024-11-04 18:42:30.378717,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3154540746,2223479369
2024-11-04 18:42:30.378888,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,1609,2658000066,2194226566
2024-11-04 18:42:30.379524,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3154540747,2223479369
2024-11-04 18:42:30.383023,1116,10.5.1.11,42168,10.5.1.30,9001,TCP,537,1,137572054,3029488275
2024-11-04 18:42:30.383075,1514,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,177818796,2856489563
2024-11-04 18:42:30.383114,602,10.5.1.30,9001,10.5.1.23,40268,TCP,1,1609,2658000070,2194226566
2024-11-04 18:42:30.383479,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1587,3029488290,137572054
2024-11-04 18:42:30.383912,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1985,2856517017,177818781
2024-11-04 18:42:30.384155,226,10.5.1.12,55266,10.5.1.30,9001,TCP,1985,1,177818797,2856517017
2024-11-04 18:42:30.385101,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,2145,2856517018,177818797
2024-11-04 18:42:30.385448,66,10.5.1.12,55266,10.5.1.30,9001,TCP,2145,537,177818798,2856517018
2024-11-04 18:42:30.385691,1116,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1587,3029488292,137572054
2024-11-04 18:42:30.389795,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1609,537,2194226577,2658000070
2024-11-04 18:42:30.389876,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,537,2223479381,3154540747
2024-11-04 18:42:30.390890,602,10.5.1.30,9001,10.5.1.23,40268,TCP,537,2145,2658000078,2194226577
2024-11-04 18:42:30.393414,602,10.5.1.30,9001,10.5.1.20,56104,TCP,537,1073,3154540761,2223479381
2024-11-04 18:42:30.393571,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,2145,537,177818806,2856517018
2024-11-04 18:42:30.396935,1116,10.5.1.30,9001,10.5.1.12,55266,TCP,537,3195,2856517030,177818806
2024-11-04 18:42:30.399771,1116,10.5.1.11,42168,10.5.1.30,9001,TCP,1587,1051,137572070,3029488292
2024-11-04 18:42:30.400522,1116,10.5.1.30,9001,10.5.1.11,42168,TCP,1051,2637,3029488307,137572070
2024-11-04 18:42:30.403409,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1073,1073,2223479394,3154540761
2024-11-04 18:42:30.403631,602,10.5.1.12,55266,10.5.1.30,9001,TCP,3195,1587,177818816,2856517030
2024-11-04 18:42:30.403638,602,10.5.1.23,40268,10.5.1.30,9001,TCP,2145,1073,2194226591,2658000078
2024-11-04 18:42:30.404224,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1587,3731,2856517037,177818816
2024-11-04 18:42:30.407004,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,1609,3154540775,2223479394
2024-11-04 18:42:30.407423,1116,10.5.1.11,42168,10.5.1.30,9001,TCP,2637,2101,137572078,3029488307
2024-11-04 18:42:30.407805,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1609,1609,2223479398,3154540775
2024-11-04 18:42:30.413795,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,3731,2123,177818826,2856517037
2024-11-04 18:42:30.414703,1116,10.5.1.30,9001,10.5.1.12,55266,TCP,2123,4781,2856517047,177818826
2024-11-04 18:42:30.416394,602,10.5.1.12,55266,10.5.1.30,9001,TCP,4781,3173,177818829,2856517047
2024-11-04 18:42:30.423738,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,1,3449244987,4091969543
2024-11-04 18:42:30.424177,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1073,4091969592,3449244987
2024-11-04 18:42:30.425050,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,1,1844132114,3520982872
2024-11-04 18:42:30.425492,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,2145,3520982921,1844132114
2024-11-04 18:42:30.426383,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,2145,3520982922,1844132114
2024-11-04 18:42:30.433227,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2145,537,1844132122,3520982922
2024-11-04 18:42:30.434089,602,10.5.1.30,9001,10.5.1.21,54580,TCP,537,2681,3520982930,1844132122
2024-11-04 18:42:30.439539,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2681,1073,1844132128,3520982930
2024-11-04 18:42:30.445936,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1073,2681,2658000133,2194226591
2024-11-04 18:42:30.446479,602,10.5.1.23,40268,10.5.1.30,9001,TCP,2681,1073,2194226634,2658000133
2024-11-04 18:42:30.446869,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1073,3217,2658000134,2194226634
2024-11-04 18:42:30.447802,602,10.5.1.30,9001,10.5.1.23,40268,TCP,1073,3217,2658000134,2194226634
2024-11-04 18:42:30.449263,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1609,2145,3154540817,2223479398
2024-11-04 18:42:30.449270,66,10.5.1.30,9001,10.5.1.11,42168,TCP,2101,3687,3029488356,137572078
2024-11-04 18:42:30.449621,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2145,1609,2223479440,3154540817
2024-11-04 18:42:30.449997,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1609,2681,3154540818,2223479440
2024-11-04 18:42:30.450465,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1609,2681,3154540818,2223479440
2024-11-04 18:42:30.453907,602,10.5.1.23,40268,10.5.1.30,9001,TCP,3217,1609,2194226642,2658000134
2024-11-04 18:42:30.454862,602,10.5.1.30,9001,10.5.1.23,40268,TCP,1609,3753,2658000142,2194226642
2024-11-04 18:42:30.459273,66,10.5.1.30,9001,10.5.1.12,55266,TCP,3173,5317,2856517092,177818829
2024-11-04 18:42:30.459800,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,5317,3173,177818872,2856517092
2024-11-04 18:42:30.460237,66,10.5.1.30,9001,10.5.1.12,55266,TCP,3173,6367,2856517093,177818872
2024-11-04 18:42:30.460686,602,10.5.1.23,40268,10.5.1.30,9001,TCP,3753,2145,2194226648,2658000142
2024-11-04 18:42:30.482612,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,3217,3520982978,1844132128
2024-11-04 18:42:30.492646,66,10.5.1.20,56104,10.5.1.30,9001,TCP,2681,2145,2223479483,3154540818
2024-11-04 18:42:30.493196,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2681,2145,2223479484,3154540818
2024-11-04 18:42:30.505943,66,10.5.1.30,9001,10.5.1.23,40268,TCP,2145,4289,2658000193,2194226648
2024-11-04 18:42:30.535937,66,10.5.1.30,9001,10.5.1.20,56104,TCP,2145,3217,3154540904,2223479484
2024-11-04 18:42:31.079755,602,10.5.1.11,42168,10.5.1.30,9001,TCP,3687,2101,137572750,3029488356
2024-11-04 18:42:31.079755,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1,3449245643,4091969592
2024-11-04 18:42:31.080568,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1609,4091970248,3449245643
2024-11-04 18:42:31.080571,66,10.5.1.30,9001,10.5.1.11,42168,TCP,2101,4223,3029488987,137572750
2024-11-04 18:42:31.081069,602,10.5.1.11,42168,10.5.1.30,9001,TCP,4223,2101,137572752,3029488987
2024-11-04 18:42:31.081095,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1609,1,3449245645,4091970248
2024-11-04 18:42:31.081487,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,2145,4091970249,3449245645
2024-11-04 18:42:31.081594,66,10.5.1.30,9001,10.5.1.11,42168,TCP,2101,4759,3029488988,137572752
2024-11-04 18:42:31.085249,602,10.5.1.11,42168,10.5.1.30,9001,TCP,4759,2101,137572756,3029488988
2024-11-04 18:42:31.085794,66,10.5.1.30,9001,10.5.1.11,42168,TCP,2101,5295,3029488992,137572756
2024-11-04 18:42:31.088132,602,10.5.1.21,54580,10.5.1.30,9001,TCP,3217,1073,1844132777,3520982978
2024-11-04 18:42:31.088547,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,3753,3520983584,1844132777
2024-11-04 18:42:31.089447,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,3753,3520983585,1844132777
2024-11-04 18:42:31.090051,602,10.5.1.20,56104,10.5.1.30,9001,TCP,3217,2145,2223480081,3154540904
2024-11-04 18:42:31.090066,1116,10.5.1.10,42922,10.5.1.30,9001,TCP,2145,1,3449245654,4091970249
2024-11-04 18:42:31.090345,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,3195,4091970258,3449245654
2024-11-04 18:42:31.090496,66,10.5.1.30,9001,10.5.1.20,56104,TCP,2145,3753,3154541458,2223480081
2024-11-04 18:42:31.090898,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,3195,4091970259,3449245654
2024-11-04 18:42:31.093529,602,10.5.1.30,9001,10.5.1.20,56104,TCP,2145,3753,3154541461,2223480081
2024-11-04 18:42:31.093907,66,10.5.1.20,56104,10.5.1.30,9001,TCP,3753,2681,2223480085,3154541461
2024-11-04 18:42:31.099865,602,10.5.1.21,54580,10.5.1.30,9001,TCP,3753,1609,1844132789,3520983585
2024-11-04 18:42:31.100429,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1609,4289,3520983596,1844132789
2024-11-04 18:42:31.103034,602,10.5.1.20,56104,10.5.1.30,9001,TCP,3753,2681,2223480094,3154541461
2024-11-04 18:42:31.103106,602,10.5.1.10,42922,10.5.1.30,9001,TCP,3195,537,3449245667,4091970259
2024-11-04 18:42:31.103740,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,3731,4091970271,3449245667
2024-11-04 18:42:31.104169,602,10.5.1.30,9001,10.5.1.20,56104,TCP,2681,4289,3154541472,2223480094
2024-11-04 18:42:31.109575,602,10.5.1.10,42922,10.5.1.30,9001,TCP,3731,1073,3449245673,4091970271
2024-11-04 18:42:31.112747,602,10.5.1.20,56104,10.5.1.30,9001,TCP,4289,3217,2223480103,3154541472
2024-11-04 18:42:31.113598,602,10.5.1.21,54580,10.5.1.30,9001,TCP,4289,2145,1844132802,3520983596
2024-11-04 18:42:31.126315,602,10.5.1.11,42168,10.5.1.30,9001,TCP,5295,2101,137572797,3029488992
2024-11-04 18:42:31.126718,66,10.5.1.30,9001,10.5.1.11,42168,TCP,2101,5831,3029489033,137572797
2024-11-04 18:42:31.152619,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,4267,4091970320,3449245673
2024-11-04 18:42:31.155953,66,10.5.1.30,9001,10.5.1.20,56104,TCP,3217,4825,3154541524,2223480103
2024-11-04 18:42:31.156378,602,10.5.1.20,56104,10.5.1.30,9001,TCP,4825,3217,2223480147,3154541524
2024-11-04 18:42:31.156633,66,10.5.1.30,9001,10.5.1.20,56104,TCP,3217,5361,3154541524,2223480147
2024-11-04 18:42:31.157220,602,10.5.1.30,9001,10.5.1.20,56104,TCP,3217,5361,3154541525,2223480147
2024-11-04 18:42:31.159263,66,10.5.1.30,9001,10.5.1.21,54580,TCP,2145,4825,3520983655,1844132802
