Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:06:33.500633,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,360577046,2475741301
2024-11-04 12:06:33.500844,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475751588,360577046
2024-11-04 12:06:33.500995,74,10.5.1.30,56048,142.251.209.3,80,TCP,0,0,507282294,0
2024-11-04 12:06:33.523754,74,142.251.209.3,80,10.5.1.30,56048,TCP,0,1,652485818,507282294
2024-11-04 12:06:33.523922,66,10.5.1.30,56048,142.251.209.3,80,TCP,1,1,507282317,652485818
2024-11-04 12:06:33.524117,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475751611,360577046
2024-11-04 12:06:33.528181,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,360577073,2475751611
2024-11-04 12:06:33.528332,143,10.5.1.30,56048,142.251.209.3,80,TCP,1,1,507282321,652485818
2024-11-04 12:06:33.553593,66,142.251.209.3,80,10.5.1.30,56048,TCP,1,78,652485848,507282321
2024-11-04 12:06:33.570767,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475751658,360577073
2024-11-04 12:06:33.663961,845,142.251.209.3,80,10.5.1.30,56048,TCP,1,78,652485959,507282321
2024-11-04 12:06:33.664251,66,10.5.1.30,56048,142.251.209.3,80,TCP,78,780,507282457,652485959
