Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:58:02.773915,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3003739376,2443315714
2024-11-04 11:58:02.774055,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2443326132,3003739376
2024-11-04 11:58:02.774207,74,10.5.1.30,53142,142.250.180.131,80,TCP,0,0,178590989,0
2024-11-04 11:58:02.798531,74,142.250.180.131,80,10.5.1.30,53142,TCP,0,1,643025316,178590989
2024-11-04 11:58:02.798762,66,10.5.1.30,53142,142.250.180.131,80,TCP,1,1,178591014,643025316
2024-11-04 11:58:02.799011,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2443326157,3003739376
2024-11-04 11:58:02.801647,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3003739404,2443326157
2024-11-04 11:58:02.802087,143,10.5.1.30,53142,142.250.180.131,80,TCP,1,1,178591017,643025316
2024-11-04 11:58:02.825869,66,142.250.180.131,80,10.5.1.30,53142,TCP,1,78,643025343,178591017
2024-11-04 11:58:02.844151,66,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2443326202,3003739404
2024-11-04 11:58:02.941133,845,142.250.180.131,80,10.5.1.30,53142,TCP,1,78,643025453,178591017
2024-11-04 11:58:02.941276,66,10.5.1.30,53142,142.250.180.131,80,TCP,78,780,178591156,643025453
2024-11-04 11:58:02.941404,1116,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2443326299,3003739404
2024-11-04 11:58:02.944935,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,1587,3003739547,2443326299
2024-11-04 11:58:02.945100,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1587,1609,2443326303,3003739547
2024-11-04 11:58:02.945355,66,10.5.1.30,53142,142.250.180.131,80,TCP,78,780,178591160,643025453
2024-11-04 11:58:02.970968,66,142.250.180.131,80,10.5.1.30,53142,TCP,780,79,643025486,178591160
2024-11-04 11:58:02.971078,66,10.5.1.30,53142,142.250.180.131,80,TCP,79,781,178591186,643025486
2024-11-04 11:58:03.901344,1116,10.5.1.22,52376,10.5.1.30,9001,TCP,1,1,1183700034,1184150415
2024-11-04 11:58:03.901591,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1,1051,1184240486,1183700034
2024-11-04 11:58:03.901994,1116,10.5.1.30,9001,10.5.1.22,52376,TCP,1,1051,1184240486,1183700034
2024-11-04 11:58:03.903062,1116,10.5.1.21,39736,10.5.1.30,9001,TCP,1,1,4285382853,584468915
2024-11-04 11:58:03.903469,1116,10.5.1.30,9001,10.5.1.21,39736,TCP,1,1051,584528092,4285382853
2024-11-04 11:58:03.903640,66,10.5.1.21,39736,10.5.1.30,9001,TCP,1051,1051,4285382854,584528092
2024-11-04 11:58:03.908830,1116,10.5.1.21,39736,10.5.1.30,9001,TCP,1051,1051,4285382859,584528092
2024-11-04 11:58:03.909236,1116,10.5.1.22,52376,10.5.1.30,9001,TCP,1051,1051,1183700042,1184240486
2024-11-04 11:58:03.909490,1116,10.5.1.30,9001,10.5.1.21,39736,TCP,1051,2101,584528098,4285382859
2024-11-04 11:58:03.910960,1116,10.5.1.30,9001,10.5.1.22,52376,TCP,1051,2101,1184240495,1183700042
2024-11-04 11:58:03.915179,1116,10.5.1.21,39736,10.5.1.30,9001,TCP,2101,2101,4285382865,584528098
2024-11-04 11:58:03.918430,1116,10.5.1.22,52376,10.5.1.30,9001,TCP,2101,2101,1183700051,1184240495
2024-11-04 11:58:03.957495,66,10.5.1.30,9001,10.5.1.21,39736,TCP,2101,3151,584528146,4285382865
2024-11-04 11:58:03.960825,66,10.5.1.30,9001,10.5.1.22,52376,TCP,2101,3151,1184240545,1183700051
2024-11-04 11:58:04.618972,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3132807853,3959840943
2024-11-04 11:58:04.619283,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3959860228,3132807853
2024-11-04 11:58:04.628684,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,360068174,2475213836
2024-11-04 11:58:04.628930,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475242716,360068174
2024-11-04 11:58:04.629547,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475242717,360068174
2024-11-04 11:58:04.629704,66,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,360068175,2475242717
