Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:07:15.910009,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,360619455,2475783642
2024-11-04 12:07:15.910198,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475793997,360619455
2024-11-04 12:07:15.910364,74,10.5.1.30,38340,216.58.209.35,80,TCP,0,0,3858941908,0
2024-11-04 12:07:15.935207,74,216.58.209.35,80,10.5.1.30,38340,TCP,0,1,412868964,3858941908
2024-11-04 12:07:15.935405,66,10.5.1.30,38340,216.58.209.35,80,TCP,1,1,3858941933,412868964
2024-11-04 12:07:15.935538,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475794023,360619455
2024-11-04 12:07:15.937573,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,360619483,2475794023
2024-11-04 12:07:15.937839,143,10.5.1.30,38340,216.58.209.35,80,TCP,1,1,3858941936,412868964
2024-11-04 12:07:15.962791,66,216.58.209.35,80,10.5.1.30,38340,TCP,1,78,412868991,3858941936
2024-11-04 12:07:15.980795,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475794068,360619483
2024-11-04 12:07:16.077795,845,216.58.209.35,80,10.5.1.30,38340,TCP,1,78,412869101,3858941936
2024-11-04 12:07:16.078024,66,10.5.1.30,38340,216.58.209.35,80,TCP,78,780,3858942076,412869101
2024-11-04 12:07:16.078176,1116,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475794165,360619483
2024-11-04 12:07:16.081604,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1587,360619627,2475794165
2024-11-04 12:07:16.081808,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1587,1609,2475794169,360619627
2024-11-04 12:07:16.081978,66,10.5.1.30,38340,216.58.209.35,80,TCP,78,780,3858942080,412869101
2024-11-04 12:07:16.107676,66,216.58.209.35,80,10.5.1.30,38340,TCP,780,79,412869134,3858942080
2024-11-04 12:07:16.107910,66,10.5.1.30,38340,216.58.209.35,80,TCP,79,781,3858942106,412869134
2024-11-04 12:07:24.002118,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1609,1587,360627547,2475794169
2024-11-04 12:07:24.002349,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1587,2145,2475802089,360627547
2024-11-04 12:07:24.044304,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3004300646,2443680688
2024-11-04 12:07:24.051139,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1,1,1184260184,1184790739
2024-11-04 12:07:24.051467,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1184800635,1184260184
2024-11-04 12:07:24.052225,602,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1184800636,1184260184
2024-11-04 12:07:24.052474,66,10.5.1.22,52376,10.5.1.30,9001,TCP,537,537,1184260185,1184800636
2024-11-04 12:07:24.055862,602,10.5.1.22,52376,10.5.1.30,9001,TCP,537,537,1184260189,1184800636
