Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:38:34.684214,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3449009248,4091723495
2024-11-04 18:38:34.684608,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091733852,3449009248
2024-11-04 18:38:34.684838,74,10.5.1.30,56612,142.250.180.131,80,TCP,0,0,2628777399,0
2024-11-04 18:38:35.016071,74,142.250.180.131,80,10.5.1.30,56612,TCP,0,1,667057556,2628777399
2024-11-04 18:38:35.016439,66,10.5.1.30,56612,142.250.180.131,80,TCP,1,1,2628777730,667057556
2024-11-04 18:38:35.016735,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091734184,3449009248
2024-11-04 18:38:35.020092,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3449009584,4091734184
2024-11-04 18:38:35.020318,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091734188,3449009584
2024-11-04 18:38:35.020492,139,10.5.1.30,56612,142.250.180.131,80,TCP,1,1,2628777734,667057556
2024-11-04 18:38:35.060222,66,142.250.180.131,80,10.5.1.30,56612,TCP,1,74,667057592,2628777734
2024-11-04 18:38:35.357557,837,142.250.180.131,80,10.5.1.30,56612,TCP,1,74,667057880,2628777734
2024-11-04 18:38:35.358180,66,10.5.1.30,56612,142.250.180.131,80,TCP,74,772,2628778072,667057880
