Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:43:16.869386,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1840578558,3517421332
2024-11-04 17:43:16.869650,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517429365,1840578558
2024-11-04 17:43:16.869829,74,10.5.1.30,42844,142.250.180.131,80,TCP,0,0,2625459584,0
2024-11-04 17:43:16.899003,74,142.250.180.131,80,10.5.1.30,42844,TCP,0,1,1228113553,2625459584
2024-11-04 17:43:16.899183,66,10.5.1.30,42844,142.250.180.131,80,TCP,1,1,2625459613,1228113553
2024-11-04 17:43:16.899308,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517429395,1840578558
2024-11-04 17:43:16.903630,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1840578592,3517429395
2024-11-04 17:43:16.903826,139,10.5.1.30,42844,142.250.180.131,80,TCP,1,1,2625459618,1228113553
2024-11-04 17:43:16.928847,66,142.250.180.131,80,10.5.1.30,42844,TCP,1,74,1228113583,2625459618
2024-11-04 17:43:16.946293,66,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3517429442,1840578592
2024-11-04 17:43:17.219161,837,142.250.180.131,80,10.5.1.30,42844,TCP,1,74,1228113871,2625459618
2024-11-04 17:43:17.219415,66,10.5.1.30,42844,142.250.180.131,80,TCP,74,772,2625459933,1228113871
