Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:01:13.030377,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,360256575,2475428934
2024-11-04 12:01:13.030530,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475431118,360256575
2024-11-04 12:01:13.030665,74,10.5.1.30,48576,216.58.204.131,80,TCP,0,0,3837034319,0
2024-11-04 12:01:13.054063,74,216.58.204.131,80,10.5.1.30,48576,TCP,0,1,233259479,3837034319
2024-11-04 12:01:13.054210,66,10.5.1.30,48576,216.58.204.131,80,TCP,1,1,3837034342,233259479
2024-11-04 12:01:13.054321,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475431141,360256575
2024-11-04 12:01:13.058672,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,360256604,2475431141
2024-11-04 12:01:13.058909,139,10.5.1.30,48576,216.58.204.131,80,TCP,1,1,3837034347,233259479
2024-11-04 12:01:13.081327,66,216.58.204.131,80,10.5.1.30,48576,TCP,1,74,233259506,3837034347
2024-11-04 12:01:13.100812,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475431188,360256604
2024-11-04 12:01:13.194387,837,216.58.204.131,80,10.5.1.30,48576,TCP,1,74,233259619,3837034347
2024-11-04 12:01:13.194571,66,10.5.1.30,48576,216.58.204.131,80,TCP,74,772,3837034483,233259619
