Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:42:19.731907,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,362723277,2477887451
2024-11-04 12:42:19.732333,74,10.5.1.30,42010,142.251.209.3,80,TCP,0,0,509428525,0
2024-11-04 12:42:19.757576,74,142.251.209.3,80,10.5.1.30,42010,TCP,0,1,2330484233,509428525
2024-11-04 12:42:19.757726,66,10.5.1.30,42010,142.251.209.3,80,TCP,1,1,509428551,2330484233
2024-11-04 12:42:19.757908,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2477897845,362723277
2024-11-04 12:42:19.761038,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,362723306,2477897845
2024-11-04 12:42:19.761252,139,10.5.1.30,42010,142.251.209.3,80,TCP,1,1,509428554,2330484233
2024-11-04 12:42:19.785010,66,142.251.209.3,80,10.5.1.30,42010,TCP,1,74,2330484264,509428554
2024-11-04 12:42:19.803869,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2477897891,362723306
2024-11-04 12:42:19.902857,837,142.251.209.3,80,10.5.1.30,42010,TCP,1,74,2330484379,509428554
2024-11-04 12:42:19.903601,66,10.5.1.30,42010,142.251.209.3,80,TCP,74,772,509428697,2330484379
2024-11-04 12:42:19.904141,1116,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2477897991,362723306
2024-11-04 12:42:19.906509,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1587,362723451,2477897991
2024-11-04 12:42:19.906898,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1587,1609,2477897994,362723451
2024-11-04 12:42:19.907257,66,10.5.1.30,42010,142.251.209.3,80,TCP,74,772,509428700,2330484379
2024-11-04 12:42:19.932497,66,142.251.209.3,80,10.5.1.30,42010,TCP,772,75,2330484409,509428700
2024-11-04 12:42:19.932725,66,10.5.1.30,42010,142.251.209.3,80,TCP,75,773,509428726,2330484409
2024-11-04 12:42:29.038472,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3135472272,3962497316
