Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:32:35.343074,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3005811945,2445388313
2024-11-04 12:32:35.343377,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2445398701,3005811945
2024-11-04 12:32:35.343591,74,10.5.1.30,38958,142.251.209.3,80,TCP,0,0,508844137,0
2024-11-04 12:32:35.367945,74,142.251.209.3,80,10.5.1.30,38958,TCP,0,1,4005975204,508844137
2024-11-04 12:32:35.368298,66,10.5.1.30,38958,142.251.209.3,80,TCP,1,1,508844161,4005975204
2024-11-04 12:32:35.368408,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2445398726,3005811945
2024-11-04 12:32:35.371357,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3005811973,2445398726
2024-11-04 12:32:35.371794,139,10.5.1.30,38958,142.251.209.3,80,TCP,1,1,508844165,4005975204
2024-11-04 12:32:35.395316,66,142.251.209.3,80,10.5.1.30,38958,TCP,1,74,4005975232,508844165
2024-11-04 12:32:35.413934,66,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2445398772,3005811973
2024-11-04 12:32:35.508059,837,142.251.209.3,80,10.5.1.30,38958,TCP,1,74,4005975343,508844165
2024-11-04 12:32:35.508394,66,10.5.1.30,38958,142.251.209.3,80,TCP,74,772,508844301,4005975343
2024-11-04 12:32:35.508590,1116,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2445398867,3005811973
2024-11-04 12:32:35.511541,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,1587,3005812114,2445398867
2024-11-04 12:32:35.511794,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1587,1609,2445398870,3005812114
2024-11-04 12:32:35.511954,66,10.5.1.30,38958,142.251.209.3,80,TCP,74,772,508844305,4005975343
2024-11-04 12:32:35.532854,66,142.251.209.3,80,10.5.1.30,38958,TCP,772,75,4005975369,508844305
2024-11-04 12:32:35.533169,66,10.5.1.30,38958,142.251.209.3,80,TCP,75,773,508844326,4005975369
2024-11-04 12:32:40.171910,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3134883406,3961912270
