Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:52:35.503398,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3003412105,2442970787
2024-11-04 11:52:35.503631,74,10.5.1.30,44878,216.58.204.227,80,TCP,0,0,3963362655,0
2024-11-04 11:52:35.523722,74,216.58.204.227,80,10.5.1.30,44878,TCP,0,1,4031046459,3963362655
2024-11-04 11:52:35.523843,66,10.5.1.30,44878,216.58.204.227,80,TCP,1,1,3963362675,4031046459
2024-11-04 11:52:35.524006,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2442998882,3003412105
2024-11-04 11:52:35.524140,66,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3003412126,2442998882
2024-11-04 11:52:35.528144,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3003412130,2442998882
2024-11-04 11:52:35.528244,139,10.5.1.30,44878,216.58.204.227,80,TCP,1,1,3963362679,4031046459
2024-11-04 11:52:35.549016,66,216.58.204.227,80,10.5.1.30,44878,TCP,1,74,4031046485,3963362679
2024-11-04 11:52:35.570858,66,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2442998929,3003412130
2024-11-04 11:52:35.661346,837,216.58.204.227,80,10.5.1.30,44878,TCP,1,74,4031046596,3963362679
2024-11-04 11:52:35.661447,66,10.5.1.30,44878,216.58.204.227,80,TCP,74,772,3963362812,4031046596
2024-11-04 11:52:35.661662,1116,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2442999020,3003412130
2024-11-04 11:52:35.665390,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,1587,3003412267,2442999020
2024-11-04 11:52:35.665526,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1587,1609,2442999023,3003412267
2024-11-04 11:52:35.665639,66,10.5.1.30,44878,216.58.204.227,80,TCP,74,772,3963362817,4031046596
2024-11-04 11:52:35.693779,66,216.58.204.227,80,10.5.1.30,44878,TCP,772,75,4031046627,3963362817
2024-11-04 11:52:35.693870,66,10.5.1.30,44878,216.58.204.227,80,TCP,75,773,3963362845,4031046627
2024-11-04 11:52:36.338072,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,359739883,2474903572
2024-11-04 11:52:36.338514,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2474914425,359739883
2024-11-04 11:52:36.338625,66,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,359739884,2474914425
2024-11-04 11:52:36.344866,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,359739890,2474914425
2024-11-04 11:52:36.345034,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2474914432,359739890
