Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:44:32.198889,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1,4095691367,3452966720
2024-11-04 19:44:32.199475,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3452966763,4095691367
2024-11-04 19:44:32.199851,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095691368,3452966763
2024-11-04 19:44:32.205546,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1,3158262573,2227201154
2024-11-04 19:44:32.205814,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2227201197,3158262573
2024-11-04 19:44:32.206113,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3158262574,2227201197
2024-11-04 19:44:32.210081,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,1,3452966774,4095691368
2024-11-04 19:44:32.210605,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1073,4095691378,3452966774
2024-11-04 19:44:32.211034,74,10.5.1.30,59260,35.186.213.112,80,TCP,0,0,36197048,0
2024-11-04 19:44:32.214238,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2227201205,3158262574
2024-11-04 19:44:32.214340,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2197948402,2661721672
2024-11-04 19:44:32.214410,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,181540627,2860237948
2024-11-04 19:44:32.214419,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1,3452966778,4095691378
2024-11-04 19:44:32.214859,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3158262583,2227201205
2024-11-04 19:44:32.215024,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1609,4095691383,3452966778
2024-11-04 19:44:32.215026,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2661721902,2197948402
2024-11-04 19:44:32.215089,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2860238848,181540627
2024-11-04 19:44:32.215262,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1073,1,2227201206,3158262583
2024-11-04 19:44:32.215716,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1609,3158262583,2227201206
2024-11-04 19:44:32.223121,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1609,1,2227201214,3158262583
2024-11-04 19:44:32.223213,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,181540636,2860238848
2024-11-04 19:44:32.223835,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,2145,3158262592,2227201214
2024-11-04 19:44:32.223836,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2860238857,181540636
2024-11-04 19:44:32.224533,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2145,1,2227201215,3158262592
2024-11-04 19:44:32.224582,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1847853913,3524704570
2024-11-04 19:44:32.224992,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,2681,3158262593,2227201215
2024-11-04 19:44:32.225001,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3524704721,1847853913
2024-11-04 19:44:32.225683,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,2681,3158262593,2227201215
2024-11-04 19:44:32.226083,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2681,537,2227201217,3158262593
2024-11-04 19:44:32.226112,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1847853915,3524704721
2024-11-04 19:44:32.226475,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3524704722,1847853915
2024-11-04 19:44:32.229038,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3524704725,1847853915
2024-11-04 19:44:32.232886,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,1,181540646,2860238857
2024-11-04 19:44:32.232906,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,537,1847853922,3524704725
2024-11-04 19:44:32.233282,602,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1609,3524704729,1847853922
2024-11-04 19:44:32.233415,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1609,2860238866,181540646
2024-11-04 19:44:32.236034,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1609,2860238869,181540646
2024-11-04 19:44:32.239631,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,1073,1847853928,3524704729
2024-11-04 19:44:32.243120,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,537,181540656,2860238869
2024-11-04 19:44:32.243479,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,2145,2860238876,181540656
2024-11-04 19:44:32.249307,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2145,1073,181540662,2860238876
2024-11-04 19:44:32.260927,74,35.186.213.112,80,10.5.1.30,59260,TCP,0,1,4187202441,36197048
2024-11-04 19:44:32.261184,66,10.5.1.30,59260,35.186.213.112,80,TCP,1,1,36197098,4187202441
2024-11-04 19:44:32.261220,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1609,4095691429,3452966778
2024-11-04 19:44:32.266464,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1609,537,3452966830,4095691429
2024-11-04 19:44:32.267690,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,2145,4095691435,3452966830
2024-11-04 19:44:32.268495,139,10.5.1.30,59260,35.186.213.112,80,TCP,1,1,36197105,4187202441
2024-11-04 19:44:32.268907,66,10.5.1.30,9001,10.5.1.20,56104,TCP,537,3217,3158262637,2227201217
2024-11-04 19:44:32.269652,1138,10.5.1.20,56104,10.5.1.30,9001,TCP,3217,537,2227201260,3158262637
2024-11-04 19:44:32.270519,66,10.5.1.30,9001,10.5.1.20,56104,TCP,537,4289,3158262638,2227201260
2024-11-04 19:44:32.270905,602,10.5.1.30,9001,10.5.1.20,56104,TCP,537,4289,3158262639,2227201260
2024-11-04 19:44:32.279524,602,10.5.1.20,56104,10.5.1.30,9001,TCP,4289,1073,2227201270,3158262639
2024-11-04 19:44:32.280206,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,4825,3158262648,2227201270
2024-11-04 19:44:32.282232,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,2145,3524704778,1847853928
2024-11-04 19:44:32.283555,602,10.5.1.20,56104,10.5.1.30,9001,TCP,4825,1609,2227201274,3158262648
2024-11-04 19:44:32.292213,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,2681,2860238925,181540662
2024-11-04 19:44:32.294839,66,35.186.213.112,80,10.5.1.30,59260,TCP,1,74,4187202499,36197105
2024-11-04 19:44:32.296738,602,10.5.1.10,42922,10.5.1.30,9001,TCP,2145,537,3452966860,4095691435
2024-11-04 19:44:32.297301,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,2681,4095691465,3452966860
2024-11-04 19:44:32.298197,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,2681,4095691466,3452966860
2024-11-04 19:44:32.303193,602,10.5.1.10,42922,10.5.1.30,9001,TCP,2681,1073,3452966867,4095691466
2024-11-04 19:44:32.303789,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,3217,4095691472,3452966867
2024-11-04 19:44:32.309715,602,10.5.1.10,42922,10.5.1.30,9001,TCP,3217,1609,3452966873,4095691472
2024-11-04 19:44:32.328920,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1609,5361,3158262697,2227201274
2024-11-04 19:44:32.352229,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1609,3753,4095691520,3452966873
2024-11-04 19:44:32.478016,303,35.186.213.112,80,10.5.1.30,59260,TCP,1,74,4187202625,36197105
2024-11-04 19:44:32.478667,66,10.5.1.30,59260,35.186.213.112,80,TCP,74,238,36197315,4187202625
2024-11-04 19:44:32.479030,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1609,3753,4095691647,3452966873
2024-11-04 19:44:32.483245,602,10.5.1.10,42922,10.5.1.30,9001,TCP,3753,2145,3452967047,4095691647
2024-11-04 19:44:32.483813,66,10.5.1.30,9001,10.5.1.10,42922,TCP,2145,4289,4095691652,3452967047
2024-11-04 19:44:32.484185,66,10.5.1.30,59260,35.186.213.112,80,TCP,74,238,36197321,4187202625
2024-11-04 19:44:32.485380,602,10.5.1.20,56104,10.5.1.30,9001,TCP,5361,1609,2227201476,3158262697
2024-11-04 19:44:32.485483,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2145,1073,1847854174,3524704778
2024-11-04 19:44:32.486131,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1609,5897,3158262854,2227201476
2024-11-04 19:44:32.486292,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,2681,3524704982,1847854174
2024-11-04 19:44:32.486428,602,10.5.1.20,56104,10.5.1.30,9001,TCP,5897,1609,2227201477,3158262854
2024-11-04 19:44:32.486766,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1609,6433,3158262854,2227201477
2024-11-04 19:44:32.487063,602,10.5.1.20,56104,10.5.1.30,9001,TCP,6433,1609,2227201478,3158262854
2024-11-04 19:44:32.487066,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2681,1073,1847854176,3524704982
2024-11-04 19:44:32.487479,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1609,6969,3158262855,2227201478
2024-11-04 19:44:32.487883,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,3217,3524704984,1847854176
2024-11-04 19:44:32.488800,602,10.5.1.21,54580,10.5.1.30,9001,TCP,3217,1073,1847854177,3524704984
2024-11-04 19:44:32.489552,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,3753,3524704985,1847854177
2024-11-04 19:44:32.496644,602,10.5.1.21,54580,10.5.1.30,9001,TCP,3753,1073,1847854185,3524704985
2024-11-04 19:44:32.497695,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,4289,3524704993,1847854185
2024-11-04 19:44:32.498802,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,4289,3524704995,1847854185
2024-11-04 19:44:32.499626,1116,10.5.1.20,56104,10.5.1.30,9001,TCP,6969,1609,2227201490,3158262855
2024-11-04 19:44:32.500417,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1609,8019,3158262868,2227201490
2024-11-04 19:44:32.501511,1116,10.5.1.30,9001,10.5.1.20,56104,TCP,1609,8019,3158262869,2227201490
2024-11-04 19:44:32.502762,602,10.5.1.21,54580,10.5.1.30,9001,TCP,4289,1609,1847854191,3524704995
2024-11-04 19:44:32.503798,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1609,4825,3524705000,1847854191
2024-11-04 19:44:32.509687,602,10.5.1.21,54580,10.5.1.30,9001,TCP,4825,2145,1847854198,3524705000
2024-11-04 19:44:32.509692,1116,10.5.1.20,56104,10.5.1.30,9001,TCP,8019,2659,2227201500,3158262869
2024-11-04 19:44:32.510366,1116,10.5.1.30,9001,10.5.1.20,56104,TCP,2659,9069,3158262878,2227201500
2024-11-04 19:44:32.513306,602,10.5.1.30,9001,10.5.1.21,54580,TCP,2145,5361,3524705009,1847854198
2024-11-04 19:44:32.516462,602,10.5.1.21,54580,10.5.1.30,9001,TCP,5361,2681,1847854205,3524705009
2024-11-04 19:44:32.517081,602,10.5.1.30,9001,10.5.1.21,54580,TCP,2681,5897,3524705013,1847854205
2024-11-04 19:44:32.523057,602,10.5.1.21,54580,10.5.1.30,9001,TCP,5897,3217,1847854212,3524705013
2024-11-04 19:44:32.552269,66,10.5.1.20,56104,10.5.1.30,9001,TCP,9069,3709,2227201543,3158262878
2024-11-04 19:44:32.555687,1116,10.5.1.20,56104,10.5.1.30,9001,TCP,9069,3709,2227201546,3158262878
2024-11-04 19:44:32.561120,66,35.186.213.112,80,10.5.1.30,59260,TCP,238,75,4187202714,36197321
2024-11-04 19:44:32.561838,66,10.5.1.30,59260,35.186.213.112,80,TCP,75,239,36197399,4187202714
2024-11-04 19:44:32.565591,66,10.5.1.30,9001,10.5.1.21,54580,TCP,3217,6433,3524705061,1847854212
2024-11-04 19:44:32.566414,602,10.5.1.21,54580,10.5.1.30,9001,TCP,6433,3217,1847854255,3524705061
2024-11-04 19:44:32.566904,66,10.5.1.30,9001,10.5.1.21,54580,TCP,3217,6969,3524705063,1847854255
2024-11-04 19:44:32.602226,66,10.5.1.30,9001,10.5.1.20,56104,TCP,3709,10119,3158262970,2227201546
2024-11-04 19:44:33.859804,602,10.5.1.20,56104,10.5.1.30,9001,TCP,10119,3709,2227202850,3158262970
2024-11-04 19:44:33.860198,602,10.5.1.21,54580,10.5.1.30,9001,TCP,6969,3217,1847855549,3524705063
2024-11-04 19:44:33.860598,66,10.5.1.30,9001,10.5.1.20,56104,TCP,3709,10655,3158264228,2227202850
2024-11-04 19:44:33.861299,66,10.5.1.30,9001,10.5.1.21,54580,TCP,3217,7505,3524706357,1847855549
2024-11-04 19:44:33.861448,602,10.5.1.20,56104,10.5.1.30,9001,TCP,10655,3709,2227202852,3158264228
2024-11-04 19:44:33.861958,66,10.5.1.30,9001,10.5.1.20,56104,TCP,3709,11191,3158264230,2227202852
2024-11-04 19:44:33.862892,602,10.5.1.21,54580,10.5.1.30,9001,TCP,7505,3217,1847855552,3524706357
2024-11-04 19:44:33.863562,66,10.5.1.30,9001,10.5.1.21,54580,TCP,3217,8041,3524706359,1847855552
2024-11-04 19:44:33.869875,1630,10.5.1.20,56104,10.5.1.30,9001,TCP,11191,3709,2227202861,3158264230
2024-11-04 19:44:33.870167,1116,10.5.1.21,54580,10.5.1.30,9001,TCP,8041,3217,1847855559,3524706359
2024-11-04 19:44:33.870170,602,10.5.1.23,40268,10.5.1.30,9001,TCP,537,1,2197950058,2661721902
2024-11-04 19:44:33.870532,66,10.5.1.30,9001,10.5.1.20,56104,TCP,3709,12755,3158264238,2227202861
2024-11-04 19:44:33.870925,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,1073,2661723558,2197950058
2024-11-04 19:44:33.870988,66,10.5.1.30,9001,10.5.1.21,54580,TCP,3217,9091,3524706367,1847855559
2024-11-04 19:44:33.871751,1116,10.5.1.30,9001,10.5.1.20,56104,TCP,3709,12755,3158264239,2227202861
2024-11-04 19:44:33.872503,66,10.5.1.20,56104,10.5.1.30,9001,TCP,12755,4759,2227202863,3158264239
2024-11-04 19:44:33.872563,602,10.5.1.20,56104,10.5.1.30,9001,TCP,12755,4759,2227202863,3158264239
2024-11-04 19:44:33.875779,602,10.5.1.30,9001,10.5.1.23,40268,TCP,1,1073,2661723562,2197950058
2024-11-04 19:44:33.876018,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1073,1,2197950064,2661723558
2024-11-04 19:44:33.876458,602,10.5.1.30,9001,10.5.1.21,54580,TCP,3217,9091,3524706372,1847855559
2024-11-04 19:44:33.877115,602,10.5.1.30,9001,10.5.1.20,56104,TCP,4759,13291,3158264245,2227202863
2024-11-04 19:44:33.879119,602,10.5.1.21,54580,10.5.1.30,9001,TCP,9091,3753,1847855568,3524706372
2024-11-04 19:44:33.879716,1116,10.5.1.20,56104,10.5.1.30,9001,TCP,13291,5295,2227202870,3158264245
2024-11-04 19:44:33.882547,602,10.5.1.30,9001,10.5.1.21,54580,TCP,3753,9627,3524706378,1847855568
2024-11-04 19:44:33.883168,1116,10.5.1.30,9001,10.5.1.20,56104,TCP,5295,14341,3158264251,2227202870
2024-11-04 19:44:33.883833,602,10.5.1.20,56104,10.5.1.30,9001,TCP,14341,6345,2227202875,3158264251
2024-11-04 19:44:33.886626,602,10.5.1.30,9001,10.5.1.20,56104,TCP,6345,14877,3158264254,2227202875
2024-11-04 19:44:33.887535,602,10.5.1.21,54580,10.5.1.30,9001,TCP,9627,4289,1847855576,3524706378
2024-11-04 19:44:33.889896,1116,10.5.1.20,56104,10.5.1.30,9001,TCP,14877,6881,2227202881,3158264254
2024-11-04 19:44:33.922232,66,10.5.1.30,9001,10.5.1.23,40268,TCP,537,1609,2661723609,2197950064
2024-11-04 19:44:33.922774,66,10.5.1.23,40268,10.5.1.30,9001,TCP,1609,537,2197950110,2661723562
2024-11-04 19:44:33.923258,602,10.5.1.30,9001,10.5.1.23,40268,TCP,537,1609,2661723610,2197950110
2024-11-04 19:44:33.923801,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1609,537,2197950111,2661723609
2024-11-04 19:44:33.924427,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1073,2145,2661723611,2197950111
2024-11-04 19:44:33.924964,66,10.5.1.23,40268,10.5.1.30,9001,TCP,2145,1073,2197950112,2661723610
2024-11-04 19:44:33.925496,602,10.5.1.30,9001,10.5.1.23,40268,TCP,1073,2145,2661723612,2197950112
2024-11-04 19:44:33.926174,602,10.5.1.23,40268,10.5.1.30,9001,TCP,2145,1073,2197950114,2661723611
2024-11-04 19:44:33.928889,66,10.5.1.30,9001,10.5.1.21,54580,TCP,4289,10163,3524706425,1847855576
2024-11-04 19:44:33.932212,66,10.5.1.30,9001,10.5.1.20,56104,TCP,6881,15927,3158264300,2227202881
2024-11-04 19:44:33.932470,602,10.5.1.20,56104,10.5.1.30,9001,TCP,15927,6881,2227202923,3158264300
2024-11-04 19:44:33.932776,66,10.5.1.30,9001,10.5.1.20,56104,TCP,6881,16463,3158264300,2227202923
2024-11-04 19:44:33.941420,3172,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,2681,2860240574,181540662
2024-11-04 19:44:33.942341,3172,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1,3033211849,141293694
2024-11-04 19:44:33.942362,66,10.5.1.12,55266,10.5.1.30,9001,TCP,2681,4179,181542355,2860240574
2024-11-04 19:44:33.943444,66,10.5.1.11,42168,10.5.1.30,9001,TCP,1,3107,141295614,3033211849
2024-11-04 19:44:33.943686,1630,10.5.1.12,55266,10.5.1.30,9001,TCP,2681,4179,181542356,2860240574
2024-11-04 19:44:33.944519,66,10.5.1.30,9001,10.5.1.12,55266,TCP,4179,4245,2860240577,181542356
2024-11-04 19:44:33.944797,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,3107,141295615,3033211849
2024-11-04 19:44:33.945578,66,10.5.1.30,9001,10.5.1.11,42168,TCP,3107,537,3033211852,141295615
2024-11-04 19:44:33.946354,1630,10.5.1.30,9001,10.5.1.12,55266,TCP,4179,4245,2860240579,181542356
2024-11-04 19:44:33.947265,66,10.5.1.12,55266,10.5.1.30,9001,TCP,4245,5743,181542360,2860240579
2024-11-04 19:44:33.949372,1116,10.5.1.11,42168,10.5.1.30,9001,TCP,537,3107,141295620,3033211852
2024-11-04 19:44:33.949744,602,10.5.1.12,55266,10.5.1.30,9001,TCP,4245,5743,181542362,2860240579
2024-11-04 19:44:33.949952,602,10.5.1.30,9001,10.5.1.11,42168,TCP,3107,537,3033211857,141295615
2024-11-04 19:44:33.952521,602,10.5.1.30,9001,10.5.1.12,55266,TCP,5743,4781,2860240585,181542362
2024-11-04 19:44:33.955826,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,4781,6279,181542369,2860240585
2024-11-04 19:44:33.957794,1116,10.5.1.30,9001,10.5.1.12,55266,TCP,6279,5831,2860240591,181542369
