Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:34:26.565141,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3448761129,4091476521
2024-11-04 18:34:26.565558,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091485733,3448761129
2024-11-04 18:34:26.565836,74,10.5.1.30,37396,185.195.230.23,80,TCP,0,0,332863918,0
2024-11-04 18:34:26.637385,74,185.195.230.23,80,10.5.1.30,37396,TCP,0,1,636861736,332863918
2024-11-04 18:34:26.637748,66,10.5.1.30,37396,185.195.230.23,80,TCP,1,1,332863989,636861736
2024-11-04 18:34:26.637965,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091485806,3448761129
2024-11-04 18:34:26.643525,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3448761207,4091485806
2024-11-04 18:34:26.643827,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091485812,3448761207
2024-11-04 18:34:26.644072,140,10.5.1.30,37396,185.195.230.23,80,TCP,1,1,332863996,636861736
2024-11-04 18:34:26.722251,66,185.195.230.23,80,10.5.1.30,37396,TCP,1,75,636861821,332863996
2024-11-04 18:34:26.722586,419,185.195.230.23,80,10.5.1.30,37396,TCP,1,75,636861821,332863996
2024-11-04 18:34:26.722750,66,10.5.1.30,37396,185.195.230.23,80,TCP,75,354,332864074,636861821
2024-11-04 18:34:26.723027,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091485891,3448761207
