Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:17:18.597540,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,139660268,3031568335
2024-11-04 19:17:18.598090,74,10.5.1.30,49764,54.36.111.118,80,TCP,0,0,1753329144,0
2024-11-04 19:17:18.633123,74,54.36.111.118,80,10.5.1.30,49764,TCP,0,1,3004875412,1753329144
2024-11-04 19:17:18.633644,66,10.5.1.30,49764,54.36.111.118,80,TCP,1,1,1753329179,3004875412
2024-11-04 19:17:18.633767,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031576540,139660268
2024-11-04 19:17:18.634273,66,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139660305,3031576540
2024-11-04 19:17:18.640040,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139660311,3031576540
2024-11-04 19:17:18.640339,141,10.5.1.30,49764,54.36.111.118,80,TCP,1,1,1753329186,3004875412
2024-11-04 19:17:18.675587,66,54.36.111.118,80,10.5.1.30,49764,TCP,1,76,3004875455,1753329186
2024-11-04 19:17:18.678082,403,54.36.111.118,80,10.5.1.30,49764,TCP,1,76,3004875457,1753329186
2024-11-04 19:17:18.678568,66,10.5.1.30,49764,54.36.111.118,80,TCP,76,338,1753329224,3004875457
2024-11-04 19:17:18.679044,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3031576586,139660311
