Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:12:45.294699,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1845946983,3522787423
2024-11-04 19:12:45.295283,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3522797791,1845946983
2024-11-04 19:12:45.295655,74,10.5.1.30,49916,3.222.102.97,80,TCP,0,0,2734459898,0
2024-11-04 19:12:45.415881,74,3.222.102.97,80,10.5.1.30,49916,TCP,0,1,3546367414,2734459898
2024-11-04 19:12:45.416353,66,10.5.1.30,49916,3.222.102.97,80,TCP,1,1,2734460019,3546367414
2024-11-04 19:12:45.416495,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3522797912,1845946983
2024-11-04 19:12:45.422876,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1845947112,3522797912
2024-11-04 19:12:45.423397,66,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3522797919,1845947112
2024-11-04 19:12:45.423842,143,10.5.1.30,49916,3.222.102.97,80,TCP,1,1,2734460027,3546367414
2024-11-04 19:12:45.545810,66,3.222.102.97,80,10.5.1.30,49916,TCP,1,78,3546367544,2734460027
2024-11-04 19:12:45.546456,755,3.222.102.97,80,10.5.1.30,49916,TCP,1,78,3546367544,2734460027
2024-11-04 19:12:45.546899,66,10.5.1.30,49916,3.222.102.97,80,TCP,78,690,2734460150,3546367544
