Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:37:12.272309,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3006088874,2445664405
2024-11-04 12:37:12.272632,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2445675631,3006088874
2024-11-04 12:37:12.272868,74,10.5.1.30,51476,43.175.65.159,80,TCP,0,0,855153281,0
2024-11-04 12:37:12.308675,66,43.175.65.159,80,10.5.1.30,51476,TCP,0,1,,
2024-11-04 12:37:12.309045,54,10.5.1.30,51476,43.175.65.159,80,TCP,1,1,,
2024-11-04 12:37:12.309153,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2445675667,3006088874
2024-11-04 12:37:12.309406,66,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3006088911,2445675667
2024-11-04 12:37:12.314388,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3006088916,2445675667
2024-11-04 12:37:12.314748,129,10.5.1.30,51476,43.175.65.159,80,TCP,1,1,,
2024-11-04 12:37:12.353704,54,43.175.65.159,80,10.5.1.30,51476,TCP,1,76,,
2024-11-04 12:37:12.354179,278,43.175.65.159,80,10.5.1.30,51476,TCP,1,76,,
2024-11-04 12:37:12.354446,54,10.5.1.30,51476,43.175.65.159,80,TCP,76,225,,
2024-11-04 12:37:12.354745,602,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2445675713,3006088916
2024-11-04 12:37:12.357300,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,1073,3006088959,2445675713
2024-11-04 12:37:12.357734,54,10.5.1.30,51476,43.175.65.159,80,TCP,76,225,,
2024-11-04 12:37:12.373454,55,43.175.65.159,80,10.5.1.30,51476,TCP,223,76,,
2024-11-04 12:37:12.373870,66,10.5.1.30,51476,43.175.65.159,80,TCP,77,225,,
2024-11-04 12:37:12.390987,54,43.175.65.159,80,10.5.1.30,51476,TCP,225,77,,
2024-11-04 12:37:12.391334,54,10.5.1.30,51476,43.175.65.159,80,TCP,77,226,,
2024-11-04 12:37:12.403903,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,1609,2445675762,3006088959
2024-11-04 12:37:19.265810,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1,1,4287738216,586855786
2024-11-04 12:37:19.265847,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1609,1073,3006095868,2445675762
2024-11-04 12:37:19.266622,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,537,586883456,4287738216
2024-11-04 12:37:19.266622,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,2145,2445682625,3006095868
2024-11-04 12:37:19.271566,602,10.5.1.12,57406,10.5.1.30,9001,TCP,2145,1073,3006095874,2445682625
2024-11-04 12:37:19.271603,602,10.5.1.21,39736,10.5.1.30,9001,TCP,537,1,4287738222,586883456
2024-11-04 12:37:19.272017,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,2681,2445682630,3006095874
2024-11-04 12:37:19.272017,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,1073,586883461,4287738222
2024-11-04 12:37:19.272677,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,362422818,2477569764
2024-11-04 12:37:19.273109,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2477597360,362422818
2024-11-04 12:37:19.273661,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1,1,1186055407,1186568255
2024-11-04 12:37:19.274077,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1186595858,1186055407
2024-11-04 12:37:19.275628,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1073,1,4287738226,586883461
2024-11-04 12:37:19.275984,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,1609,586883465,4287738226
2024-11-04 12:37:19.280458,602,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1186595864,1186055407
2024-11-04 12:37:19.281263,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,1,362422826,2477597360
2024-11-04 12:37:19.281314,602,10.5.1.12,57406,10.5.1.30,9001,TCP,2681,1073,3006095883,2445682630
2024-11-04 12:37:19.281642,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,1073,2477597369,362422826
2024-11-04 12:37:19.281705,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,3217,2445682640,3006095883
2024-11-04 12:37:19.282399,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,1073,2477597369,362422826
2024-11-04 12:37:19.282623,602,10.5.1.30,9001,10.5.1.21,39736,TCP,1,1609,586883472,4287738226
2024-11-04 12:37:19.283966,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,3217,2445682642,3006095883
2024-11-04 12:37:19.284604,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1609,537,4287738235,586883472
2024-11-04 12:37:19.284791,602,10.5.1.22,52376,10.5.1.30,9001,TCP,537,537,1186055418,1186595864
2024-11-04 12:37:19.287332,602,10.5.1.30,9001,10.5.1.21,39736,TCP,537,2145,586883476,4287738235
2024-11-04 12:37:19.287698,602,10.5.1.30,9001,10.5.1.22,52376,TCP,537,1073,1186595872,1186055418
2024-11-04 12:37:19.291166,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1073,1073,1186055424,1186595872
2024-11-04 12:37:19.294180,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,537,362422839,2477597369
2024-11-04 12:37:19.294196,602,10.5.1.12,57406,10.5.1.30,9001,TCP,3217,1609,3006095896,2445682642
2024-11-04 12:37:19.294304,602,10.5.1.21,39736,10.5.1.30,9001,TCP,2145,1073,4287738244,586883476
2024-11-04 12:37:19.294525,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1609,2477597381,362422839
2024-11-04 12:37:19.298204,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1609,3753,2445682656,3006095896
2024-11-04 12:37:19.307641,602,10.5.1.12,57406,10.5.1.30,9001,TCP,3753,2145,3006095910,2445682656
2024-11-04 12:37:19.307648,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1609,1073,362422853,2477597381
2024-11-04 12:37:19.333919,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1073,1609,1186595918,1186055424
2024-11-04 12:37:19.337262,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1073,2681,586883526,4287738244
2024-11-04 12:37:19.350572,66,10.5.1.30,9001,10.5.1.12,57406,TCP,2145,4289,2445682709,3006095910
2024-11-04 12:37:19.350733,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,2145,2477597438,362422853
2024-11-04 12:37:19.679304,602,10.5.1.21,39736,10.5.1.30,9001,TCP,2681,1073,4287738629,586883526
2024-11-04 12:37:19.679318,602,10.5.1.12,57406,10.5.1.30,9001,TCP,4289,2145,3006096281,2445682709
2024-11-04 12:37:19.680017,66,10.5.1.30,9001,10.5.1.12,57406,TCP,2145,4825,2445683038,3006096281
2024-11-04 12:37:19.680020,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1073,3217,586883869,4287738629
2024-11-04 12:37:19.683111,602,10.5.1.21,39736,10.5.1.30,9001,TCP,3217,1073,4287738633,586883869
2024-11-04 12:37:19.683479,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1073,3753,586883872,4287738633
2024-11-04 12:37:19.693144,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3135162927,3962187211
2024-11-04 12:37:19.693163,602,10.5.1.20,43840,10.5.1.30,9001,TCP,1,1,1997687174,3730448048
2024-11-04 12:37:19.693605,66,10.5.1.30,9001,10.5.1.20,43840,TCP,1,537,3730476071,1997687174
2024-11-04 12:37:19.693849,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3962215303,3135162927
2024-11-04 12:37:19.695947,602,10.5.1.12,57406,10.5.1.30,9001,TCP,4825,2145,3006096298,2445683038
2024-11-04 12:37:19.696173,66,10.5.1.30,9001,10.5.1.12,57406,TCP,2145,5361,2445683054,3006096298
2024-11-04 12:37:19.696397,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,1,3135162930,3962215303
2024-11-04 12:37:19.696769,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,1073,3962215306,3135162930
2024-11-04 12:37:19.700069,602,10.5.1.10,33616,10.5.1.30,9001,TCP,2145,1073,362423245,2477597438
2024-11-04 12:37:19.700156,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1609,1073,1186055833,1186595918
2024-11-04 12:37:19.700611,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,2681,2477597788,362423245
