Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 20:09:50.196678,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1,3034728103,142811866
2024-11-04 20:09:50.196678,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1,2861756829,183058608
2024-11-04 20:09:50.197228,74,10.5.1.30,37768,13.226.244.73,80,TCP,0,0,2999091494,0
2024-11-04 20:09:50.198196,1116,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1,3034728105,142811866
2024-11-04 20:09:50.199429,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2228719190,3159780562
2024-11-04 20:09:50.200347,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3159780568,2228719190
2024-11-04 20:09:50.205984,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1051,142811877,3034728105
2024-11-04 20:09:50.207028,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1051,537,3034728114,142811877
2024-11-04 20:09:50.208894,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,537,2228719200,3159780568
2024-11-04 20:09:50.209503,602,10.5.1.30,9001,10.5.1.20,56104,TCP,537,1073,3159780577,2228719200
2024-11-04 20:09:50.215498,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,1587,142811886,3034728114
2024-11-04 20:09:50.219852,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1073,1073,2228719211,3159780577
2024-11-04 20:09:50.220717,74,13.226.244.73,80,10.5.1.30,37768,TCP,0,1,1789891423,2999091494
2024-11-04 20:09:50.221114,66,10.5.1.30,37768,13.226.244.73,80,TCP,1,1,2999091518,1789891423
2024-11-04 20:09:50.221159,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1,2861756854,183058608
2024-11-04 20:09:50.225588,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,537,183058638,2861756854
2024-11-04 20:09:50.226442,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,537,2861756859,183058638
2024-11-04 20:09:50.227050,150,10.5.1.30,37768,13.226.244.73,80,TCP,1,1,2999091524,1789891423
2024-11-04 20:09:50.248050,66,13.226.244.73,80,10.5.1.30,37768,TCP,1,85,1789891453,2999091524
2024-11-04 20:09:50.258727,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1587,1073,3034728165,142811886
2024-11-04 20:09:50.259170,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1587,142811930,3034728165
2024-11-04 20:09:50.259567,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1587,1609,3034728166,142811930
2024-11-04 20:09:50.259889,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1587,1609,3034728167,142811930
2024-11-04 20:09:50.260664,636,13.226.244.73,80,10.5.1.30,37768,TCP,1,85,1789891454,2999091524
2024-11-04 20:09:50.261052,66,10.5.1.30,37768,13.226.244.73,80,TCP,85,571,2999091558,1789891454
2024-11-04 20:09:50.262060,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,1609,3159780630,2228719211
2024-11-04 20:09:50.262373,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1609,1073,2228719253,3159780630
2024-11-04 20:09:50.262755,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,2145,3159780630,2228719253
2024-11-04 20:09:50.263061,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,2145,3159780631,2228719253
2024-11-04 20:09:50.268738,66,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1073,183058681,2861756859
2024-11-04 20:09:50.269024,1116,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,537,2861756902,183058681
2024-11-04 20:09:50.269463,66,10.5.1.12,55266,10.5.1.30,9001,TCP,537,2123,183058682,2861756902
