Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:12:32.782579,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3133676017,3960718086
2024-11-04 12:12:32.782787,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3960728392,3133676017
2024-11-04 12:12:32.782957,74,10.5.1.30,33254,162.159.130.67,80,TCP,0,0,2736198434,0
2024-11-04 12:12:32.808107,74,162.159.130.67,80,10.5.1.30,33254,TCP,0,1,1121082747,2736198434
2024-11-04 12:12:32.808223,66,10.5.1.30,33254,162.159.130.67,80,TCP,1,1,2736198459,1121082747
2024-11-04 12:12:32.808373,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3960728417,3133676017
2024-11-04 12:12:32.810909,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3133676045,3960728417
2024-11-04 12:12:32.811044,140,10.5.1.30,33254,162.159.130.67,80,TCP,1,1,2736198462,1121082747
2024-11-04 12:12:32.837689,66,162.159.130.67,80,10.5.1.30,33254,TCP,1,75,1121082777,2736198462
2024-11-04 12:12:32.854051,66,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3960728463,3133676045
2024-11-04 12:12:32.863192,1494,162.159.130.67,80,10.5.1.30,33254,TCP,1,75,1121082801,2736198462
2024-11-04 12:12:32.863357,66,10.5.1.30,33254,162.159.130.67,80,TCP,75,1429,2736198514,1121082801
2024-11-04 12:12:32.863449,911,162.159.130.67,80,10.5.1.30,33254,TCP,4285,75,1121082801,2736198462
2024-11-04 12:12:32.863547,78,10.5.1.30,33254,162.159.130.67,80,TCP,75,1429,2736198515,1121082801
2024-11-04 12:12:32.863634,2922,162.159.130.67,80,10.5.1.30,33254,TCP,1429,75,1121082801,2736198462
2024-11-04 12:12:32.863826,66,10.5.1.30,33254,162.159.130.67,80,TCP,75,5130,2736198515,1121082801
2024-11-04 12:12:32.863892,71,162.159.130.67,80,10.5.1.30,33254,TCP,5130,75,1121082801,2736198462
2024-11-04 12:12:32.863962,66,10.5.1.30,33254,162.159.130.67,80,TCP,75,5135,2736198515,1121082801
