Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:50:22.101031,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1841003790,3517854482
2024-11-04 17:50:22.101246,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517854597,1841003790
2024-11-04 17:50:22.101407,74,10.5.1.30,35152,151.101.129.184,80,TCP,0,0,3148289665,0
2024-11-04 17:50:22.133213,74,151.101.129.184,80,10.5.1.30,35152,TCP,0,1,3810255473,3148289665
2024-11-04 17:50:22.133461,66,10.5.1.30,35152,151.101.129.184,80,TCP,1,1,3148289697,3810255473
2024-11-04 17:50:22.133591,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517854629,1841003790
2024-11-04 17:50:22.137155,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1841003826,3517854629
2024-11-04 17:50:22.137314,147,10.5.1.30,35152,151.101.129.184,80,TCP,1,1,3148289701,3810255473
2024-11-04 17:50:22.149712,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2220351140,3151412291
2024-11-04 17:50:22.150035,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3151412518,2220351140
2024-11-04 17:50:22.150085,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,174690563,2853386119
2024-11-04 17:50:22.150232,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2220351141,3151412518
2024-11-04 17:50:22.150251,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2853388783,174690563
2024-11-04 17:50:22.150364,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3151412518,2220351141
2024-11-04 17:50:22.157951,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,174690571,2853388783
2024-11-04 17:50:22.158278,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1587,2853388791,174690571
2024-11-04 17:50:22.158690,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1587,2853388791,174690571
2024-11-04 17:50:22.163848,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1073,1,2220351155,3151412518
2024-11-04 17:50:22.164213,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1609,3151412532,2220351155
