Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:56:45.903068,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3453700467,4096414687
2024-11-04 19:56:45.903782,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096425071,3453700467
2024-11-04 19:56:45.904204,74,10.5.1.30,57454,2.18.255.68,80,TCP,0,0,242480680,0
2024-11-04 19:56:45.955381,74,2.18.255.68,80,10.5.1.30,57454,TCP,0,1,1109172344,242480680
2024-11-04 19:56:45.956556,66,10.5.1.30,57454,2.18.255.68,80,TCP,1,1,242480732,1109172344
2024-11-04 19:56:45.956752,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096425124,3453700467
2024-11-04 19:56:45.959870,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3453700524,4096425124
2024-11-04 19:56:45.960770,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4096425128,3453700524
2024-11-04 19:56:45.961335,139,10.5.1.30,57454,2.18.255.68,80,TCP,1,1,242480737,1109172344
2024-11-04 19:56:46.010263,66,2.18.255.68,80,10.5.1.30,57454,TCP,1,74,1109172402,242480737
2024-11-04 19:56:46.015343,274,2.18.255.68,80,10.5.1.30,57454,TCP,1,74,1109172403,242480737
2024-11-04 19:56:46.015910,66,10.5.1.30,57454,2.18.255.68,80,TCP,74,209,242480792,1109172403
2024-11-04 19:56:46.016478,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4096425184,3453700524
2024-11-04 19:56:46.019763,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1073,3453700583,4096425184
2024-11-04 19:56:46.020697,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,1609,4096425188,3453700583
2024-11-04 19:56:46.021444,66,10.5.1.30,57454,2.18.255.68,80,TCP,74,209,242480797,1109172403
2024-11-04 19:56:46.067803,66,2.18.255.68,80,10.5.1.30,57454,TCP,209,75,1109172460,242480797
2024-11-04 19:56:46.068605,66,10.5.1.30,57454,2.18.255.68,80,TCP,75,210,242480844,1109172460
2024-11-04 19:56:54.789355,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,182283202,2860953466
2024-11-04 19:56:54.789547,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2227943780,3158977228
2024-11-04 19:56:54.790275,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3159005158,2227943780
2024-11-04 19:56:54.792727,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1848596481,3525419375
