Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 20:05:49.999793,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,182818412,2861511046
2024-11-04 20:05:50.000748,74,10.5.1.30,36176,203.176.113.78,80,TCP,0,0,2971098588,0
2024-11-04 20:05:50.042103,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2861516675,182818412
2024-11-04 20:05:50.188105,74,203.176.113.78,80,10.5.1.30,36176,TCP,0,1,4170297380,2971098588
2024-11-04 20:05:50.189070,66,10.5.1.30,36176,203.176.113.78,80,TCP,1,1,2971098777,4170297380
2024-11-04 20:05:50.189235,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2861516822,182818412
2024-11-04 20:05:50.190017,66,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,182818603,2861516822
2024-11-04 20:05:50.195813,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,182818609,2861516822
2024-11-04 20:05:50.196618,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2861516829,182818609
2024-11-04 20:05:50.197060,147,10.5.1.30,36176,203.176.113.78,80,TCP,1,1,2971098785,4170297380
2024-11-04 20:05:50.380507,66,203.176.113.78,80,10.5.1.30,36176,TCP,1,82,4170297574,2971098785
2024-11-04 20:05:50.381460,181,203.176.113.78,80,10.5.1.30,36176,TCP,1,82,4170297574,2971098785
2024-11-04 20:05:50.382031,66,10.5.1.30,36176,203.176.113.78,80,TCP,82,116,2971098970,4170297574
2024-11-04 20:05:50.382702,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2861517015,182818609
