Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:05:18.968433,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,360502513,2475666711
2024-11-04 12:05:18.968668,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475677056,360502513
2024-11-04 12:05:18.968869,74,10.5.1.30,59304,23.13.63.198,80,TCP,0,0,1256959679,0
2024-11-04 12:05:18.986153,74,23.13.63.198,80,10.5.1.30,59304,TCP,0,1,2081722924,1256959679
2024-11-04 12:05:18.986279,66,10.5.1.30,59304,23.13.63.198,80,TCP,1,1,1256959696,2081722924
2024-11-04 12:05:18.986371,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475677073,360502513
2024-11-04 12:05:18.988445,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,360502533,2475677073
2024-11-04 12:05:18.988586,144,10.5.1.30,59304,23.13.63.198,80,TCP,1,1,1256959699,2081722924
2024-11-04 12:05:19.005935,66,23.13.63.198,80,10.5.1.30,59304,TCP,1,79,2081722943,1256959699
2024-11-04 12:05:19.034117,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475677121,360502533
2024-11-04 12:05:19.096152,845,23.13.63.198,80,10.5.1.30,59304,TCP,1,79,2081723030,1256959699
2024-11-04 12:05:19.096373,66,10.5.1.30,59304,23.13.63.198,80,TCP,79,780,1256959806,2081723030
2024-11-04 12:05:19.096526,1116,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475677184,360502533
2024-11-04 12:05:19.101375,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1587,360502646,2475677184
2024-11-04 12:05:19.101585,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1587,1609,2475677189,360502646
2024-11-04 12:05:19.101703,66,10.5.1.30,59304,23.13.63.198,80,TCP,79,780,1256959812,2081723030
2024-11-04 12:05:19.120948,66,23.13.63.198,80,10.5.1.30,59304,TCP,780,80,2081723058,1256959812
2024-11-04 12:05:19.121195,66,10.5.1.30,59304,23.13.63.198,80,TCP,80,781,1256959831,2081723058
2024-11-04 12:05:19.593351,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1609,1587,360503138,2475677189
2024-11-04 12:05:19.593493,602,10.5.1.23,43528,10.5.1.30,9001,TCP,1,1,1082874015,2554350988
2024-11-04 12:05:19.593585,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1587,2145,2475677681,360503138
2024-11-04 12:05:19.604974,602,10.5.1.10,33616,10.5.1.30,9001,TCP,2145,1587,360503150,2475677681
2024-11-04 12:05:19.605124,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1587,2681,2475677692,360503150
