Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:47:52.362264,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3453166926,4095880931
2024-11-04 19:47:52.363132,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095891531,3453166926
2024-11-04 19:47:52.363732,74,10.5.1.30,53444,133.237.129.159,80,TCP,0,0,3505896046,0
2024-11-04 19:47:52.821109,74,133.237.129.159,80,10.5.1.30,53444,TCP,0,1,2563354110,3505896046
2024-11-04 19:47:52.822018,66,10.5.1.30,53444,133.237.129.159,80,TCP,1,1,3505896505,2563354110
2024-11-04 19:47:52.822175,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095891990,3453166926
2024-11-04 19:47:52.822927,66,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3453167387,4095891990
2024-11-04 19:47:52.825877,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3453167390,4095891990
2024-11-04 19:47:52.826390,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4095891994,3453167390
2024-11-04 19:47:52.826742,144,10.5.1.30,53444,133.237.129.159,80,TCP,1,1,3505896509,2563354110
2024-11-04 19:47:53.224291,203,133.237.129.159,80,10.5.1.30,53444,TCP,1,79,2563354573,3505896509
2024-11-04 19:47:53.224940,66,10.5.1.30,53444,133.237.129.159,80,TCP,79,138,3505896908,2563354573
2024-11-04 19:47:53.225366,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4095892393,3453167390
2024-11-04 19:47:53.228986,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1073,3453167793,4095892393
