Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-10-31 11:35:29.542573,602,10.5.1.12,53220,10.5.1.30,9001,TCP,1,1,2720301786,2945478868
2024-10-31 11:35:29.542645,66,10.5.1.30,9001,10.5.1.12,53220,TCP,1,537,2945489321,2720301786
2024-10-31 11:35:29.542765,74,10.5.1.30,35600,157.240.231.174,80,TCP,0,0,973959251,0
2024-10-31 11:35:29.562764,74,157.240.231.174,80,10.5.1.30,35600,TCP,0,1,1973915738,973959251
2024-10-31 11:35:29.562909,66,10.5.1.30,35600,157.240.231.174,80,TCP,1,1,973959271,1973915738
2024-10-31 11:35:29.563189,602,10.5.1.30,9001,10.5.1.12,53220,TCP,1,537,2945489341,2720301786
2024-10-31 11:35:29.565961,602,10.5.1.12,53220,10.5.1.30,9001,TCP,537,537,2720301809,2945489341
2024-10-31 11:35:29.566179,143,10.5.1.30,35600,157.240.231.174,80,TCP,1,1,973959274,1973915738
2024-10-31 11:35:29.585107,66,157.240.231.174,80,10.5.1.30,35600,TCP,1,78,1973915761,973959274
2024-10-31 11:35:29.585197,263,157.240.231.174,80,10.5.1.30,35600,TCP,1,78,1973915761,973959274
2024-10-31 11:35:29.585233,66,10.5.1.30,35600,157.240.231.174,80,TCP,78,198,973959293,1973915761
2024-10-31 11:35:29.585359,602,10.5.1.30,9001,10.5.1.12,53220,TCP,537,1073,2945489363,2720301809
2024-10-31 11:35:29.589622,602,10.5.1.12,53220,10.5.1.30,9001,TCP,1073,1073,2720301833,2945489363
2024-10-31 11:35:29.589779,66,10.5.1.30,35600,157.240.231.174,80,TCP,78,198,973959298,1973915761
2024-10-31 11:35:29.610257,66,157.240.231.174,80,10.5.1.30,35600,TCP,198,79,1973915786,973959298
2024-10-31 11:35:29.610466,66,10.5.1.30,35600,157.240.231.174,80,TCP,79,199,973959318,1973915786
2024-10-31 11:35:29.631863,66,10.5.1.30,9001,10.5.1.12,53220,TCP,1073,1609,2945489410,2720301833
2024-10-31 11:35:32.740742,74,10.5.1.30,39368,10.5.1.12,80,TCP,0,0,2945492519,0
2024-10-31 11:35:32.741100,74,10.5.1.12,80,10.5.1.30,39368,TCP,0,1,2720304984,2945492519
2024-10-31 11:35:32.741184,66,10.5.1.30,39368,10.5.1.12,80,TCP,1,1,2945492519,2720304984
2024-10-31 11:35:32.741592,371,10.5.1.30,39368,10.5.1.12,80,TCP,1,1,2945492520,2720304984
2024-10-31 11:35:32.741860,66,10.5.1.12,80,10.5.1.30,39368,TCP,1,306,2720304985,2945492520
