Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:49:26.213547,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,359549759,2474716959
2024-11-04 11:49:26.213694,74,10.5.1.30,60526,157.240.231.174,80,TCP,0,0,3481166010,0
2024-11-04 11:49:26.231097,74,157.240.231.174,80,10.5.1.30,60526,TCP,0,1,2021209941,3481166010
2024-11-04 11:49:26.231155,66,10.5.1.30,60526,157.240.231.174,80,TCP,1,1,3481166027,2021209941
2024-11-04 11:49:26.231277,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2474724318,359549759
2024-11-04 11:49:26.235332,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,359549780,2474724318
2024-11-04 11:49:26.235405,143,10.5.1.30,60526,157.240.231.174,80,TCP,1,1,3481166031,2021209941
2024-11-04 11:49:26.256020,66,157.240.231.174,80,10.5.1.30,60526,TCP,1,78,2021209966,3481166031
2024-11-04 11:49:26.256103,263,157.240.231.174,80,10.5.1.30,60526,TCP,1,78,2021209966,3481166031
2024-11-04 11:49:26.256135,66,10.5.1.30,60526,157.240.231.174,80,TCP,78,198,3481166052,2021209966
2024-11-04 11:49:26.256316,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2474724343,359549780
2024-11-04 11:49:26.261299,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1073,359549806,2474724343
2024-11-04 11:49:26.261521,66,10.5.1.30,60526,157.240.231.174,80,TCP,78,198,3481166057,2021209966
2024-11-04 11:49:26.283492,66,157.240.231.174,80,10.5.1.30,60526,TCP,198,79,2021209994,3481166057
2024-11-04 11:49:26.283544,66,10.5.1.30,60526,157.240.231.174,80,TCP,79,199,3481166080,2021209994
2024-11-04 11:49:26.304200,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,1609,2474724391,359549806
2024-11-04 11:49:27.501264,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1,1,1183183634,1183684865
2024-11-04 11:49:27.501367,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1183724085,1183183634
2024-11-04 11:49:27.501944,602,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1183724086,1183183634
2024-11-04 11:49:27.502068,66,10.5.1.22,52376,10.5.1.30,9001,TCP,537,537,1183183635,1183724086
2024-11-04 11:49:29.185377,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3132292419,3959338507
2024-11-04 11:49:29.185452,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3959344794,3132292419
2024-11-04 11:49:29.185967,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3959344795,3132292419
2024-11-04 11:49:29.227592,66,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3132292462,3959344795
2024-11-04 11:49:34.855562,74,10.5.1.30,51998,10.5.1.11,80,TCP,0,0,3959350465,0
2024-11-04 11:49:34.855750,74,10.5.1.11,80,10.5.1.30,51998,TCP,0,1,3132298090,3959350465
2024-11-04 11:49:34.855800,66,10.5.1.30,51998,10.5.1.11,80,TCP,1,1,3959350465,3132298090
2024-11-04 11:49:34.855936,361,10.5.1.30,51998,10.5.1.11,80,TCP,1,1,3959350465,3132298090
2024-11-04 11:49:34.856012,66,10.5.1.11,80,10.5.1.30,51998,TCP,1,296,3132298090,3959350465
