Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:18:21.318229,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,139722989,3031630103
2024-11-04 19:18:21.318917,74,10.5.1.30,37154,92.122.125.73,80,TCP,0,0,1256314050,0
2024-11-04 19:18:21.346865,74,92.122.125.73,80,10.5.1.30,37154,TCP,0,1,4284703918,1256314050
2024-11-04 19:18:21.347599,66,10.5.1.30,37154,92.122.125.73,80,TCP,1,1,1256314078,4284703918
2024-11-04 19:18:21.347717,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031639254,139722989
2024-11-04 19:18:21.348331,66,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139723019,3031639254
2024-11-04 19:18:21.353046,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139723024,3031639254
2024-11-04 19:18:21.353512,140,10.5.1.30,37154,92.122.125.73,80,TCP,1,1,1256314084,4284703918
2024-11-04 19:18:21.370493,66,92.122.125.73,80,10.5.1.30,37154,TCP,1,75,4284703953,1256314084
2024-11-04 19:18:21.399064,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3031639306,139723024
2024-11-04 19:18:21.590940,1050,92.122.125.73,80,10.5.1.30,37154,TCP,1,75,4284704173,1256314084
2024-11-04 19:18:21.591539,66,10.5.1.30,37154,92.122.125.73,80,TCP,75,985,1256314322,4284704173
