Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:44:42.854010,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3452977418,4095693490
2024-11-04 19:44:42.854912,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095702023,3452977418
2024-11-04 19:44:42.855560,74,10.5.1.30,48476,151.101.66.137,80,TCP,0,0,1874660862,0
2024-11-04 19:44:42.889908,74,151.101.66.137,80,10.5.1.30,48476,TCP,0,1,1609970524,1874660862
2024-11-04 19:44:42.890445,66,10.5.1.30,48476,151.101.66.137,80,TCP,1,1,1874660897,1609970524
2024-11-04 19:44:42.890555,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095702058,3452977418
2024-11-04 19:44:42.895999,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3452977460,4095702058
2024-11-04 19:44:42.896403,146,10.5.1.30,48476,151.101.66.137,80,TCP,1,1,1874660903,1609970524
2024-11-04 19:44:42.922237,66,151.101.66.137,80,10.5.1.30,48476,TCP,1,81,1609970563,1874660903
2024-11-04 19:44:42.938887,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4095702107,3452977460
2024-11-04 19:44:42.940027,601,151.101.66.137,80,10.5.1.30,48476,TCP,1,81,1609970564,1874660903
2024-11-04 19:44:42.940544,66,10.5.1.30,48476,151.101.66.137,80,TCP,81,536,1874660947,1609970564
2024-11-04 19:44:42.940761,66,151.101.66.137,80,10.5.1.30,48476,TCP,536,81,1609970564,1874660903
