Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:48:10.277723,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,1,2478248365,363073822
2024-11-04 12:48:10.280714,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3135813515,3962865877
2024-11-04 12:48:10.280749,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1,1,4288389231,587534464
2024-11-04 12:48:10.281036,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3962865890,3135813515
2024-11-04 12:48:10.283868,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3006746886,2446333630
2024-11-04 12:48:10.284131,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2446333642,3006746886
2024-11-04 12:48:10.287618,1116,10.5.1.10,33616,10.5.1.30,9001,TCP,1,537,363073833,2478248365
2024-11-04 12:48:10.297355,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3135813531,3962865890
2024-11-04 12:48:10.297364,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3006746899,2446333642
2024-11-04 12:48:10.323849,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,537,587534513,4288389231
2024-11-04 12:48:10.333834,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1051,2478248421,363073833
2024-11-04 12:48:10.334070,1138,10.5.1.10,33616,10.5.1.30,9001,TCP,1051,537,363073879,2478248421
2024-11-04 12:48:10.334349,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,2123,2478248421,363073879
2024-11-04 12:48:10.334608,74,10.5.1.30,40544,23.36.225.12,80,TCP,0,0,3008783339,0
2024-11-04 12:48:10.340527,66,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2446333699,3006746899
2024-11-04 12:48:10.343849,66,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3962865953,3135813531
2024-11-04 12:48:10.347796,602,10.5.1.10,33616,10.5.1.30,9001,TCP,2123,537,363073893,2478248421
2024-11-04 12:48:10.348014,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,2659,2478248435,363073893
2024-11-04 12:48:10.348628,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,2659,2478248436,363073893
2024-11-04 12:48:10.351178,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1073,537,3135813585,3962865953
2024-11-04 12:48:10.351437,66,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1609,3962865960,3135813585
2024-11-04 12:48:10.352029,602,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1609,3962865961,3135813585
2024-11-04 12:48:10.357373,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1609,1073,3135813591,3962865961
2024-11-04 12:48:10.357752,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1073,2145,3962865967,3135813591
2024-11-04 12:48:10.360956,602,10.5.1.10,33616,10.5.1.30,9001,TCP,2659,1073,363073906,2478248436
2024-11-04 12:48:10.361296,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,3195,2478248448,363073906
2024-11-04 12:48:10.371438,602,10.5.1.10,33616,10.5.1.30,9001,TCP,3195,1609,363073916,2478248448
2024-11-04 12:48:10.371481,602,10.5.1.11,34324,10.5.1.30,9001,TCP,2145,1609,3135813605,3962865967
2024-11-04 12:48:10.394596,74,23.36.225.12,80,10.5.1.30,40544,TCP,0,1,1285308375,3008783339
2024-11-04 12:48:10.394851,66,10.5.1.30,40544,23.36.225.12,80,TCP,1,1,3008783399,1285308375
2024-11-04 12:48:10.395170,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1609,3731,2478248482,363073916
2024-11-04 12:48:10.404142,602,10.5.1.10,33616,10.5.1.30,9001,TCP,3731,2145,363073949,2478248482
2024-11-04 12:48:10.404591,140,10.5.1.30,40544,23.36.225.12,80,TCP,1,1,3008783409,1285308375
2024-11-04 12:48:10.413838,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1609,2681,3962866023,3135813605
2024-11-04 12:48:10.447185,66,10.5.1.30,9001,10.5.1.10,33616,TCP,2145,4267,2478248534,363073949
2024-11-04 12:48:10.464510,66,23.36.225.12,80,10.5.1.30,40544,TCP,1,75,1285308445,3008783409
2024-11-04 12:48:10.529638,236,23.36.225.12,80,10.5.1.30,40544,TCP,1,75,1285308509,3008783409
2024-11-04 12:48:10.530061,66,10.5.1.30,40544,23.36.225.12,80,TCP,75,171,3008783534,1285308509
2024-11-04 12:48:10.530380,602,10.5.1.30,9001,10.5.1.10,33616,TCP,2145,4267,2478248617,363073949
2024-11-04 12:48:10.534799,602,10.5.1.10,33616,10.5.1.30,9001,TCP,4267,2681,363074080,2478248617
2024-11-04 12:48:10.535500,66,10.5.1.30,9001,10.5.1.10,33616,TCP,2681,4803,2478248622,363074080
2024-11-04 12:48:10.535992,66,10.5.1.30,40544,23.36.225.12,80,TCP,75,171,3008783540,1285308509
2024-11-04 12:48:10.627140,66,23.36.225.12,80,10.5.1.30,40544,TCP,171,76,1285308607,3008783540
2024-11-04 12:48:10.627640,66,10.5.1.30,40544,23.36.225.12,80,TCP,76,172,3008783632,1285308607
2024-11-04 12:48:10.672471,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,537,3006747274,2446333699
2024-11-04 12:48:10.672652,602,10.5.1.21,39736,10.5.1.30,9001,TCP,537,1,4288389623,587534513
2024-11-04 12:48:10.673304,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,1073,587534862,4288389623
2024-11-04 12:48:10.673305,66,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1609,2446334031,3006747274
2024-11-04 12:48:10.681012,602,10.5.1.11,34324,10.5.1.30,9001,TCP,2681,1609,3135813915,3962866023
2024-11-04 12:48:10.681670,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1609,3217,3962866291,3135813915
2024-11-04 12:48:10.682517,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1609,3217,3962866291,3135813915
2024-11-04 12:48:10.685094,602,10.5.1.11,34324,10.5.1.30,9001,TCP,3217,2145,3135813919,3962866291
2024-11-04 12:48:10.685697,602,10.5.1.30,9001,10.5.1.11,34324,TCP,2145,3753,3962866295,3135813919
2024-11-04 12:48:10.687399,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1609,537,3006747289,2446334031
2024-11-04 12:48:10.687859,66,10.5.1.30,9001,10.5.1.12,57406,TCP,537,2145,2446334046,3006747289
2024-11-04 12:48:10.688685,602,10.5.1.30,9001,10.5.1.12,57406,TCP,537,2145,2446334047,3006747289
2024-11-04 12:48:10.691356,602,10.5.1.11,34324,10.5.1.30,9001,TCP,3753,2681,3135813925,3962866295
2024-11-04 12:48:10.701714,602,10.5.1.12,57406,10.5.1.30,9001,TCP,2145,1073,3006747304,2446334047
2024-11-04 12:48:10.702405,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,2681,2446334060,3006747304
2024-11-04 12:48:10.711088,602,10.5.1.12,57406,10.5.1.30,9001,TCP,2681,1609,3006747313,2446334060
2024-11-04 12:48:10.733850,66,10.5.1.30,9001,10.5.1.11,34324,TCP,2681,4289,3962866343,3135813925
2024-11-04 12:48:10.753838,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1609,3217,2446334112,3006747313
2024-11-04 12:48:10.847993,602,10.5.1.20,43840,10.5.1.30,9001,TCP,1,1,1998338329,3731126631
2024-11-04 12:48:10.848404,66,10.5.1.30,9001,10.5.1.20,43840,TCP,1,537,3731127225,1998338329
2024-11-04 12:48:10.848803,602,10.5.1.30,9001,10.5.1.20,43840,TCP,1,537,3731127226,1998338329
2024-11-04 12:48:10.851406,602,10.5.1.10,33616,10.5.1.30,9001,TCP,4803,2681,363074396,2478248622
2024-11-04 12:48:10.851778,66,10.5.1.30,9001,10.5.1.10,33616,TCP,2681,5339,2478248939,363074396
2024-11-04 12:48:10.852355,602,10.5.1.30,9001,10.5.1.10,33616,TCP,2681,5339,2478248939,363074396
2024-11-04 12:48:10.857377,602,10.5.1.20,43840,10.5.1.30,9001,TCP,537,537,1998338338,3731127226
2024-11-04 12:48:10.857870,602,10.5.1.30,9001,10.5.1.20,43840,TCP,537,1073,3731127235,1998338338
2024-11-04 12:48:10.860904,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1073,1,4288389811,587534862
2024-11-04 12:48:10.860922,602,10.5.1.12,57406,10.5.1.30,9001,TCP,3217,1609,3006747463,2446334112
2024-11-04 12:48:10.861512,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,1609,587535050,4288389811
2024-11-04 12:48:10.861514,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1609,3753,2446334219,3006747463
2024-11-04 12:48:10.862348,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1609,3753,2446334220,3006747463
2024-11-04 12:48:10.864204,602,10.5.1.10,33616,10.5.1.30,9001,TCP,5339,3217,363074409,2478248939
2024-11-04 12:48:10.864849,602,10.5.1.30,9001,10.5.1.21,39736,TCP,1,1609,587535054,4288389811
2024-11-04 12:48:10.864979,602,10.5.1.20,43840,10.5.1.30,9001,TCP,1073,1073,1998338346,3731127235
2024-11-04 12:48:10.867405,602,10.5.1.30,9001,10.5.1.10,33616,TCP,3217,5875,2478248954,363074409
2024-11-04 12:48:10.871396,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1609,537,4288389821,587535054
2024-11-04 12:48:10.871869,602,10.5.1.30,9001,10.5.1.21,39736,TCP,537,2145,587535061,4288389821
2024-11-04 12:48:10.874643,602,10.5.1.12,57406,10.5.1.30,9001,TCP,3753,2145,3006747477,2446334220
2024-11-04 12:48:10.874971,602,10.5.1.30,9001,10.5.1.12,57406,TCP,2145,4289,2446334233,3006747477
2024-11-04 12:48:10.878175,602,10.5.1.10,33616,10.5.1.30,9001,TCP,5875,3753,363074423,2478248954
2024-11-04 12:48:10.878199,602,10.5.1.21,39736,10.5.1.30,9001,TCP,2145,1073,4288389828,587535061
2024-11-04 12:48:10.887867,602,10.5.1.12,57406,10.5.1.30,9001,TCP,4289,2681,3006747490,2446334233
2024-11-04 12:48:10.907184,66,10.5.1.30,9001,10.5.1.20,43840,TCP,1073,1609,3731127284,1998338346
2024-11-04 12:48:10.920514,66,10.5.1.30,9001,10.5.1.10,33616,TCP,3753,6411,2478249007,363074423
2024-11-04 12:48:10.923842,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1073,2681,587535113,4288389828
2024-11-04 12:48:10.930507,66,10.5.1.30,9001,10.5.1.12,57406,TCP,2681,4825,2446334288,3006747490
2024-11-04 12:48:11.194071,602,10.5.1.11,34324,10.5.1.30,9001,TCP,4289,2681,3135814428,3962866343
2024-11-04 12:48:11.194167,602,10.5.1.10,33616,10.5.1.30,9001,TCP,6411,3753,363074739,2478249007
2024-11-04 12:48:11.194821,66,10.5.1.30,9001,10.5.1.11,34324,TCP,2681,4825,3962866804,3135814428
2024-11-04 12:48:11.194881,66,10.5.1.30,9001,10.5.1.10,33616,TCP,3753,6947,2478249282,363074739
