Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:03:32.296998,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,360395842,2475564317
2024-11-04 12:03:32.297456,74,10.5.1.30,55692,211.144.24.218,80,TCP,0,0,4102561194,0
2024-11-04 12:03:32.337465,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475570424,360395842
2024-11-04 12:03:32.577464,66,211.144.24.218,80,10.5.1.30,55692,TCP,0,1,,
2024-11-04 12:03:32.577615,54,10.5.1.30,55692,211.144.24.218,80,TCP,1,1,,
2024-11-04 12:03:32.577741,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475570665,360395842
2024-11-04 12:03:32.577847,66,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,360396123,2475570665
2024-11-04 12:03:32.581226,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,360396126,2475570665
2024-11-04 12:03:32.581388,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475570668,360396126
2024-11-04 12:03:32.581509,124,10.5.1.30,55692,211.144.24.218,80,TCP,1,1,,
2024-11-04 12:03:32.862300,54,211.144.24.218,80,10.5.1.30,55692,TCP,1,71,,
2024-11-04 12:03:32.864787,441,211.144.24.218,80,10.5.1.30,55692,TCP,1,71,,
2024-11-04 12:03:32.864850,54,10.5.1.30,55692,211.144.24.218,80,TCP,71,388,,
2024-11-04 12:03:32.865004,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475570952,360396126
