Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:47:39.242206,66,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,141480913,3033397106
2024-11-04 19:47:39.248883,66,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,181727662,2860425839
2024-11-04 19:47:39.253090,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2227388244,3158449581
2024-11-04 19:47:39.262201,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,1,2661908949,2198135407
2024-11-04 19:47:39.266435,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2198135454,2661908949
2024-11-04 19:47:39.266823,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2661908954,2198135454
2024-11-04 19:47:39.267546,602,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2661908954,2198135454
2024-11-04 19:47:39.272793,602,10.5.1.23,40268,10.5.1.30,9001,TCP,537,537,2198135460,2661908954
2024-11-04 19:47:39.273901,602,10.5.1.30,9001,10.5.1.23,40268,TCP,537,1073,2661908961,2198135460
2024-11-04 19:47:39.279421,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1073,1073,2198135467,2661908961
2024-11-04 19:47:39.295537,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3158449663,2227388244
2024-11-04 19:47:39.296066,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2227388287,3158449663
2024-11-04 19:47:39.296618,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3158449664,2227388287
2024-11-04 19:47:39.299101,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1073,1,2227388290,3158449664
2024-11-04 19:47:39.299676,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1609,3158449667,2227388290
2024-11-04 19:47:39.302870,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1609,1,2227388294,3158449667
2024-11-04 19:47:39.303448,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,2145,3158449671,2227388294
2024-11-04 19:47:39.304037,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,2145,3158449672,2227388294
2024-11-04 19:47:39.305118,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2145,537,2227388296,3158449672
2024-11-04 19:47:39.325524,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1073,1609,2661909012,2198135467
2024-11-04 19:47:39.348964,66,10.5.1.30,9001,10.5.1.20,56104,TCP,537,2681,3158449717,2227388296
2024-11-04 19:47:39.349896,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2681,537,2227388341,3158449717
2024-11-04 19:47:39.350591,66,10.5.1.30,9001,10.5.1.20,56104,TCP,537,3217,3158449718,2227388341
2024-11-04 19:47:39.351568,602,10.5.1.30,9001,10.5.1.20,56104,TCP,537,3217,3158449719,2227388341
2024-11-04 19:47:39.352983,602,10.5.1.20,56104,10.5.1.30,9001,TCP,3217,1073,2227388344,3158449719
2024-11-04 19:47:39.398865,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,3753,3158449767,2227388344
2024-11-04 19:47:39.520391,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3453154084,4095877557
2024-11-04 19:47:39.521071,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095878689,3453154084
2024-11-04 19:47:39.521438,74,10.5.1.30,40930,147.92.146.242,80,TCP,0,0,2059878420,0
2024-11-04 19:47:39.800061,74,147.92.146.242,80,10.5.1.30,40930,TCP,0,1,2051723733,2059878420
2024-11-04 19:47:39.800876,66,10.5.1.30,40930,147.92.146.242,80,TCP,1,1,2059878700,2051723733
2024-11-04 19:47:39.800977,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095878969,3453154084
2024-11-04 19:47:39.804545,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3453154368,4095878969
2024-11-04 19:47:39.805033,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4095878973,3453154368
2024-11-04 19:47:39.805386,140,10.5.1.30,40930,147.92.146.242,80,TCP,1,1,2059878704,2051723733
2024-11-04 19:47:40.093165,66,147.92.146.242,80,10.5.1.30,40930,TCP,1,75,2051724016,2059878704
2024-11-04 19:47:40.247820,1494,147.92.146.242,80,10.5.1.30,40930,TCP,1,75,2051724079,2059878704
2024-11-04 19:47:40.249066,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,1429,2059879148,2051724079
2024-11-04 19:47:40.249661,6985,147.92.146.242,80,10.5.1.30,40930,TCP,1429,75,2051724079,2059878704
2024-11-04 19:47:40.249742,1630,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4095879417,3453154368
2024-11-04 19:47:40.250901,66,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,2101,3453154815,4095879417
2024-11-04 19:47:40.251514,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,8348,2059879150,2051724079
2024-11-04 19:47:40.252203,1494,147.92.146.242,80,10.5.1.30,40930,TCP,8348,75,2051724079,2059878704
2024-11-04 19:47:40.252303,4136,10.5.1.30,9001,10.5.1.10,42922,TCP,2101,1073,4095879420,3453154815
2024-11-04 19:47:40.253488,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,9776,2059879152,2051724079
2024-11-04 19:47:40.253773,2962,10.5.1.30,9001,10.5.1.10,42922,TCP,6171,1073,4095879421,3453154815
2024-11-04 19:47:40.253800,66,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,6171,3453154817,4095879420
2024-11-04 19:47:40.255004,340,10.5.1.30,9001,10.5.1.10,42922,TCP,9067,1073,4095879423,3453154817
2024-11-04 19:47:40.255039,66,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,9067,3453154819,4095879421
2024-11-04 19:47:40.259178,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,9341,3453154823,4095879423
2024-11-04 19:47:40.259356,1514,10.5.1.30,9001,10.5.1.10,42922,TCP,9341,1073,4095879427,3453154819
2024-11-04 19:47:40.260511,182,10.5.1.30,9001,10.5.1.10,42922,TCP,10789,1609,4095879428,3453154823
2024-11-04 19:47:40.261199,66,10.5.1.10,42922,10.5.1.30,9001,TCP,1609,10905,3453154825,4095879427
2024-11-04 19:47:40.261529,1494,147.92.146.242,80,10.5.1.30,40930,TCP,9776,75,2051724079,2059878704
2024-11-04 19:47:40.262482,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,11204,2059879161,2051724079
2024-11-04 19:47:40.263255,2922,147.92.146.242,80,10.5.1.30,40930,TCP,11204,75,2051724080,2059878704
2024-11-04 19:47:40.263273,1630,10.5.1.30,9001,10.5.1.10,42922,TCP,10905,1609,4095879431,3453154825
2024-11-04 19:47:40.264221,66,10.5.1.10,42922,10.5.1.30,9001,TCP,1609,12469,3453154828,4095879431
2024-11-04 19:47:40.264258,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,14060,2059879163,2051724080
2024-11-04 19:47:40.265928,3172,10.5.1.30,9001,10.5.1.10,42922,TCP,12469,1609,4095879434,3453154828
2024-11-04 19:47:40.267026,66,10.5.1.10,42922,10.5.1.30,9001,TCP,1609,15575,3453154831,4095879434
2024-11-04 19:47:40.578193,1494,147.92.146.242,80,10.5.1.30,40930,TCP,14060,75,2051724458,2059879148
2024-11-04 19:47:40.579154,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,15488,2059879478,2051724458
2024-11-04 19:47:40.579459,1494,147.92.146.242,80,10.5.1.30,40930,TCP,15488,75,2051724458,2059879148
2024-11-04 19:47:40.579520,1630,10.5.1.30,9001,10.5.1.10,42922,TCP,15575,1609,4095879747,3453154831
2024-11-04 19:47:40.579953,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,16916,2059879479,2051724458
2024-11-04 19:47:40.580199,66,10.5.1.10,42922,10.5.1.30,9001,TCP,1609,17139,3453155144,4095879747
2024-11-04 19:47:40.580249,14346,147.92.146.242,80,10.5.1.30,40930,TCP,16916,75,2051724466,2059879150
2024-11-04 19:47:40.582373,1630,10.5.1.30,9001,10.5.1.10,42922,TCP,17139,1609,4095879750,3453155144
2024-11-04 19:47:40.583011,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,31196,2059879482,2051724466
2024-11-04 19:47:40.583101,66,10.5.1.10,42922,10.5.1.30,9001,TCP,1609,18703,3453155147,4095879750
2024-11-04 19:47:40.583269,2922,147.92.146.242,80,10.5.1.30,40930,TCP,31196,75,2051724466,2059879152
2024-11-04 19:47:40.583911,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,34052,2059879483,2051724466
2024-11-04 19:47:40.584253,2922,147.92.146.242,80,10.5.1.30,40930,TCP,34052,75,2051724473,2059879161
2024-11-04 19:47:40.585135,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,36908,2059879484,2051724473
2024-11-04 19:47:40.585491,5778,147.92.146.242,80,10.5.1.30,40930,TCP,36908,75,2051724475,2059879163
2024-11-04 19:47:40.586331,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1609,18703,3453155150,4095879750
2024-11-04 19:47:40.586493,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,42620,2059879485,2051724475
2024-11-04 19:47:40.586882,4136,10.5.1.30,9001,10.5.1.10,42922,TCP,18703,2145,4095879755,3453155150
2024-11-04 19:47:40.587661,2962,10.5.1.30,9001,10.5.1.10,42922,TCP,22773,2145,4095879755,3453155150
2024-11-04 19:47:40.587668,66,10.5.1.10,42922,10.5.1.30,9001,TCP,2145,22773,3453155151,4095879755
2024-11-04 19:47:40.588440,1240,10.5.1.30,9001,10.5.1.10,42922,TCP,25669,2145,4095879756,3453155151
2024-11-04 19:47:40.588452,66,10.5.1.10,42922,10.5.1.30,9001,TCP,2145,25669,3453155152,4095879755
2024-11-04 19:47:40.589060,2962,10.5.1.30,9001,10.5.1.10,42922,TCP,26843,2145,4095879757,3453155152
2024-11-04 19:47:40.589835,4410,10.5.1.30,9001,10.5.1.10,42922,TCP,29739,2145,4095879758,3453155152
2024-11-04 19:47:40.589840,66,10.5.1.10,42922,10.5.1.30,9001,TCP,2145,29739,3453155154,4095879756
2024-11-04 19:47:40.590741,966,10.5.1.30,9001,10.5.1.10,42922,TCP,34083,2145,4095879758,3453155154
2024-11-04 19:47:40.590752,66,10.5.1.10,42922,10.5.1.30,9001,TCP,2145,34083,3453155154,4095879758
2024-11-04 19:47:40.591257,2962,10.5.1.30,9001,10.5.1.10,42922,TCP,34983,2145,4095879759,3453155154
2024-11-04 19:47:40.591906,4410,10.5.1.30,9001,10.5.1.10,42922,TCP,37879,2145,4095879760,3453155154
2024-11-04 19:47:40.591913,66,10.5.1.10,42922,10.5.1.30,9001,TCP,2145,37879,3453155156,4095879758
2024-11-04 19:47:40.592758,988,10.5.1.30,9001,10.5.1.10,42922,TCP,42223,2145,4095879760,3453155156
2024-11-04 19:47:40.592770,66,10.5.1.10,42922,10.5.1.30,9001,TCP,2145,42223,3453155156,4095879760
2024-11-04 19:47:40.593255,2962,10.5.1.30,9001,10.5.1.10,42922,TCP,43145,2145,4095879761,3453155156
2024-11-04 19:47:40.594008,66,10.5.1.10,42922,10.5.1.30,9001,TCP,2145,46041,3453155158,4095879760
2024-11-04 19:47:40.594388,146,10.5.1.30,9001,10.5.1.10,42922,TCP,46041,2145,4095879762,3453155158
2024-11-04 19:47:40.599485,602,10.5.1.10,42922,10.5.1.30,9001,TCP,2145,46121,3453155163,4095879762
2024-11-04 19:47:40.642207,66,10.5.1.30,9001,10.5.1.10,42922,TCP,46121,2681,4095879810,3453155163
2024-11-04 19:47:40.862931,1494,147.92.146.242,80,10.5.1.30,40930,TCP,42620,75,2051724791,2059879478
2024-11-04 19:47:40.863722,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,44048,2059879762,2051724791
2024-11-04 19:47:40.864012,1494,147.92.146.242,80,10.5.1.30,40930,TCP,44048,75,2051724791,2059879478
2024-11-04 19:47:40.864074,1630,10.5.1.30,9001,10.5.1.10,42922,TCP,46121,2681,4095880032,3453155163
2024-11-04 19:47:40.864572,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,45476,2059879763,2051724791
2024-11-04 19:47:40.864720,66,10.5.1.10,42922,10.5.1.30,9001,TCP,2681,47685,3453155428,4095880032
2024-11-04 19:47:40.864812,2922,147.92.146.242,80,10.5.1.30,40930,TCP,45476,75,2051724791,2059879479
2024-11-04 19:47:40.865606,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,48332,2059879764,2051724791
2024-11-04 19:47:40.866011,7206,147.92.146.242,80,10.5.1.30,40930,TCP,48332,75,2051724798,2059879482
2024-11-04 19:47:40.866016,4136,10.5.1.30,9001,10.5.1.10,42922,TCP,47685,2681,4095880034,3453155428
2024-11-04 19:47:40.867018,66,10.5.1.10,42922,10.5.1.30,9001,TCP,2681,51755,3453155431,4095880034
2024-11-04 19:47:40.867361,666,10.5.1.30,9001,10.5.1.10,42922,TCP,51755,2681,4095880035,3453155431
2024-11-04 19:47:40.867863,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,55472,2059879767,2051724798
2024-11-04 19:47:40.868290,2962,10.5.1.30,9001,10.5.1.10,42922,TCP,52355,2681,4095880036,3453155431
2024-11-04 19:47:40.868968,4410,10.5.1.30,9001,10.5.1.10,42922,TCP,55251,2681,4095880037,3453155431
2024-11-04 19:47:40.868974,66,10.5.1.10,42922,10.5.1.30,9001,TCP,2681,55251,3453155433,4095880035
2024-11-04 19:47:40.869726,580,10.5.1.30,9001,10.5.1.10,42922,TCP,59595,2681,4095880037,3453155433
2024-11-04 19:47:40.869742,66,10.5.1.10,42922,10.5.1.30,9001,TCP,2681,59595,3453155433,4095880037
2024-11-04 19:47:40.872468,602,10.5.1.10,42922,10.5.1.30,9001,TCP,2681,60109,3453155436,4095880037
2024-11-04 19:47:40.872983,66,10.5.1.30,9001,10.5.1.10,42922,TCP,60109,3217,4095880041,3453155436
2024-11-04 19:47:40.875358,1494,147.92.146.242,80,10.5.1.30,40930,TCP,55472,75,2051724798,2059879482
2024-11-04 19:47:40.875930,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,56900,2059879775,2051724798
2024-11-04 19:47:40.876203,1630,10.5.1.30,9001,10.5.1.10,42922,TCP,60109,3217,4095880044,3453155436
2024-11-04 19:47:40.876240,10062,147.92.146.242,80,10.5.1.30,40930,TCP,56900,75,2051724798,2059879482
2024-11-04 19:47:40.876819,66,10.5.1.10,42922,10.5.1.30,9001,TCP,3217,61673,3453155441,4095880044
2024-11-04 19:47:40.878465,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,66896,2059879777,2051724798
2024-11-04 19:47:40.878905,2922,147.92.146.242,80,10.5.1.30,40930,TCP,66896,75,2051724798,2059879482
2024-11-04 19:47:40.878992,4136,10.5.1.30,9001,10.5.1.10,42922,TCP,61673,3217,4095880047,3453155441
2024-11-04 19:47:40.880005,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,69752,2059879779,2051724798
2024-11-04 19:47:40.880262,2962,10.5.1.30,9001,10.5.1.10,42922,TCP,65743,3217,4095880048,3453155441
2024-11-04 19:47:40.880278,66,10.5.1.10,42922,10.5.1.30,9001,TCP,3217,65743,3453155444,4095880047
2024-11-04 19:47:40.881027,1240,10.5.1.30,9001,10.5.1.10,42922,TCP,68639,3217,4095880049,3453155444
2024-11-04 19:47:40.881035,66,10.5.1.10,42922,10.5.1.30,9001,TCP,3217,68639,3453155445,4095880048
2024-11-04 19:47:40.881776,1514,10.5.1.30,9001,10.5.1.10,42922,TCP,69813,3217,4095880049,3453155445
2024-11-04 19:47:40.882469,66,10.5.1.10,42922,10.5.1.30,9001,TCP,3217,71261,3453155446,4095880049
2024-11-04 19:47:40.882836,1338,10.5.1.30,9001,10.5.1.10,42922,TCP,71261,3217,4095880051,3453155446
2024-11-04 19:47:40.885681,2962,10.5.1.30,9001,10.5.1.10,42922,TCP,72533,3217,4095880053,3453155446
2024-11-04 19:47:40.886312,66,10.5.1.10,42922,10.5.1.30,9001,TCP,3217,75429,3453155450,4095880051
2024-11-04 19:47:40.886570,276,10.5.1.30,9001,10.5.1.10,42922,TCP,75429,3217,4095880054,3453155450
2024-11-04 19:47:40.887863,1494,147.92.146.242,80,10.5.1.30,40930,TCP,69752,75,2051724798,2059879482
2024-11-04 19:47:40.888334,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,71180,2059879787,2051724798
2024-11-04 19:47:40.888673,5778,147.92.146.242,80,10.5.1.30,40930,TCP,71180,75,2051724798,2059879482
2024-11-04 19:47:40.888675,1514,10.5.1.30,9001,10.5.1.10,42922,TCP,75639,3217,4095880056,3453155450
2024-11-04 19:47:40.889136,602,10.5.1.10,42922,10.5.1.30,9001,TCP,3217,75639,3453155453,4095880054
2024-11-04 19:47:40.889650,182,10.5.1.30,9001,10.5.1.10,42922,TCP,77087,3753,4095880057,3453155453
2024-11-04 19:47:40.889969,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,76892,2059879789,2051724798
2024-11-04 19:47:40.890071,66,10.5.1.10,42922,10.5.1.30,9001,TCP,3753,77203,3453155454,4095880056
2024-11-04 19:47:40.890242,5778,147.92.146.242,80,10.5.1.30,40930,TCP,76892,75,2051724798,2059879483
2024-11-04 19:47:40.891387,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,82604,2059879790,2051724798
2024-11-04 19:47:40.891758,5778,147.92.146.242,80,10.5.1.30,40930,TCP,82604,75,2051724798,2059879484
2024-11-04 19:47:40.892935,4136,10.5.1.30,9001,10.5.1.10,42922,TCP,77203,3753,4095880061,3453155454
2024-11-04 19:47:40.893539,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,88316,2059879792,2051724798
2024-11-04 19:47:40.894108,2962,10.5.1.30,9001,10.5.1.10,42922,TCP,81273,3753,4095880062,3453155454
2024-11-04 19:47:40.894124,66,10.5.1.10,42922,10.5.1.30,9001,TCP,3753,81273,3453155458,4095880061
2024-11-04 19:47:40.894228,11490,147.92.146.242,80,10.5.1.30,40930,TCP,88316,75,2051724798,2059879485
2024-11-04 19:47:40.895211,1240,10.5.1.30,9001,10.5.1.10,42922,TCP,84169,3753,4095880063,3453155458
2024-11-04 19:47:40.895224,66,10.5.1.10,42922,10.5.1.30,9001,TCP,3753,84169,3453155459,4095880062
2024-11-04 19:47:40.895943,2962,10.5.1.30,9001,10.5.1.10,42922,TCP,85343,3753,4095880064,3453155459
2024-11-04 19:47:40.896963,66,10.5.1.10,42922,10.5.1.30,9001,TCP,3753,88239,3453155461,4095880063
2024-11-04 19:47:40.897377,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,99740,2059879796,2051724798
2024-11-04 19:47:40.897488,1454,10.5.1.30,9001,10.5.1.10,42922,TCP,88239,3753,4095880065,3453155461
2024-11-04 19:47:40.898995,2962,10.5.1.30,9001,10.5.1.10,42922,TCP,89627,3753,4095880067,3453155461
2024-11-04 19:47:40.899664,4410,10.5.1.30,9001,10.5.1.10,42922,TCP,92523,3753,4095880067,3453155461
2024-11-04 19:47:40.899674,66,10.5.1.10,42922,10.5.1.30,9001,TCP,3753,92523,3453155463,4095880065
2024-11-04 19:47:40.900335,966,10.5.1.30,9001,10.5.1.10,42922,TCP,96867,3753,4095880068,3453155463
2024-11-04 19:47:40.900345,66,10.5.1.10,42922,10.5.1.30,9001,TCP,3753,96867,3453155464,4095880067
2024-11-04 19:47:40.900761,2962,10.5.1.30,9001,10.5.1.10,42922,TCP,97767,3753,4095880068,3453155464
2024-11-04 19:47:40.901427,4410,10.5.1.30,9001,10.5.1.10,42922,TCP,100663,3753,4095880069,3453155464
2024-11-04 19:47:40.901434,66,10.5.1.10,42922,10.5.1.30,9001,TCP,3753,100663,3453155465,4095880068
2024-11-04 19:47:40.902089,966,10.5.1.30,9001,10.5.1.10,42922,TCP,105007,3753,4095880070,3453155465
2024-11-04 19:47:40.902097,66,10.5.1.10,42922,10.5.1.30,9001,TCP,3753,105007,3453155466,4095880069
2024-11-04 19:47:40.902540,1514,10.5.1.30,9001,10.5.1.10,42922,TCP,105907,3753,4095880070,3453155466
2024-11-04 19:47:40.903016,66,10.5.1.10,42922,10.5.1.30,9001,TCP,3753,107355,3453155467,4095880070
2024-11-04 19:47:40.903412,460,10.5.1.30,9001,10.5.1.10,42922,TCP,107355,3753,4095880071,3453155467
2024-11-04 19:47:40.904012,602,10.5.1.10,42922,10.5.1.30,9001,TCP,3753,107749,3453155468,4095880071
2024-11-04 19:47:40.939739,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1848042628,3524891715
2024-11-04 19:47:40.940366,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3524893436,1848042628
2024-11-04 19:47:40.945545,66,10.5.1.30,9001,10.5.1.10,42922,TCP,107749,4289,4095880113,3453155468
2024-11-04 19:47:40.946111,602,10.5.1.10,42922,10.5.1.30,9001,TCP,4289,107749,3453155510,4095880113
2024-11-04 19:47:40.946449,66,10.5.1.30,9001,10.5.1.10,42922,TCP,107749,4825,4095880114,3453155510
2024-11-04 19:47:41.138017,1494,147.92.146.242,80,10.5.1.30,40930,TCP,99740,75,2051725076,2059879762
2024-11-04 19:47:41.139263,66,10.5.1.30,40930,147.92.146.242,80,TCP,75,101168,2059880038,2051725076
2024-11-04 19:47:41.139844,1494,147.92.146.242,80,10.5.1.30,40930,TCP,101168,75,2051725076,2059879762
2024-11-04 19:47:41.139934,1630,10.5.1.30,9001,10.5.1.10,42922,TCP,107749,4825,4095880308,3453155510
