Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:39:45.567164,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3452680131,4095394373
2024-11-04 19:39:45.567759,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095404735,3452680131
2024-11-04 19:39:45.568047,74,10.5.1.30,51398,95.128.201.171,80,TCP,0,0,1702515360,0
2024-11-04 19:39:45.621380,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095404789,3452680131
2024-11-04 19:39:45.625931,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,141007297,3032901513
2024-11-04 19:39:45.626525,74,10.5.1.30,51412,95.128.201.171,80,TCP,0,0,1702515418,0
2024-11-04 19:39:45.662254,66,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3452680226,4095404789
2024-11-04 19:39:45.668930,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3032923576,141007297
2024-11-04 19:39:45.680104,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3032923587,141007297
2024-11-04 19:39:45.680427,66,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,141007351,3032923587
2024-11-04 19:39:45.683569,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,141007354,3032923587
2024-11-04 19:39:45.684207,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3032923591,141007354
2024-11-04 19:39:45.684742,74,10.5.1.30,51416,95.128.201.171,80,TCP,0,0,1702515476,0
2024-11-04 19:39:45.737813,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3032923645,141007354
2024-11-04 19:39:45.782286,66,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1073,141007453,3032923645
2024-11-04 19:39:51.195445,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1073,141012866,3032923645
2024-11-04 19:39:51.195713,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1847572884,3524396045
2024-11-04 19:39:51.195968,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,181259609,2859930236
2024-11-04 19:39:51.196269,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,1609,3032929103,141012866
2024-11-04 19:39:51.197012,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3524423693,1847572884
2024-11-04 19:39:51.201022,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1609,1073,141012872,3032929103
2024-11-04 19:39:51.201395,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,2145,3032929108,141012872
2024-11-04 19:39:51.203677,1116,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1847572892,3524423693
2024-11-04 19:39:51.204451,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1587,3524423700,1847572892
2024-11-04 19:39:51.205625,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1587,3524423701,1847572892
2024-11-04 19:39:51.206380,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2226920197,3157953928
2024-11-04 19:39:51.207048,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3157981575,2226920197
2024-11-04 19:39:51.208102,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3157981576,2226920197
