Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:37:08.275707,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3448922839,4091636722
2024-11-04 18:37:08.276227,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091647444,3448922839
2024-11-04 18:37:08.276709,74,10.5.1.30,55592,174.35.118.62,80,TCP,0,0,1411413508,0
2024-11-04 18:37:08.357384,66,174.35.118.62,80,10.5.1.30,55592,TCP,0,1,,
2024-11-04 18:37:08.357737,54,10.5.1.30,55592,174.35.118.62,80,TCP,1,1,,
2024-11-04 18:37:08.357944,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091647526,3448922839
2024-11-04 18:37:08.363730,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3448922927,4091647526
2024-11-04 18:37:08.364079,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091647532,3448922927
2024-11-04 18:37:08.364477,125,10.5.1.30,55592,174.35.118.62,80,TCP,1,1,,
2024-11-04 18:37:08.437251,54,174.35.118.62,80,10.5.1.30,55592,TCP,1,72,,
2024-11-04 18:37:08.972356,561,174.35.118.62,80,10.5.1.30,55592,TCP,1,72,,
2024-11-04 18:37:08.972721,54,10.5.1.30,55592,174.35.118.62,80,TCP,72,508,,
2024-11-04 18:37:08.972868,216,174.35.118.62,80,10.5.1.30,55592,TCP,508,72,,
2024-11-04 18:37:08.973007,54,10.5.1.30,55592,174.35.118.62,80,TCP,72,670,,
