Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:28:13.706291,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,176962119,2855652647
2024-11-04 18:28:13.706677,74,10.5.1.30,51016,151.101.1.29,80,TCP,0,0,1518289226,0
2024-11-04 18:28:13.732704,74,151.101.1.29,80,10.5.1.30,51016,TCP,0,1,1487652977,1518289226
2024-11-04 18:28:13.733090,66,10.5.1.30,51016,151.101.1.29,80,TCP,1,1,1518289253,1487652977
2024-11-04 18:28:13.733205,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2855660366,176962119
2024-11-04 18:28:13.733575,66,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,176962146,2855660366
2024-11-04 18:28:13.736859,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,176962150,2855660366
2024-11-04 18:28:13.737127,139,10.5.1.30,51016,151.101.1.29,80,TCP,1,1,1518289257,1487652977
2024-11-04 18:28:13.777325,66,151.101.1.29,80,10.5.1.30,51016,TCP,1,74,1487653017,1518289257
2024-11-04 18:28:13.777620,828,151.101.1.29,80,10.5.1.30,51016,TCP,1,74,1487653017,1518289257
2024-11-04 18:28:13.777788,66,10.5.1.30,51016,151.101.1.29,80,TCP,74,763,1518289297,1487653017
2024-11-04 18:28:13.777904,66,151.101.1.29,80,10.5.1.30,51016,TCP,763,74,1487653017,1518289257
