Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:43:27.622448,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1840589311,3517429717
2024-11-04 17:43:27.622624,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517440118,1840589311
2024-11-04 17:43:27.622793,74,10.5.1.30,49056,37.48.65.145,80,TCP,0,0,3926593657,0
2024-11-04 17:43:27.666506,58,37.48.65.145,80,10.5.1.30,49056,TCP,0,1,,
2024-11-04 17:43:27.666690,54,10.5.1.30,49056,37.48.65.145,80,TCP,1,1,,
2024-11-04 17:43:27.666873,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517440163,1840589311
2024-11-04 17:43:27.670117,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1840589359,3517440163
2024-11-04 17:43:27.670273,66,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3517440166,1840589359
2024-11-04 17:43:27.670438,127,10.5.1.30,49056,37.48.65.145,80,TCP,1,1,,
2024-11-04 17:43:27.716703,54,37.48.65.145,80,10.5.1.30,49056,TCP,1,74,,
2024-11-04 17:43:28.033972,509,37.48.65.145,80,10.5.1.30,49056,TCP,1,74,,
2024-11-04 17:43:28.034177,54,10.5.1.30,49056,37.48.65.145,80,TCP,74,456,,
2024-11-04 17:43:28.034327,602,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3517440530,1840589359
2024-11-04 17:43:28.036278,54,37.48.65.145,80,10.5.1.30,49056,TCP,456,74,,
2024-11-04 17:43:28.036436,54,10.5.1.30,49056,37.48.65.145,80,TCP,74,457,,
