Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 20:10:32.915874,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,183101329,2861790450
2024-11-04 20:10:32.917029,74,10.5.1.30,35302,151.101.194.166,80,TCP,0,0,3696486400,0
2024-11-04 20:10:32.945725,74,151.101.194.166,80,10.5.1.30,35302,TCP,0,1,2296422587,3696486400
2024-11-04 20:10:32.946193,66,10.5.1.30,35302,151.101.194.166,80,TCP,1,1,3696486429,2296422587
2024-11-04 20:10:32.946546,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2861799579,183101329
2024-11-04 20:10:32.946950,66,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,183101360,2861799579
2024-11-04 20:10:32.949497,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,183101362,2861799579
2024-11-04 20:10:32.950458,140,10.5.1.30,35302,151.101.194.166,80,TCP,1,1,3696486433,2296422587
2024-11-04 20:10:32.980631,66,151.101.194.166,80,10.5.1.30,35302,TCP,1,75,2296422617,3696486433
2024-11-04 20:10:32.981211,440,151.101.194.166,80,10.5.1.30,35302,TCP,1,75,2296422618,3696486433
2024-11-04 20:10:32.981561,66,10.5.1.30,35302,151.101.194.166,80,TCP,75,375,3696486464,2296422618
2024-11-04 20:10:32.981819,66,151.101.194.166,80,10.5.1.30,35302,TCP,375,75,2296422618,3696486433
2024-11-04 20:10:32.982178,66,10.5.1.30,35302,151.101.194.166,80,TCP,75,376,3696486465,2296422618
