Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:39:50.137741,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3449084701,4091798929
2024-11-04 18:39:50.138218,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091809306,3449084701
2024-11-04 18:39:50.138474,74,10.5.1.30,55078,13.248.222.133,80,TCP,0,0,1620996652,0
2024-11-04 18:39:50.189829,74,13.248.222.133,80,10.5.1.30,55078,TCP,0,1,1726248603,1620996652
2024-11-04 18:39:50.190563,66,10.5.1.30,55078,13.248.222.133,80,TCP,1,1,1620996704,1726248603
2024-11-04 18:39:50.190763,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091809358,3449084701
2024-11-04 18:39:50.197204,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3449084761,4091809358
2024-11-04 18:39:50.197669,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091809365,3449084761
2024-11-04 18:39:50.197870,141,10.5.1.30,55078,13.248.222.133,80,TCP,1,1,1620996712,1726248603
2024-11-04 18:39:50.244703,66,13.248.222.133,80,10.5.1.30,55078,TCP,1,76,1726248657,1620996712
2024-11-04 18:39:50.494852,401,13.248.222.133,80,10.5.1.30,55078,TCP,1,76,1726248906,1620996712
2024-11-04 18:39:50.495236,66,10.5.1.30,55078,13.248.222.133,80,TCP,76,336,1620997009,1726248906
2024-11-04 18:39:50.495566,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091809663,3449084761
2024-11-04 18:39:50.499629,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1073,3449085063,4091809663
2024-11-04 18:39:50.500047,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,1609,4091809668,3449085063
2024-11-04 18:39:50.500276,66,10.5.1.30,55078,13.248.222.133,80,TCP,76,336,1620997014,1726248906
2024-11-04 18:39:50.524656,66,13.248.222.133,80,10.5.1.30,55078,TCP,336,77,1726248937,1620997014
2024-11-04 18:39:50.524974,66,10.5.1.30,55078,13.248.222.133,80,TCP,77,337,1620997039,1726248937
2024-11-04 18:39:55.106822,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2194071295,2657817343
2024-11-04 18:39:55.106849,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,177663520,2856334316
2024-11-04 18:39:55.106969,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1843976796,3520800168
2024-11-04 18:39:55.107447,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2657844794,2194071295
2024-11-04 18:39:55.107544,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3520827603,1843976796
2024-11-04 18:39:55.109499,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1843976798,3520827603
2024-11-04 18:39:55.110005,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3520827606,1843976798
2024-11-04 18:39:55.116945,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2223324108,3154358217
2024-11-04 18:39:55.117535,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3154385485,2223324108
2024-11-04 18:39:55.118152,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3154385486,2223324108
2024-11-04 18:39:55.119764,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,1,1843976808,3520827606
2024-11-04 18:39:55.119980,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1609,3520827616,1843976808
2024-11-04 18:39:55.120505,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1609,3520827616,1843976808
2024-11-04 18:39:55.123656,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,537,2223324114,3154385486
2024-11-04 18:39:55.124446,602,10.5.1.30,9001,10.5.1.20,56104,TCP,537,1073,3154385492,2223324114
2024-11-04 18:39:55.126980,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1073,1073,2223324118,3154385492
2024-11-04 18:39:55.136351,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,537,1843976825,3520827616
2024-11-04 18:39:55.136875,602,10.5.1.30,9001,10.5.1.21,54580,TCP,537,2145,3520827633,1843976825
2024-11-04 18:39:55.146616,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2145,1073,1843976835,3520827633
2024-11-04 18:39:55.152634,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2856361785,177663520
2024-11-04 18:39:55.153190,1138,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,177663566,2856361785
2024-11-04 18:39:55.153560,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1609,2856361786,177663566
2024-11-04 18:39:55.154135,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1609,2856361787,177663566
2024-11-04 18:39:55.154482,66,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,537,177663567,2856361787
2024-11-04 18:39:55.156390,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,537,177663569,2856361787
