Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:30:30.295956,74,44.236.165.191,80,10.5.1.30,37392,TCP,0,1,4263222811,326382302
2024-11-04 19:30:30.296692,66,10.5.1.30,37392,44.236.165.191,80,TCP,1,1,326382497,4263222811
2024-11-04 19:30:30.296881,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1,3032368204,140451771
2024-11-04 19:30:30.300834,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,537,140451972,3032368204
2024-11-04 19:30:30.301402,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,537,3032368208,140451972
2024-11-04 19:30:30.301864,149,10.5.1.30,37392,44.236.165.191,80,TCP,1,1,326382503,4263222811
2024-11-04 19:30:30.488379,66,44.236.165.191,80,10.5.1.30,37392,TCP,1,84,4263223007,326382503
2024-11-04 19:30:30.489265,514,44.236.165.191,80,10.5.1.30,37392,TCP,1,84,4263223007,326382503
2024-11-04 19:30:30.489791,66,10.5.1.30,37392,44.236.165.191,80,TCP,84,449,326382690,4263223007
2024-11-04 19:30:30.490457,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,537,3032368397,140451972
2024-11-04 19:30:30.493770,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,1073,140452164,3032368397
2024-11-04 19:30:30.494437,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,1073,3032368401,140452164
2024-11-04 19:30:30.495022,66,10.5.1.30,37392,44.236.165.191,80,TCP,84,449,326382696,4263223007
2024-11-04 19:30:30.683136,66,44.236.165.191,80,10.5.1.30,37392,TCP,449,85,4263223202,326382696
2024-11-04 19:30:30.683814,66,10.5.1.30,37392,44.236.165.191,80,TCP,85,450,326382885,4263223202
2024-11-04 19:30:33.319616,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1847015008,3523838368
2024-11-04 19:30:33.319875,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,180701733,2859372563
2024-11-04 19:30:33.319998,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1073,140454991,3032368401
2024-11-04 19:30:33.320152,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2226362311,3157396254
2024-11-04 19:30:33.320685,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3523865816,1847015008
2024-11-04 19:30:33.320891,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,1609,3032371228,140454991
2024-11-04 19:30:33.320891,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3157423689,2226362311
2024-11-04 19:30:33.321451,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1847015010,3523865816
2024-11-04 19:30:33.322161,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3523865818,1847015010
2024-11-04 19:30:33.323146,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,1,1847015012,3523865818
2024-11-04 19:30:33.323849,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1609,3523865820,1847015012
2024-11-04 19:30:33.326704,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1609,1073,140454997,3032371228
2024-11-04 19:30:33.327268,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,2145,3032371234,140454997
2024-11-04 19:30:33.328284,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,2145,3032371235,140454997
2024-11-04 19:30:33.330678,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,1,1847015019,3523865820
2024-11-04 19:30:33.330750,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2226362321,3157423689
2024-11-04 19:30:33.330800,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2145,1609,140455001,3032371235
2024-11-04 19:30:33.331025,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,2145,3523865827,1847015019
2024-11-04 19:30:33.331509,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3157423699,2226362321
2024-11-04 19:30:33.332184,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1609,2681,3032371239,140455001
2024-11-04 19:30:33.332804,1116,10.5.1.11,42168,10.5.1.30,9001,TCP,2681,2145,140455003,3032371239
2024-11-04 19:30:33.336164,1116,10.5.1.30,9001,10.5.1.11,42168,TCP,2145,3731,3032371243,140455003
2024-11-04 19:30:33.336804,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,2145,3523865833,1847015019
2024-11-04 19:30:33.337383,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3157423705,2226362321
2024-11-04 19:30:33.337621,602,10.5.1.11,42168,10.5.1.30,9001,TCP,3731,3195,140455008,3032371243
2024-11-04 19:30:33.339317,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2145,537,1847015028,3523865833
2024-11-04 19:30:33.340024,602,10.5.1.30,9001,10.5.1.21,54580,TCP,537,2681,3523865836,1847015028
2024-11-04 19:30:33.346478,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2681,1073,1847015035,3523865836
2024-11-04 19:30:33.362332,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2859399995,180701733
2024-11-04 19:30:33.362965,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,180701776,2859399995
2024-11-04 19:30:33.363431,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2859399996,180701776
2024-11-04 19:30:33.364367,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2859399997,180701776
2024-11-04 19:30:33.365063,66,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,537,180701778,2859399997
2024-11-04 19:30:33.369937,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1073,537,2226362361,3157423705
2024-11-04 19:30:33.370319,602,10.5.1.30,9001,10.5.1.20,56104,TCP,537,1609,3157423738,2226362361
2024-11-04 19:30:33.373132,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,537,180701786,2859399997
2024-11-04 19:30:33.373502,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1609,2859400006,180701786
2024-11-04 19:30:33.382304,66,10.5.1.30,9001,10.5.1.11,42168,TCP,3195,4267,3032371289,140455008
2024-11-04 19:30:33.382725,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1609,1073,2226362373,3157423738
2024-11-04 19:30:33.382748,1116,10.5.1.11,42168,10.5.1.30,9001,TCP,4267,3195,140455053,3032371289
2024-11-04 19:30:33.383271,66,10.5.1.30,9001,10.5.1.11,42168,TCP,3195,5317,3032371290,140455053
2024-11-04 19:30:33.383738,1116,10.5.1.30,9001,10.5.1.11,42168,TCP,3195,5317,3032371290,140455053
2024-11-04 19:30:33.385819,1116,10.5.1.11,42168,10.5.1.30,9001,TCP,5317,4245,140455057,3032371290
2024-11-04 19:30:33.385917,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,1073,180701799,2859400006
2024-11-04 19:30:33.388963,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,3217,3523865885,1847015035
2024-11-04 19:30:33.428960,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,2145,3157423797,2226362373
2024-11-04 19:30:33.428961,66,10.5.1.30,9001,10.5.1.11,42168,TCP,4245,6367,3032371336,140455057
2024-11-04 19:30:33.429238,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,2145,2859400062,180701799
2024-11-04 19:30:33.883008,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3452128447,4094823650
2024-11-04 19:30:33.883107,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2145,1073,2226362874,3157423797
2024-11-04 19:30:33.883116,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2145,1073,180702296,2859400062
2024-11-04 19:30:33.883415,602,10.5.1.21,54580,10.5.1.30,9001,TCP,3217,1073,1847015572,3523865885
2024-11-04 19:30:33.884238,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,3753,3523866380,1847015572
2024-11-04 19:30:33.884239,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,2681,3157424252,2226362874
2024-11-04 19:30:33.884239,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4094853052,3452128447
2024-11-04 19:30:33.884249,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,2681,2859400517,180702296
2024-11-04 19:30:33.885115,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2681,1073,2226362876,3157424252
2024-11-04 19:30:33.885683,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,3217,3157424253,2226362876
2024-11-04 19:30:33.892041,1116,10.5.1.10,42922,10.5.1.30,9001,TCP,537,1,3452128456,4094853052
2024-11-04 19:30:33.892567,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1587,4094853060,3452128456
2024-11-04 19:30:33.893444,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1587,4094853061,3452128456
2024-11-04 19:30:33.895977,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1587,537,3452128460,4094853061
2024-11-04 19:30:33.896676,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,2123,4094853064,3452128460
2024-11-04 19:30:33.896720,602,10.5.1.20,56104,10.5.1.30,9001,TCP,3217,1073,2226362887,3157424253
2024-11-04 19:30:33.897430,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,3753,3157424265,2226362887
2024-11-04 19:30:33.898561,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,3753,3157424266,2226362887
2024-11-04 19:30:33.899407,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2681,1073,180702312,2859400517
2024-11-04 19:30:33.899452,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2197110087,2660855552
2024-11-04 19:30:33.900035,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,3217,2859400533,180702312
2024-11-04 19:30:33.900091,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2660883587,2197110087
2024-11-04 19:30:33.901075,602,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2660883588,2197110087
2024-11-04 19:30:33.902805,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,3217,2859400536,180702312
2024-11-04 19:30:33.906526,602,10.5.1.10,42922,10.5.1.30,9001,TCP,2123,1073,3452128470,4094853064
2024-11-04 19:30:33.906773,602,10.5.1.23,40268,10.5.1.30,9001,TCP,537,537,2197110094,2660883588
2024-11-04 19:30:33.906902,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,2659,4094853075,3452128470
2024-11-04 19:30:33.909702,602,10.5.1.30,9001,10.5.1.23,40268,TCP,537,1073,2660883596,2197110094
2024-11-04 19:30:33.910941,602,10.5.1.10,42922,10.5.1.30,9001,TCP,2659,1609,3452128475,4094853075
2024-11-04 19:30:33.911622,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1609,3195,4094853079,3452128475
2024-11-04 19:30:33.913124,602,10.5.1.12,55266,10.5.1.30,9001,TCP,3217,1609,180702326,2859400536
2024-11-04 19:30:33.913196,602,10.5.1.20,56104,10.5.1.30,9001,TCP,3753,1609,2226362904,3157424266
2024-11-04 19:30:33.913258,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1073,1073,2197110101,2660883596
2024-11-04 19:30:33.913995,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1609,3753,2859400547,180702326
2024-11-04 19:30:33.915819,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1609,4289,3157424284,2226362904
2024-11-04 19:30:33.919928,602,10.5.1.12,55266,10.5.1.30,9001,TCP,3753,2145,180702333,2859400547
