Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:57:07.231349,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3450121795,4092841990
2024-11-04 18:57:07.231759,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4092846399,3450121795
2024-11-04 18:57:07.231992,74,10.5.1.30,55044,95.101.35.122,80,TCP,0,0,387551538,0
2024-11-04 18:57:07.271887,74,95.101.35.122,80,10.5.1.30,55044,TCP,0,1,1723157667,387551538
2024-11-04 18:57:07.272348,66,10.5.1.30,55044,95.101.35.122,80,TCP,1,1,387551578,1723157667
2024-11-04 18:57:07.272511,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4092846440,3450121795
2024-11-04 18:57:07.276519,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3450121840,4092846440
2024-11-04 18:57:07.276885,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4092846445,3450121840
2024-11-04 18:57:07.277175,141,10.5.1.30,55044,95.101.35.122,80,TCP,1,1,387551583,1723157667
2024-11-04 18:57:07.326625,66,95.101.35.122,80,10.5.1.30,55044,TCP,1,76,1723157722,387551583
2024-11-04 18:57:07.331674,237,95.101.35.122,80,10.5.1.30,55044,TCP,1,76,1723157726,387551583
2024-11-04 18:57:07.331859,66,10.5.1.30,55044,95.101.35.122,80,TCP,76,172,387551638,1723157726
2024-11-04 18:57:07.332147,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4092846500,3450121840
2024-11-04 18:57:07.334928,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1073,3450121899,4092846500
2024-11-04 18:57:07.335476,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,1609,4092846503,3450121899
2024-11-04 18:57:07.336050,66,10.5.1.30,55044,95.101.35.122,80,TCP,76,172,387551642,1723157726
2024-11-04 18:57:07.381800,66,95.101.35.122,80,10.5.1.30,55044,TCP,172,77,1723157777,387551642
2024-11-04 18:57:07.382176,66,10.5.1.30,55044,95.101.35.122,80,TCP,77,173,387551688,1723157777
2024-11-04 18:57:14.658729,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1,3030372565,138445337
2024-11-04 18:57:14.659669,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,537,138456330,3030372565
2024-11-04 18:57:14.660117,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,537,3030372567,138456330
2024-11-04 18:57:14.660778,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,537,3030372567,138456330
2024-11-04 18:57:14.666363,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,1073,138456337,3030372567
2024-11-04 18:57:14.667158,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,1073,3030372574,138456337
