Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:07:31.554185,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,139073225,3030979699
2024-11-04 19:07:31.554254,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1845633243,3522473928
2024-11-04 19:07:31.554670,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3522484050,1845633243
2024-11-04 19:07:31.554670,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3030989461,139073225
2024-11-04 19:07:31.554958,74,10.5.1.30,54358,151.101.2.137,80,TCP,0,0,409431715,0
2024-11-04 19:07:31.583479,74,151.101.2.137,80,10.5.1.30,54358,TCP,0,1,2535021472,409431715
2024-11-04 19:07:31.583875,66,10.5.1.30,54358,151.101.2.137,80,TCP,1,1,409431744,2535021472
2024-11-04 19:07:31.583935,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3030989491,139073225
2024-11-04 19:07:31.590173,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139073261,3030989491
2024-11-04 19:07:31.590558,140,10.5.1.30,54358,151.101.2.137,80,TCP,1,1,409431750,2535021472
2024-11-04 19:07:31.618410,66,151.101.2.137,80,10.5.1.30,54358,TCP,1,75,2535021505,409431750
2024-11-04 19:07:31.621013,384,151.101.2.137,80,10.5.1.30,54358,TCP,1,75,2535021505,409431750
2024-11-04 19:07:31.621214,66,10.5.1.30,54358,151.101.2.137,80,TCP,75,319,409431781,2535021505
2024-11-04 19:07:31.621388,66,151.101.2.137,80,10.5.1.30,54358,TCP,319,75,2535021505,409431750
2024-11-04 19:07:31.621410,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3030989528,139073261
2024-11-04 19:07:31.621718,66,10.5.1.30,54358,151.101.2.137,80,TCP,75,320,409431781,2535021505
2024-11-04 19:07:31.626679,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1073,139073297,3030989528
2024-11-04 19:07:31.627373,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,1609,3030989534,139073297
2024-11-04 19:07:31.645808,66,151.101.2.137,80,10.5.1.30,54358,TCP,320,76,2535021535,409431781
2024-11-04 19:07:31.669137,66,10.5.1.11,42168,10.5.1.30,9001,TCP,1609,1609,139073340,3030989534
2024-11-04 19:07:31.768078,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,179320181,2858008163
2024-11-04 19:07:31.768946,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2858018402,179320181
2024-11-04 19:07:31.769244,66,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,179320182,2858018402
2024-11-04 19:07:31.776829,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,179320190,2858018402
