Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:28:03.156540,1116,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3448377720,4091101746
2024-11-04 18:28:03.156917,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1051,4091102325,3448377720
2024-11-04 18:28:03.157342,1116,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1051,4091102325,3448377720
2024-11-04 18:28:03.157628,66,10.5.1.10,42922,10.5.1.30,9001,TCP,1051,1051,3448377721,4091102325
2024-11-04 18:28:03.169352,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1,3028621076,136704798
2024-11-04 18:28:03.169779,1116,10.5.1.10,42922,10.5.1.30,9001,TCP,1051,1051,3448377733,4091102325
2024-11-04 18:28:03.170256,1116,10.5.1.30,9001,10.5.1.10,42922,TCP,1051,2101,4091102338,3448377733
2024-11-04 18:28:03.172849,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,176951586,2855649764
2024-11-04 18:28:03.173062,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2855649806,176951586
2024-11-04 18:28:03.174700,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,176951587,2855649806
2024-11-04 18:28:03.174872,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2855649808,176951587
2024-11-04 18:28:03.175274,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2855649808,176951587
2024-11-04 18:28:03.176638,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,537,176951589,2855649808
2024-11-04 18:28:03.179453,1116,10.5.1.10,42922,10.5.1.30,9001,TCP,2101,2101,3448377743,4091102338
2024-11-04 18:28:03.182701,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1,3520115678,1843264825
2024-11-04 18:28:03.183063,1138,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1843264872,3520115678
2024-11-04 18:28:03.183254,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3520115679,1843264872
2024-11-04 18:28:03.183660,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3520115679,1843264872
2024-11-04 18:28:03.193199,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,537,1843264882,3520115679
2024-11-04 18:28:03.199933,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,136704871,3028621076
2024-11-04 18:28:03.200288,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3028621107,136704871
2024-11-04 18:28:03.200726,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3028621107,136704871
2024-11-04 18:28:03.219344,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1609,2855649852,176951589
2024-11-04 18:28:03.222685,66,10.5.1.30,9001,10.5.1.10,42922,TCP,2101,3151,4091102390,3448377743
2024-11-04 18:28:03.223359,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,537,176951636,2855649852
2024-11-04 18:28:03.223716,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,2145,2855649856,176951636
2024-11-04 18:28:03.224081,74,10.5.1.30,47108,81.19.72.34,80,TCP,0,0,841922566,0
2024-11-04 18:28:03.236022,66,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1609,3520115732,1843264882
2024-11-04 18:28:03.240533,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,136704911,3028621107
2024-11-04 18:28:03.241043,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3028621148,136704911
2024-11-04 18:28:03.246410,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,537,1843264935,3520115732
2024-11-04 18:28:03.246898,66,10.5.1.30,9001,10.5.1.21,54580,TCP,537,2145,3520115743,1843264935
2024-11-04 18:28:03.247373,602,10.5.1.30,9001,10.5.1.21,54580,TCP,537,2145,3520115743,1843264935
2024-11-04 18:28:03.249637,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1073,136704920,3028621148
2024-11-04 18:28:03.260717,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2145,1073,1843264949,3520115743
2024-11-04 18:28:03.292682,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,1609,3028621199,136704920
2024-11-04 18:28:03.302554,74,81.19.72.34,80,10.5.1.30,47108,TCP,0,1,1914180193,841922566
2024-11-04 18:28:03.302719,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,2681,3520115798,1843264949
2024-11-04 18:28:03.302984,66,10.5.1.30,47108,81.19.72.34,80,TCP,1,1,841922645,1914180193
2024-11-04 18:28:03.303150,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,2145,2855649936,176951636
2024-11-04 18:28:03.303502,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2681,1073,1843264992,3520115798
2024-11-04 18:28:03.303854,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,3217,3520115800,1843264992
2024-11-04 18:28:03.306472,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,3217,3520115802,1843264992
2024-11-04 18:28:03.306533,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2145,1073,176951719,2855649936
2024-11-04 18:28:03.306926,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,2681,2855649940,176951719
2024-11-04 18:28:03.307177,138,10.5.1.30,47108,81.19.72.34,80,TCP,1,1,841922649,1914180193
2024-11-04 18:28:03.308576,602,10.5.1.21,54580,10.5.1.30,9001,TCP,3217,1609,1843264997,3520115802
2024-11-04 18:28:03.349363,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1609,3753,3520115845,1843264997
2024-11-04 18:28:03.357033,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2681,1073,176951770,2855649940
2024-11-04 18:28:03.357333,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,3217,2855649990,176951770
2024-11-04 18:28:03.358121,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,3217,2855649991,176951770
2024-11-04 18:28:03.359415,602,10.5.1.12,55266,10.5.1.30,9001,TCP,3217,1609,176951772,2855649991
2024-11-04 18:28:03.382427,66,81.19.72.34,80,10.5.1.30,47108,TCP,1,73,1914180273,841922649
2024-11-04 18:28:03.382724,455,81.19.72.34,80,10.5.1.30,47108,TCP,1,73,1914180273,841922649
2024-11-04 18:28:03.382872,66,10.5.1.30,47108,81.19.72.34,80,TCP,73,390,841922725,1914180273
2024-11-04 18:28:03.383090,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1609,3753,2855650016,176951772
2024-11-04 18:28:03.387212,602,10.5.1.12,55266,10.5.1.30,9001,TCP,3753,2145,176951800,2855650016
2024-11-04 18:28:03.387694,66,10.5.1.30,47108,81.19.72.34,80,TCP,73,390,841922729,1914180273
2024-11-04 18:28:03.429350,66,10.5.1.30,9001,10.5.1.12,55266,TCP,2145,4289,2855650062,176951800
2024-11-04 18:28:03.464862,66,81.19.72.34,80,10.5.1.30,47108,TCP,390,74,1914180356,841922729
2024-11-04 18:28:03.465168,66,10.5.1.30,47108,81.19.72.34,80,TCP,74,391,841922807,1914180356
2024-11-04 18:28:03.975778,74,10.5.1.30,42532,10.5.1.10,80,TCP,0,0,4091103143,0
2024-11-04 18:28:03.976143,74,10.5.1.10,80,10.5.1.30,42532,TCP,0,1,3448378540,4091103143
2024-11-04 18:28:03.976276,66,10.5.1.30,42532,10.5.1.10,80,TCP,1,1,4091103144,3448378540
2024-11-04 18:28:03.976456,361,10.5.1.30,42532,10.5.1.10,80,TCP,1,1,4091103144,3448378540
2024-11-04 18:28:03.976622,66,10.5.1.10,80,10.5.1.30,42532,TCP,1,296,3448378540,4091103144
2024-11-04 18:28:03.976670,132,10.5.1.10,80,10.5.1.30,42532,TCP,1,296,3448378540,4091103144
2024-11-04 18:28:03.976819,66,10.5.1.30,42532,10.5.1.10,80,TCP,296,67,4091103145,3448378540
2024-11-04 18:28:03.976960,66,10.5.1.10,80,10.5.1.30,42532,TCP,67,296,3448378541,4091103145
2024-11-04 18:28:03.977111,66,10.5.1.30,42532,10.5.1.10,80,TCP,296,68,4091103145,3448378541
2024-11-04 18:28:03.977250,66,10.5.1.10,80,10.5.1.30,42532,TCP,68,297,3448378541,4091103145
2024-11-04 18:28:04.514306,602,10.5.1.10,42922,10.5.1.30,9001,TCP,3151,2101,3448379078,4091102390
2024-11-04 18:28:04.514326,602,10.5.1.21,54580,10.5.1.30,9001,TCP,3753,1609,1843266203,3520115845
2024-11-04 18:28:04.514388,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1609,1073,136706185,3028621199
2024-11-04 18:28:04.514707,66,10.5.1.30,9001,10.5.1.10,42922,TCP,2101,3687,4091103682,3448379078
2024-11-04 18:28:04.514707,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1609,4289,3520117010,1843266203
2024-11-04 18:28:04.515038,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,2145,3028622422,136706185
2024-11-04 18:28:04.519843,602,10.5.1.12,55266,10.5.1.30,9001,TCP,4289,2145,176952933,2855650062
2024-11-04 18:28:04.520279,66,10.5.1.30,9001,10.5.1.12,55266,TCP,2145,4825,2855651153,176952933
2024-11-04 18:28:04.523069,602,10.5.1.21,54580,10.5.1.30,9001,TCP,4289,1609,1843266212,3520117010
2024-11-04 18:28:04.523288,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1609,4825,3520117019,1843266212
