Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:40:37.236473,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1840418925,3517266215
2024-11-04 17:40:37.236613,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517269732,1840418925
2024-11-04 17:40:37.236736,74,10.5.1.30,42126,172.64.153.110,80,TCP,0,0,941792449,0
2024-11-04 17:40:37.266563,74,172.64.153.110,80,10.5.1.30,42126,TCP,0,1,4148812807,941792449
2024-11-04 17:40:37.266706,66,10.5.1.30,42126,172.64.153.110,80,TCP,1,1,941792479,4148812807
2024-11-04 17:40:37.266823,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517269763,1840418925
2024-11-04 17:40:37.269937,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1840418959,3517269763
2024-11-04 17:40:37.270099,144,10.5.1.30,42126,172.64.153.110,80,TCP,1,1,941792483,4148812807
2024-11-04 17:40:37.299105,66,172.64.153.110,80,10.5.1.30,42126,TCP,1,79,4148812839,941792483
2024-11-04 17:40:37.312972,66,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3517269809,1840418959
2024-11-04 17:40:37.464560,1494,172.64.153.110,80,10.5.1.30,42126,TCP,1,79,4148813005,941792483
2024-11-04 17:40:37.464762,66,10.5.1.30,42126,172.64.153.110,80,TCP,79,1429,941792677,4148813005
2024-11-04 17:40:37.464835,1494,172.64.153.110,80,10.5.1.30,42126,TCP,2857,79,4148813005,941792483
2024-11-04 17:40:37.464924,78,10.5.1.30,42126,172.64.153.110,80,TCP,79,1429,941792678,4148813005
2024-11-04 17:40:37.464985,1630,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3517269961,1840418959
2024-11-04 17:40:37.464994,1494,172.64.153.110,80,10.5.1.30,42126,TCP,1429,79,4148813005,941792483
2024-11-04 17:40:37.465090,66,10.5.1.30,42126,172.64.153.110,80,TCP,79,4285,941792678,4148813005
2024-11-04 17:40:37.465144,1494,172.64.153.110,80,10.5.1.30,42126,TCP,4285,79,4148813005,941792483
2024-11-04 17:40:37.465241,66,10.5.1.30,42126,172.64.153.110,80,TCP,79,5713,941792678,4148813005
2024-11-04 17:40:37.465284,1494,172.64.153.110,80,10.5.1.30,42126,TCP,7141,79,4148813005,941792483
2024-11-04 17:40:37.465380,78,10.5.1.30,42126,172.64.153.110,80,TCP,79,5713,941792678,4148813005
2024-11-04 17:40:37.465402,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,2101,1840419154,3517269961
2024-11-04 17:40:37.465460,1494,172.64.153.110,80,10.5.1.30,42126,TCP,5713,79,4148813005,941792483
2024-11-04 17:40:37.465560,66,10.5.1.30,42126,172.64.153.110,80,TCP,79,8569,941792678,4148813005
2024-11-04 17:40:37.465605,1494,172.64.153.110,80,10.5.1.30,42126,TCP,11425,79,4148813005,941792483
2024-11-04 17:40:37.465694,78,10.5.1.30,42126,172.64.153.110,80,TCP,79,8569,941792678,4148813005
2024-11-04 17:40:37.465735,1494,172.64.153.110,80,10.5.1.30,42126,TCP,15709,79,4148813005,941792483
2024-11-04 17:40:37.465821,86,10.5.1.30,42126,172.64.153.110,80,TCP,79,8569,941792679,4148813005
2024-11-04 17:40:37.465912,1494,172.64.153.110,80,10.5.1.30,42126,TCP,8569,79,4148813005,941792483
2024-11-04 17:40:37.466005,86,10.5.1.30,42126,172.64.153.110,80,TCP,79,9997,941792679,4148813005
2024-11-04 17:40:37.466991,1494,172.64.153.110,80,10.5.1.30,42126,TCP,9997,79,4148813005,941792483
2024-11-04 17:40:37.467089,78,10.5.1.30,42126,172.64.153.110,80,TCP,79,12853,941792680,4148813005
2024-11-04 17:40:37.467170,1494,172.64.153.110,80,10.5.1.30,42126,TCP,12853,79,4148813005,941792483
2024-11-04 17:40:37.467249,4136,10.5.1.30,9001,10.5.1.21,54580,TCP,2101,1073,3517269963,1840419154
2024-11-04 17:40:37.467258,78,10.5.1.30,42126,172.64.153.110,80,TCP,79,14281,941792680,4148813005
2024-11-04 17:40:37.467340,1494,172.64.153.110,80,10.5.1.30,42126,TCP,14281,79,4148813005,941792483
2024-11-04 17:40:37.467437,66,10.5.1.30,42126,172.64.153.110,80,TCP,79,17137,941792680,4148813005
2024-11-04 17:40:37.467524,2922,172.64.153.110,80,10.5.1.30,42126,TCP,17137,79,4148813006,941792483
2024-11-04 17:40:37.467586,2962,10.5.1.30,9001,10.5.1.21,54580,TCP,6171,1073,3517269963,1840419154
2024-11-04 17:40:37.467620,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,6171,1840419156,3517269963
2024-11-04 17:40:37.467643,66,10.5.1.30,42126,172.64.153.110,80,TCP,79,19993,941792680,4148813006
2024-11-04 17:40:37.467716,1494,172.64.153.110,80,10.5.1.30,42126,TCP,19993,79,4148813006,941792483
2024-11-04 17:40:37.467818,66,10.5.1.30,42126,172.64.153.110,80,TCP,79,21421,941792681,4148813006
2024-11-04 17:40:37.467856,1240,10.5.1.30,9001,10.5.1.21,54580,TCP,9067,1073,3517269964,1840419156
2024-11-04 17:40:37.467877,1494,172.64.153.110,80,10.5.1.30,42126,TCP,24277,79,4148813007,941792483
2024-11-04 17:40:37.467929,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,9067,1840419157,3517269963
2024-11-04 17:40:37.467982,78,10.5.1.30,42126,172.64.153.110,80,TCP,79,21421,941792681,4148813006
2024-11-04 17:40:37.468078,2922,172.64.153.110,80,10.5.1.30,42126,TCP,21421,79,4148813007,941792483
2024-11-04 17:40:37.468146,2962,10.5.1.30,9001,10.5.1.21,54580,TCP,10241,1073,3517269964,1840419157
2024-11-04 17:40:37.468223,66,10.5.1.30,42126,172.64.153.110,80,TCP,79,25705,941792681,4148813007
2024-11-04 17:40:37.468524,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,13137,1840419157,3517269964
2024-11-04 17:40:37.468652,1454,10.5.1.30,9001,10.5.1.21,54580,TCP,13137,1073,3517269964,1840419157
2024-11-04 17:40:37.469797,2962,10.5.1.30,9001,10.5.1.21,54580,TCP,14525,1073,3517269966,1840419157
2024-11-04 17:40:37.470038,4410,10.5.1.30,9001,10.5.1.21,54580,TCP,17421,1073,3517269966,1840419157
2024-11-04 17:40:37.470190,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,17421,1840419159,3517269964
2024-11-04 17:40:37.470362,966,10.5.1.30,9001,10.5.1.21,54580,TCP,21765,1073,3517269966,1840419159
2024-11-04 17:40:37.470384,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,21765,1840419159,3517269966
2024-11-04 17:40:37.470529,1494,172.64.153.110,80,10.5.1.30,42126,TCP,25705,79,4148813008,941792483
2024-11-04 17:40:37.470640,2962,10.5.1.30,9001,10.5.1.21,54580,TCP,22665,1073,3517269966,1840419159
2024-11-04 17:40:37.470666,66,10.5.1.30,42126,172.64.153.110,80,TCP,79,27133,941792683,4148813008
2024-11-04 17:40:37.470747,1494,172.64.153.110,80,10.5.1.30,42126,TCP,28561,79,4148813008,941792483
2024-11-04 17:40:37.470941,78,10.5.1.30,42126,172.64.153.110,80,TCP,79,27133,941792684,4148813008
2024-11-04 17:40:37.470995,1514,10.5.1.30,9001,10.5.1.21,54580,TCP,25561,1073,3517269967,1840419159
2024-11-04 17:40:37.471001,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,25561,1840419160,3517269966
2024-11-04 17:40:37.471014,1494,172.64.153.110,80,10.5.1.30,42126,TCP,27133,79,4148813008,941792483
2024-11-04 17:40:37.471210,66,10.5.1.30,42126,172.64.153.110,80,TCP,79,29989,941792684,4148813008
2024-11-04 17:40:37.471293,1034,10.5.1.30,9001,10.5.1.21,54580,TCP,27009,1073,3517269967,1840419160
2024-11-04 17:40:37.471553,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,27977,1840419160,3517269967
2024-11-04 17:40:37.472047,1494,172.64.153.110,80,10.5.1.30,42126,TCP,29989,79,4148813009,941792483
2024-11-04 17:40:37.472210,66,10.5.1.30,42126,172.64.153.110,80,TCP,79,31417,941792685,4148813009
2024-11-04 17:40:37.472297,1494,172.64.153.110,80,10.5.1.30,42126,TCP,32845,79,4148813009,941792483
2024-11-04 17:40:37.472393,78,10.5.1.30,42126,172.64.153.110,80,TCP,79,31417,941792685,4148813009
2024-11-04 17:40:37.472467,1494,172.64.153.110,80,10.5.1.30,42126,TCP,31417,79,4148813009,941792483
