Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-10-31 11:35:18.894526,602,10.5.1.12,53220,10.5.1.30,9001,TCP,1,1,2720291138,2945476042
2024-10-31 11:35:18.894715,74,10.5.1.30,36902,13.107.42.14,80,TCP,0,0,1371264628,0
2024-10-31 11:35:18.920489,66,13.107.42.14,80,10.5.1.30,36902,TCP,0,1,,
2024-10-31 11:35:18.920769,54,10.5.1.30,36902,13.107.42.14,80,TCP,1,1,,
2024-10-31 11:35:18.921211,602,10.5.1.30,9001,10.5.1.12,53220,TCP,1,537,2945478699,2720291138
2024-10-31 11:35:18.921386,66,10.5.1.12,53220,10.5.1.30,9001,TCP,537,537,2720291164,2945478699
2024-10-31 11:35:18.925983,602,10.5.1.12,53220,10.5.1.30,9001,TCP,537,537,2720291169,2945478699
2024-10-31 11:35:18.926123,130,10.5.1.30,36902,13.107.42.14,80,TCP,1,1,,
2024-10-31 11:35:18.947680,54,13.107.42.14,80,10.5.1.30,36902,TCP,1,77,,
2024-10-31 11:35:18.968526,66,10.5.1.30,9001,10.5.1.12,53220,TCP,537,1073,2945478747,2720291169
2024-10-31 11:35:19.085237,420,13.107.42.14,80,10.5.1.30,36902,TCP,1,77,,
2024-10-31 11:35:19.085303,54,10.5.1.30,36902,13.107.42.14,80,TCP,77,367,,
2024-10-31 11:35:19.085423,602,10.5.1.30,9001,10.5.1.12,53220,TCP,537,1073,2945478863,2720291169
