Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:25:17.057278,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,173185470,2851882410
2024-11-04 17:25:17.057446,74,10.5.1.30,48142,35.190.21.225,80,TCP,0,0,271187103,0
2024-11-04 17:25:17.083772,74,35.190.21.225,80,10.5.1.30,48142,TCP,0,1,1847528633,271187103
2024-11-04 17:25:17.083845,66,10.5.1.30,48142,35.190.21.225,80,TCP,1,1,271187130,1847528633
2024-11-04 17:25:17.083943,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2851883717,173185470
2024-11-04 17:25:17.084034,66,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,173185497,2851883717
2024-11-04 17:25:17.086982,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,173185500,2851883717
2024-11-04 17:25:17.087073,142,10.5.1.30,48142,35.190.21.225,80,TCP,1,1,271187133,1847528633
2024-11-04 17:25:17.108594,66,35.190.21.225,80,10.5.1.30,48142,TCP,1,77,1847528658,271187133
2024-11-04 17:25:17.129726,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2851883762,173185500
2024-11-04 17:25:17.438767,243,35.190.21.225,80,10.5.1.30,48142,TCP,1,77,1847528986,271187133
2024-11-04 17:25:17.438842,66,10.5.1.30,48142,35.190.21.225,80,TCP,77,178,271187485,1847528986
2024-11-04 17:25:17.439046,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2851884072,173185500
2024-11-04 17:25:17.444184,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,1073,173185857,2851884072
2024-11-04 17:25:17.444322,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,1609,2851884077,173185857
2024-11-04 17:25:17.444468,66,10.5.1.30,48142,35.190.21.225,80,TCP,77,178,271187490,1847528986
2024-11-04 17:25:17.471239,66,35.190.21.225,80,10.5.1.30,48142,TCP,178,78,1847529021,271187490
2024-11-04 17:25:17.471303,66,10.5.1.30,48142,35.190.21.225,80,TCP,78,179,271187517,1847529021
2024-11-04 17:25:17.840940,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,132939512,3024852726
2024-11-04 17:25:17.840998,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3024855748,132939512
2024-11-04 17:25:17.841291,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3024855748,132939512
2024-11-04 17:25:17.883115,66,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,132939554,3024855748
2024-11-04 17:25:24.416547,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1839506105,3516344630
2024-11-04 17:25:24.417286,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3516356913,1839506105
2024-11-04 17:25:24.417425,66,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1839506106,3516356913
2024-11-04 17:25:25.769339,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,537,3024863676,132939554
2024-11-04 17:25:25.769498,66,10.5.1.11,42168,10.5.1.30,9001,TCP,537,1073,132947440,3024863676
