Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:16:56.284810,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,139637956,3031543822
2024-11-04 19:16:56.285502,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031554192,139637956
2024-11-04 19:16:56.285932,74,10.5.1.30,35114,172.67.201.9,80,TCP,0,0,3574149342,0
2024-11-04 19:16:56.328196,74,172.67.201.9,80,10.5.1.30,35114,TCP,0,1,4101246836,3574149342
2024-11-04 19:16:56.328706,66,10.5.1.30,35114,172.67.201.9,80,TCP,1,1,3574149384,4101246836
2024-11-04 19:16:56.328878,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031554236,139637956
2024-11-04 19:16:56.333005,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139638004,3031554236
2024-11-04 19:16:56.333414,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3031554240,139638004
2024-11-04 19:16:56.333683,146,10.5.1.30,35114,172.67.201.9,80,TCP,1,1,3574149389,4101246836
2024-11-04 19:16:56.375626,66,172.67.201.9,80,10.5.1.30,35114,TCP,1,81,4101246884,3574149389
2024-11-04 19:16:56.616104,1079,172.67.201.9,80,10.5.1.30,35114,TCP,1,81,4101247123,3574149389
2024-11-04 19:16:56.617102,66,10.5.1.30,35114,172.67.201.9,80,TCP,81,1014,3574149673,4101247123
2024-11-04 19:16:56.617633,71,172.67.201.9,80,10.5.1.30,35114,TCP,1014,81,4101247123,3574149389
