Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:30:17.940322,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,173486353,2852179020
2024-11-04 17:30:17.940516,74,10.5.1.30,45656,88.212.202.50,80,TCP,0,0,746024848,0
2024-11-04 17:30:17.983035,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2852184616,173486353
2024-11-04 17:30:18.008930,74,88.212.202.50,80,10.5.1.30,45656,TCP,0,1,1044698409,746024848
2024-11-04 17:30:18.009003,66,10.5.1.30,45656,88.212.202.50,80,TCP,1,1,746024917,1044698409
2024-11-04 17:30:18.009098,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2852184642,173486353
2024-11-04 17:30:18.009169,66,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,173486422,2852184642
2024-11-04 17:30:18.014148,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,173486427,2852184642
2024-11-04 17:30:18.014197,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2852184647,173486427
2024-11-04 17:30:18.014258,145,10.5.1.30,45656,88.212.202.50,80,TCP,1,1,746024922,1044698409
2024-11-04 17:30:18.083819,454,88.212.202.50,80,10.5.1.30,45656,TCP,1,80,1044698481,746024922
2024-11-04 17:30:18.083918,66,10.5.1.30,45656,88.212.202.50,80,TCP,80,389,746024992,1044698481
2024-11-04 17:30:18.084030,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2852184717,173486427
