Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:31:33.447744,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,140515118,3032420948
2024-11-04 19:31:33.448358,74,10.5.1.30,44100,199.80.59.132,80,TCP,0,0,3793648732,0
2024-11-04 19:31:33.488974,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3032431396,140515118
2024-11-04 19:31:33.570943,74,199.80.59.132,80,10.5.1.30,44100,TCP,0,1,3196905175,3793648732
2024-11-04 19:31:33.571634,66,10.5.1.30,44100,199.80.59.132,80,TCP,1,1,3793648855,3196905175
2024-11-04 19:31:33.571769,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3032431478,140515118
2024-11-04 19:31:33.572449,66,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,140515243,3032431478
2024-11-04 19:31:33.576731,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,140515247,3032431478
2024-11-04 19:31:33.577021,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3032431484,140515247
2024-11-04 19:31:33.577295,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3032431484,140515247
2024-11-04 19:31:33.577808,142,10.5.1.30,44100,199.80.59.132,80,TCP,1,1,3793648862,3196905175
2024-11-04 19:31:33.618997,66,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1073,140515290,3032431484
2024-11-04 19:31:33.701101,451,199.80.59.132,80,10.5.1.30,44100,TCP,1,77,3196905308,3793648862
2024-11-04 19:31:33.701613,66,10.5.1.30,44100,199.80.59.132,80,TCP,77,386,3793648985,3196905308
2024-11-04 19:31:33.702062,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,1073,3032431609,140515290
2024-11-04 19:31:33.702747,66,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1609,140515373,3032431609
2024-11-04 19:31:33.706056,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1609,140515377,3032431609
2024-11-04 19:31:33.706695,66,10.5.1.30,44100,199.80.59.132,80,TCP,77,386,3793648990,3196905308
2024-11-04 19:31:33.752293,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1609,1609,3032431659,140515377
2024-11-04 19:31:33.826240,66,199.80.59.132,80,10.5.1.30,44100,TCP,386,78,3196905436,3793648990
2024-11-04 19:31:33.827047,66,199.80.59.132,80,10.5.1.30,44100,TCP,386,78,3196905436,3793648990
2024-11-04 19:31:33.827463,66,10.5.1.30,44100,199.80.59.132,80,TCP,78,387,3793649111,3196905436
2024-11-04 19:31:35.376372,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,180763789,2859434986
2024-11-04 19:31:35.376383,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2226424367,3157458617
2024-11-04 19:31:35.376412,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1847077065,3523901548
2024-11-04 19:31:35.377526,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3523927873,1847077065
