Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 20:11:42.847802,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,183171260,2861859067
2024-11-04 20:11:42.848665,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2861869481,183171260
2024-11-04 20:11:42.849130,74,10.5.1.30,33538,3.33.186.135,80,TCP,0,0,166287158,0
2024-11-04 20:11:42.913215,74,3.33.186.135,80,10.5.1.30,33538,TCP,0,1,1217432356,166287158
2024-11-04 20:11:42.914254,66,10.5.1.30,33538,3.33.186.135,80,TCP,1,1,166287223,1217432356
2024-11-04 20:11:42.914432,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2861869547,183171260
2024-11-04 20:11:42.920133,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,183171333,2861869547
2024-11-04 20:11:42.921071,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2861869554,183171333
2024-11-04 20:11:42.921819,144,10.5.1.30,33538,3.33.186.135,80,TCP,1,1,166287231,1217432356
2024-11-04 20:11:42.953120,66,3.33.186.135,80,10.5.1.30,33538,TCP,1,79,1217432428,166287231
2024-11-04 20:11:42.973272,333,3.33.186.135,80,10.5.1.30,33538,TCP,1,79,1217432438,166287231
2024-11-04 20:11:42.974476,66,10.5.1.30,33538,3.33.186.135,80,TCP,79,268,166287283,1217432438
2024-11-04 20:11:42.975178,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2861869608,183171333
