Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:53:35.132795,4136,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3453509696,4096223941
2024-11-04 19:53:35.133925,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,4071,4096234302,3453509696
2024-11-04 19:53:35.134320,4136,10.5.1.10,42922,10.5.1.30,9001,TCP,4071,1,3453509698,4096234302
2024-11-04 19:53:35.134349,74,10.5.1.30,42136,18.65.64.21,80,TCP,0,0,3242062478,0
2024-11-04 19:53:35.135161,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,8141,4096234303,3453509698
2024-11-04 19:53:35.135574,4136,10.5.1.10,42922,10.5.1.30,9001,TCP,8141,1,3453509699,4096234303
2024-11-04 19:53:35.136377,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,12211,4096234304,3453509699
2024-11-04 19:53:35.136739,1308,10.5.1.10,42922,10.5.1.30,9001,TCP,12211,1,3453509700,4096234304
2024-11-04 19:53:35.137251,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,13453,4096234305,3453509700
2024-11-04 19:53:35.152866,74,18.65.64.21,80,10.5.1.30,42136,TCP,0,1,3773173176,3242062478
2024-11-04 19:53:35.153172,66,10.5.1.30,42136,18.65.64.21,80,TCP,1,1,3242062497,3773173176
2024-11-04 19:53:35.153278,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,13453,4096234321,3453509700
2024-11-04 19:53:35.153909,66,10.5.1.10,42922,10.5.1.30,9001,TCP,13453,537,3453509718,4096234321
2024-11-04 19:53:35.156571,602,10.5.1.10,42922,10.5.1.30,9001,TCP,13453,537,3453509720,4096234321
2024-11-04 19:53:35.156975,143,10.5.1.30,42136,18.65.64.21,80,TCP,1,1,3242062501,3773173176
2024-11-04 19:53:35.172677,66,18.65.64.21,80,10.5.1.30,42136,TCP,1,78,3773173196,3242062501
