Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 20:00:23.273007,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3453917837,4096632128
2024-11-04 20:00:23.273622,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096642441,3453917837
2024-11-04 20:00:23.273968,74,10.5.1.30,49688,18.65.82.97,80,TCP,0,0,3447840970,0
2024-11-04 20:00:23.300901,74,18.65.82.97,80,10.5.1.30,49688,TCP,0,1,3801013690,3447840970
2024-11-04 20:00:23.301188,66,10.5.1.30,49688,18.65.82.97,80,TCP,1,1,3447840997,3801013690
2024-11-04 20:00:23.301249,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096642469,3453917837
2024-11-04 20:00:23.306448,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3453917870,4096642469
2024-11-04 20:00:23.306862,142,10.5.1.30,49688,18.65.82.97,80,TCP,1,1,3447841003,3801013690
2024-11-04 20:00:23.330453,66,18.65.82.97,80,10.5.1.30,49688,TCP,1,77,3801013719,3447841003
2024-11-04 20:00:23.331378,628,18.65.82.97,80,10.5.1.30,49688,TCP,1,77,3801013720,3447841003
2024-11-04 20:00:23.332026,66,10.5.1.30,49688,18.65.82.97,80,TCP,77,563,3447841028,3801013720
2024-11-04 20:00:23.332621,1116,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4096642500,3453917870
2024-11-04 20:00:23.336589,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1587,3453917900,4096642500
2024-11-04 20:00:23.338016,66,10.5.1.30,49688,18.65.82.97,80,TCP,77,563,3447841034,3801013720
2024-11-04 20:00:23.360448,66,18.65.82.97,80,10.5.1.30,49688,TCP,563,78,3801013752,3447841034
2024-11-04 20:00:23.361347,66,10.5.1.30,49688,18.65.82.97,80,TCP,78,564,3447841057,3801013752
2024-11-04 20:00:23.382119,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1587,1609,4096642550,3453917900
